Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Main Set,,,,,,,,
,Exeggcute,001/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/001/high.webp
,Alolan Exeggutor,002/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/002/high.webp
,Volbeat,003/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/003/high.webp
,Illumise,004/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/004/high.webp
,Tropius,005/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/005/high.webp
,Cherubi,006/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/006/high.webp
,Cherrim,007/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/007/high.webp
,Vivillon,008/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/008/high.webp
,Vulpix,009/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/009/high.webp
,Ninetales,010/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/010/high.webp
,Moltres,011/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/011/high.webp
,Ho-Oh,012/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/012/high.webp
,Victini,013/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/013/high.webp
,Reshiram,014/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/014/high.webp
,Fuecoco ex,015/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/015/high.webp
,Slowpoke,016/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/016/high.webp
,Lapras,017/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/017/high.webp
,Articuno,018/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/018/high.webp
,Kyogre,019/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/019/high.webp
,Palkia,020/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/020/high.webp
,Greninja ex,021/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/021/high.webp
,Wishiwashi,022/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/022/high.webp
,Pikachu,023/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/023/high.webp
,Pikachu,024/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/024/high.webp
,Pikachu,025/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/025/high.webp
,Pikachu,026/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/026/high.webp
,Pikachu,027/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/027/high.webp
,Pikachu,028/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/028/high.webp
,Pikachu,029/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/029/high.webp
,Pikachu,030/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/030/high.webp
,Pikachu,031/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/031/high.webp
,Pikachu,032/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/032/high.webp
,Pikachu,033/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/033/high.webp
,Pikachu,034/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/034/high.webp
,Pikachu,035/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/035/high.webp
,Pikachu,036/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/036/high.webp
,Pikachu,037/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/037/high.webp
,Pikachu,038/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/038/high.webp
,Pikachu,039/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/039/high.webp
,Pikachu,040/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/040/high.webp
,Pikachu,041/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/041/high.webp
,Pikachu,042/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/042/high.webp
,Pikachu,043/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/043/high.webp
,Pikachu,044/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/044/high.webp
,Pikachu,045/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/045/high.webp
,Pikachu,046/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/046/high.webp
,Pikachu,047/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/047/high.webp
,Pikachu,048/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/048/high.webp
,Pikachu,049/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/049/high.webp
,Pikachu,050/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/050/high.webp
,Pikachu,051/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/051/high.webp
,Pikachu,052/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/052/high.webp
,Pikachu ex,053/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/053/high.webp
,Pikachu ex,054/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/054/high.webp
,Zapdos,055/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/055/high.webp
,Zekrom,056/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/056/high.webp
,Zeraora,057/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/057/high.webp
,Toxel,058/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/058/high.webp
,Toxtricity,059/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/059/high.webp
,Toxtricity,060/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/060/high.webp
,Morpeko,061/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/061/high.webp
,Miraidon,062/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/062/high.webp
,Mewtwo,063/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/063/high.webp
,Mewtwo ex,064/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/064/high.webp
,Mew,065/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/065/high.webp
,Mew ex,066/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/066/high.webp
,Marill,067/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/067/high.webp
,Azumarill,068/128,Holofoil,30th Celebration booster packs,Confirmed,,0,https://assets.tcgdex.net/en/me/30th/068/high.webp
