Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Erika's Oddish,001/217,Regular,,Confirmed,,0,
,Erika's Oddish,001/217,Reverse holo,,Confirmed,,0,
,Erika's Gloom,002/217,Regular,,Confirmed,,0,
,Erika's Gloom,002/217,Reverse holo,,Confirmed,,0,
,Erika's Vileplume ex,003/217,Regular,,Confirmed,,0,
,Erika's Bellsprout,004/217,Regular,,Confirmed,,0,
,Erika's Bellsprout,004/217,Reverse holo,,Confirmed,,0,
,Erika's Weepinbell,005/217,Regular,,Confirmed,,0,
,Erika's Weepinbell,005/217,Reverse holo,,Confirmed,,0,
,Erika's Victreebel,006/217,Regular,,Confirmed,,0,
,Erika's Victreebel,006/217,Reverse holo,,Confirmed,,0,
,Erika's Tangela,007/217,Regular,,Confirmed,,0,
,Erika's Tangela,007/217,Reverse holo,,Confirmed,,0,
,Chikorita,008/217,Regular,,Confirmed,,0,
,Chikorita,008/217,Reverse holo,,Confirmed,,0,
,Bayleef,009/217,Regular,,Confirmed,,0,
,Bayleef,009/217,Reverse holo,,Confirmed,,0,
,Mega Meganium ex,010/217,Regular,,Confirmed,,0,
,Wurmple,011/217,Regular,,Confirmed,,0,
,Wurmple,011/217,Reverse holo,,Confirmed,,0,
,Silcoon,012/217,Regular,,Confirmed,,0,
,Silcoon,012/217,Reverse holo,,Confirmed,,0,
,Beautifly,013/217,Regular,,Confirmed,,0,
,Beautifly,013/217,Reverse holo,,Confirmed,,0,
,Cascoon,014/217,Regular,,Confirmed,,0,
,Cascoon,014/217,Reverse holo,,Confirmed,,0,
,Dustox,015/217,Regular,,Confirmed,,0,
,Dustox,015/217,Reverse holo,,Confirmed,,0,
,Budew,016/217,Regular,,Confirmed,,0,
,Budew,016/217,Reverse holo,,Confirmed,,0,
,Grubbin,017/217,Regular,,Confirmed,,0,
,Grubbin,017/217,Reverse holo,,Confirmed,,0,
,Team Rocket's Tarountula,018/217,Regular,,Confirmed,,0,
,Team Rocket's Tarountula,018/217,Reverse holo,,Confirmed,,0,
,Team Rocket's Spidops,019/217,Regular,,Confirmed,,0,
,Team Rocket's Spidops,019/217,Reverse holo,,Confirmed,,0,
,Charmander,020/217,Regular,,Confirmed,,0,
,Charmander,020/217,Reverse holo,,Confirmed,,0,
,Charmeleon,021/217,Regular,,Confirmed,,0,
,Charmeleon,021/217,Reverse holo,,Confirmed,,0,
,Mega Charizard Y ex,022/217,Regular,,Confirmed,,0,
,Ethan's Slugma,023/217,Regular,,Confirmed,,0,
,Ethan's Slugma,023/217,Reverse holo,,Confirmed,,0,
,Ethan's Magcargo,024/217,Regular,,Confirmed,,0,
,Ethan's Magcargo,024/217,Reverse holo,,Confirmed,,0,
,Entei,025/217,Regular,,Confirmed,,0,
,Entei,025/217,Reverse holo,,Confirmed,,0,
,Ethan's Ho-Oh ex,026/217,Regular,,Confirmed,,0,
,Numel,027/217,Regular,,Confirmed,,0,
,Numel,027/217,Reverse holo,,Confirmed,,0,
,Camerupt,028/217,Regular,,Confirmed,,0,
,Camerupt,028/217,Reverse holo,,Confirmed,,0,
,Tepig,029/217,Regular,,Confirmed,,0,
,Tepig,029/217,Reverse holo,,Confirmed,,0,
,Pignite,030/217,Regular,,Confirmed,,0,
,Pignite,030/217,Reverse holo,,Confirmed,,0,
,Mega Emboar ex,031/217,Regular,,Confirmed,,0,
,N's Darumaka,032/217,Regular,,Confirmed,,0,
,N's Darumaka,032/217,Reverse holo,,Confirmed,,0,
,N's Darmanitan,033/217,Regular,,Confirmed,,0,
,N's Darmanitan,033/217,Reverse holo,,Confirmed,,0,
,Salandit,034/217,Regular,,Confirmed,,0,
