Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Snivy,001/086,Regular,,Confirmed,,0,
,Snivy,001/086,Reverse holo,,Confirmed,,0,
,Servine,002/086,Regular,,Confirmed,,0,
,Servine,002/086,Reverse holo,,Confirmed,,0,
,Serperior ex,003/086,Regular,,Confirmed,,0,
,Pansage,004/086,Regular,,Confirmed,,0,
,Pansage,004/086,Reverse holo,,Confirmed,,0,
,Simisage,005/086,Regular,,Confirmed,,0,
,Simisage,005/086,Reverse holo,,Confirmed,,0,
,Petilil,006/086,Regular,,Confirmed,,0,
,Petilil,006/086,Reverse holo,,Confirmed,,0,
,Lilligant,007/086,Regular,,Confirmed,,0,
,Lilligant,007/086,Reverse holo,,Confirmed,,0,
,Maractus,008/086,Regular,,Confirmed,,0,
,Maractus,008/086,Reverse holo,,Confirmed,,0,
,Karrablast,009/086,Regular,,Confirmed,,0,
,Karrablast,009/086,Reverse holo,,Confirmed,,0,
,Foongus,010/086,Regular,,Confirmed,,0,
,Foongus,010/086,Reverse holo,,Confirmed,,0,
,Amoonguss,011/086,Regular,,Confirmed,,0,
,Amoonguss,011/086,Reverse holo,,Confirmed,,0,
,Victini,012/086,Regular,,Confirmed,,0,
,Victini,012/086,Reverse holo,,Confirmed,,0,
,Darumaka,013/086,Regular,,Confirmed,,0,
,Darumaka,013/086,Reverse holo,,Confirmed,,0,
,Darmanitan,014/086,Regular,,Confirmed,,0,
,Darmanitan,014/086,Reverse holo,,Confirmed,,0,
,Larvesta,015/086,Regular,,Confirmed,,0,
,Larvesta,015/086,Reverse holo,,Confirmed,,0,
,Volcarona,016/086,Regular,,Confirmed,,0,
,Volcarona,016/086,Reverse holo,,Confirmed,,0,
,Panpour,017/086,Regular,,Confirmed,,0,
,Panpour,017/086,Reverse holo,,Confirmed,,0,
,Simipour,018/086,Regular,,Confirmed,,0,
,Simipour,018/086,Reverse holo,,Confirmed,,0,
,Tympole,019/086,Regular,,Confirmed,,0,
,Tympole,019/086,Reverse holo,,Confirmed,,0,
,Palpitoad,020/086,Regular,,Confirmed,,0,
,Palpitoad,020/086,Reverse holo,,Confirmed,,0,
,Seismitoad,021/086,Regular,,Confirmed,,0,
,Seismitoad,021/086,Reverse holo,,Confirmed,,0,
,Tirtouga,022/086,Regular,,Confirmed,,0,
,Tirtouga,022/086,Reverse holo,,Confirmed,,0,
,Carracosta,023/086,Regular,,Confirmed,,0,
,Carracosta,023/086,Reverse holo,,Confirmed,,0,
,Alomomola,024/086,Regular,,Confirmed,,0,
,Alomomola,024/086,Reverse holo,,Confirmed,,0,
,Cubchoo,025/086,Regular,,Confirmed,,0,
,Cubchoo,025/086,Reverse holo,,Confirmed,,0,
,Beartic,026/086,Regular,,Confirmed,,0,
,Beartic,026/086,Reverse holo,,Confirmed,,0,
,Cryogonal,027/086,Regular,,Confirmed,,0,
,Cryogonal,027/086,Reverse holo,,Confirmed,,0,
,Kyurem ex,028/086,Regular,,Confirmed,,0,
,Emolga,029/086,Regular,,Confirmed,,0,
,Emolga,029/086,Reverse holo,,Confirmed,,0,
,Tynamo,030/086,Regular,,Confirmed,,0,
,Tynamo,030/086,Reverse holo,,Confirmed,,0,
,Eelektrik,031/086,Regular,,Confirmed,,0,
,Eelektrik,031/086,Reverse holo,,Confirmed,,0,
,Eelektross,032/086,Regular,,Confirmed,,0,
,Eelektross,032/086,Reverse holo,,Confirmed,,0,
,Thundurus,033/086,Regular,,Confirmed,,0,
,Thundurus,033/086,Reverse holo,,Confirmed,,0,
,Zekrom ex,034/086,Regular,,Confirmed,,0,
,Munna,035/086,Regular,,Confirmed,,0,
,Munna,035/086,Reverse holo,,Confirmed,,0,
,Musharna,036/086,Regular,,Confirmed,,0,
,Musharna,036/086,Reverse holo,,Confirmed,,0,
,Solosis,037/086,Regular,,Confirmed,,0,
,Solosis,037/086,Reverse holo,,Confirmed,,0,
,Duosion,038/086,Regular,,Confirmed,,0,
,Duosion,038/086,Reverse holo,,Confirmed,,0,
,Reuniclus,039/086,Regular,,Confirmed,,0,
,Reuniclus,039/086,Reverse holo,,Confirmed,,0,
,Elgyem,040/086,Regular,,Confirmed,,0,
,Elgyem,040/086,Reverse holo,,Confirmed,,0,
,Beheeyem,041/086,Regular,,Confirmed,,0,
,Beheeyem,041/086,Reverse holo,,Confirmed,,0,
,Golett,042/086,Regular,,Confirmed,,0,
,Golett,042/086,Reverse holo,,Confirmed,,0,
,Golurk,043/086,Regular,,Confirmed,,0,
,Golurk,043/086,Reverse holo,,Confirmed,,0,
,Meloetta ex,044/086,Regular,,Confirmed,,0,
,Drilbur,045/086,Regular,,Confirmed,,0,
,Drilbur,045/086,Reverse holo,,Confirmed,,0,
,Excadrill ex,046/086,Regular,,Confirmed,,0,
,Timburr,047/086,Regular,,Confirmed,,0,
,Timburr,047/086,Reverse holo,,Confirmed,,0,
,Gurdurr,048/086,Regular,,Confirmed,,0,
,Gurdurr,048/086,Reverse holo,,Confirmed,,0,
,Conkeldurr,049/086,Regular,,Confirmed,,0,
,Conkeldurr,049/086,Reverse holo,,Confirmed,,0,
,Throh,050/086,Regular,,Confirmed,,0,
,Throh,050/086,Reverse holo,,Confirmed,,0,
,Dwebble,051/086,Regular,,Confirmed,,0,
,Dwebble,051/086,Reverse holo,,Confirmed,,0,
,Crustle,052/086,Regular,,Confirmed,,0,
,Crustle,052/086,Reverse holo,,Confirmed,,0,
,Landorus,053/086,Regular,,Confirmed,,0,
,Landorus,053/086,Reverse holo,,Confirmed,,0,
,Venipede,054/086,Regular,,Confirmed,,0,
,Venipede,054/086,Reverse holo,,Confirmed,,0,
,Whirlipede,055/086,Regular,,Confirmed,,0,
,Whirlipede,055/086,Reverse holo,,Confirmed,,0,
,Scolipede,056/086,Regular,,Confirmed,,0,
,Scolipede,056/086,Reverse holo,,Confirmed,,0,
,Sandile,057/086,Regular,,Confirmed,,0,
,Sandile,057/086,Reverse holo,,Confirmed,,0,
,Krokorok,058/086,Regular,,Confirmed,,0,
,Krokorok,058/086,Reverse holo,,Confirmed,,0,
,Krookodile,059/086,Regular,,Confirmed,,0,
,Krookodile,059/086,Reverse holo,,Confirmed,,0,
,Escavalier,060/086,Regular,,Confirmed,,0,
,Escavalier,060/086,Reverse holo,,Confirmed,,0,
,Klink,061/086,Regular,,Confirmed,,0,
,Klink,061/086,Reverse holo,,Confirmed,,0,
,Klang,062/086,Regular,,Confirmed,,0,
,Klang,062/086,Reverse holo,,Confirmed,,0,
,Klinklang,063/086,Regular,,Confirmed,,0,
,Klinklang,063/086,Reverse holo,,Confirmed,,0,
,Pawniard,064/086,Regular,,Confirmed,,0,
,Pawniard,064/086,Reverse holo,,Confirmed,,0,
,Bisharp,065/086,Regular,,Confirmed,,0,
,Bisharp,065/086,Reverse holo,,Confirmed,,0,
,Cobalion,066/086,Regular,,Confirmed,,0,
,Cobalion,066/086,Reverse holo,,Confirmed,,0,
,Genesect ex,067/086,Regular,,Confirmed,,0,
,Axew,068/086,Regular,,Confirmed,,0,
,Axew,068/086,Reverse holo,,Confirmed,,0,
,Fraxure,069/086,Regular,,Confirmed,,0,
,Fraxure,069/086,Reverse holo,,Confirmed,,0,
,Haxorus,070/086,Regular,,Confirmed,,0,
,Haxorus,070/086,Reverse holo,,Confirmed,,0,
,Pidove,071/086,Regular,,Confirmed,,0,
,Pidove,071/086,Reverse holo,,Confirmed,,0,
,Tranquill,072/086,Regular,,Confirmed,,0,
,Tranquill,072/086,Reverse holo,,Confirmed,,0,
,Unfezant,073/086,Regular,,Confirmed,,0,
,Unfezant,073/086,Reverse holo,,Confirmed,,0,
,Audino,074/086,Regular,,Confirmed,,0,
,Audino,074/086,Reverse holo,,Confirmed,,0,
,Minccino,075/086,Regular,,Confirmed,,0,
,Minccino,075/086,Reverse holo,,Confirmed,,0,
,Cinccino,076/086,Regular,,Confirmed,,0,
,Cinccino,076/086,Reverse holo,,Confirmed,,0,
,Rufflet,077/086,Regular,,Confirmed,,0,
,Rufflet,077/086,Reverse holo,,Confirmed,,0,
,Braviary,078/086,Regular,,Confirmed,,0,
,Braviary,078/086,Reverse holo,,Confirmed,,0,
,Air Balloon,079/086,Regular,,Confirmed,,0,
,Air Balloon,079/086,Reverse holo,,Confirmed,,0,
,Antique Cover Fossil,080/086,Regular,,Confirmed,,0,
,Antique Cover Fossil,080/086,Reverse holo,,Confirmed,,0,
,Energy Coin,081/086,Regular,,Confirmed,,0,
,Energy Coin,081/086,Reverse holo,,Confirmed,,0,
,Fennel,082/086,Regular,,Confirmed,,0,
,Fennel,082/086,Reverse holo,,Confirmed,,0,
,N's Plan,083/086,Regular,,Confirmed,,0,
,N's Plan,083/086,Reverse holo,,Confirmed,,0,
,Pokégear 3.0,084/086,Regular,,Confirmed,,0,
,Pokégear 3.0,084/086,Reverse holo,,Confirmed,,0,
,Professor's Research,085/086,Regular,,Confirmed,,0,
,Professor's Research,085/086,Reverse holo,,Confirmed,,0,
,Prism Energy,086/086,Regular,,Confirmed,,0,
,Prism Energy,086/086,Reverse holo,,Confirmed,,0,
,Snivy,087/086,Regular,,Confirmed,,0,
,Servine,088/086,Regular,,Confirmed,,0,
,Pansage,089/086,Regular,,Confirmed,,0,
,Simisage,090/086,Regular,,Confirmed,,0,
,Petilil,091/086,Regular,,Confirmed,,0,
,Lilligant,092/086,Regular,,Confirmed,,0,
,Maractus,093/086,Regular,,Confirmed,,0,
,Karrablast,094/086,Regular,,Confirmed,,0,
,Foongus,095/086,Regular,,Confirmed,,0,
,Amoonguss,096/086,Regular,,Confirmed,,0,
