Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Weedle,001/086,Regular,,Confirmed,,0,
,Weedle,001/086,Reverse holo,,Confirmed,,0,
,Kakuna,002/086,Regular,,Confirmed,,0,
,Kakuna,002/086,Reverse holo,,Confirmed,,0,
,Beedrill ex,003/086,Regular,,Confirmed,,0,
,Carnivine,004/086,Regular,,Confirmed,,0,
,Carnivine,004/086,Reverse holo,,Confirmed,,0,
,Chespin,005/086,Regular,,Confirmed,,0,
,Chespin,005/086,Reverse holo,,Confirmed,,0,
,Quilladin,006/086,Regular,,Confirmed,,0,
,Quilladin,006/086,Reverse holo,,Confirmed,,0,
,Chesnaught,007/086,Regular,,Confirmed,,0,
,Chesnaught,007/086,Reverse holo,,Confirmed,,0,
,Vulpix,008/086,Regular,,Confirmed,,0,
,Vulpix,008/086,Reverse holo,,Confirmed,,0,
,Ninetales,009/086,Regular,,Confirmed,,0,
,Ninetales,009/086,Reverse holo,,Confirmed,,0,
,Ho-Oh,010/086,Regular,,Confirmed,,0,
,Ho-Oh,010/086,Reverse holo,,Confirmed,,0,
,Fennekin,011/086,Regular,,Confirmed,,0,
,Fennekin,011/086,Reverse holo,,Confirmed,,0,
,Braixen,012/086,Regular,,Confirmed,,0,
,Braixen,012/086,Reverse holo,,Confirmed,,0,
,Delphox,013/086,Regular,,Confirmed,,0,
,Delphox,013/086,Reverse holo,,Confirmed,,0,
,Litleo,014/086,Regular,,Confirmed,,0,
,Litleo,014/086,Reverse holo,,Confirmed,,0,
,Mega Pyroar ex,015/086,Regular,,Confirmed,,0,
,Remoraid,016/086,Regular,,Confirmed,,0,
,Remoraid,016/086,Reverse holo,,Confirmed,,0,
,Octillery,017/086,Regular,,Confirmed,,0,
,Octillery,017/086,Reverse holo,,Confirmed,,0,
,Delibird,018/086,Regular,,Confirmed,,0,
,Delibird,018/086,Reverse holo,,Confirmed,,0,
,Keldeo,019/086,Regular,,Confirmed,,0,
,Keldeo,019/086,Reverse holo,,Confirmed,,0,
,Froakie,020/086,Regular,,Confirmed,,0,
,Froakie,020/086,Reverse holo,,Confirmed,,0,
,Frogadier,021/086,Regular,,Confirmed,,0,
,Frogadier,021/086,Reverse holo,,Confirmed,,0,
,Mega Greninja ex,022/086,Regular,,Confirmed,,0,
,Bergmite,023/086,Regular,,Confirmed,,0,
,Bergmite,023/086,Reverse holo,,Confirmed,,0,
,Avalugg,024/086,Regular,,Confirmed,,0,
,Avalugg,024/086,Reverse holo,,Confirmed,,0,
,Wimpod,025/086,Regular,,Confirmed,,0,
,Wimpod,025/086,Reverse holo,,Confirmed,,0,
,Golisopod,026/086,Regular,,Confirmed,,0,
,Golisopod,026/086,Reverse holo,,Confirmed,,0,
,Mareep,027/086,Regular,,Confirmed,,0,
,Mareep,027/086,Reverse holo,,Confirmed,,0,
,Flaaffy,028/086,Regular,,Confirmed,,0,
,Flaaffy,028/086,Reverse holo,,Confirmed,,0,
,Ampharos,029/086,Regular,,Confirmed,,0,
,Ampharos,029/086,Reverse holo,,Confirmed,,0,
,Emolga,030/086,Regular,,Confirmed,,0,
,Emolga,030/086,Reverse holo,,Confirmed,,0,
,Deoxys,031/086,Regular,,Confirmed,,0,
,Deoxys,031/086,Reverse holo,,Confirmed,,0,
,Deoxys,032/086,Regular,,Confirmed,,0,
,Deoxys,032/086,Reverse holo,,Confirmed,,0,
,Deoxys,033/086,Regular,,Confirmed,,0,
,Deoxys,033/086,Reverse holo,,Confirmed,,0,
,Deoxys,034/086,Regular,,Confirmed,,0,
,Deoxys,034/086,Reverse holo,,Confirmed,,0,
,Mega Floette ex,035/086,Regular,,Confirmed,,0,
,Espurr,036/086,Regular,,Confirmed,,0,
,Espurr,036/086,Reverse holo,,Confirmed,,0,
,Meowstic,037/086,Regular,,Confirmed,,0,
,Meowstic,037/086,Reverse holo,,Confirmed,,0,
,Phantump,038/086,Regular,,Confirmed,,0,
,Phantump,038/086,Reverse holo,,Confirmed,,0,
,Trevenant,039/086,Regular,,Confirmed,,0,
,Trevenant,039/086,Reverse holo,,Confirmed,,0,
,Pumpkaboo,040/086,Regular,,Confirmed,,0,
,Pumpkaboo,040/086,Reverse holo,,Confirmed,,0,
,Gourgeist ex,041/086,Regular,,Confirmed,,0,
,Xerneas,042/086,Regular,,Confirmed,,0,
,Xerneas,042/086,Reverse holo,,Confirmed,,0,
,Sudowoodo,043/086,Regular,,Confirmed,,0,
,Sudowoodo,043/086,Reverse holo,,Confirmed,,0,
,Phanpy,044/086,Regular,,Confirmed,,0,
,Phanpy,044/086,Reverse holo,,Confirmed,,0,
,Donphan,045/086,Regular,,Confirmed,,0,
,Donphan,045/086,Reverse holo,,Confirmed,,0,
,Baltoy,046/086,Regular,,Confirmed,,0,
,Baltoy,046/086,Reverse holo,,Confirmed,,0,
,Claydol,047/086,Regular,,Confirmed,,0,
,Claydol,047/086,Reverse holo,,Confirmed,,0,
,Mega Gallade ex,048/086,Regular,,Confirmed,,0,
,Zubat,049/086,Regular,,Confirmed,,0,
,Zubat,049/086,Reverse holo,,Confirmed,,0,
,Golbat,050/086,Regular,,Confirmed,,0,
,Golbat,050/086,Reverse holo,,Confirmed,,0,
,Crobat,051/086,Regular,,Confirmed,,0,
,Crobat,051/086,Reverse holo,,Confirmed,,0,
,Qwilfish,052/086,Regular,,Confirmed,,0,
,Qwilfish,052/086,Reverse holo,,Confirmed,,0,
,Stunky,053/086,Regular,,Confirmed,,0,
,Stunky,053/086,Reverse holo,,Confirmed,,0,
,Skuntank,054/086,Regular,,Confirmed,,0,
,Skuntank,054/086,Reverse holo,,Confirmed,,0,
,Krookodile ex,055/086,Regular,,Confirmed,,0,
,Trubbish,056/086,Regular,,Confirmed,,0,
,Trubbish,056/086,Reverse holo,,Confirmed,,0,
,Garbodor,057/086,Regular,,Confirmed,,0,
,Garbodor,057/086,Reverse holo,,Confirmed,,0,
,Skrelp,058/086,Regular,,Confirmed,,0,
,Skrelp,058/086,Reverse holo,,Confirmed,,0,
,Beldum,059/086,Regular,,Confirmed,,0,
,Beldum,059/086,Reverse holo,,Confirmed,,0,
,Metang,060/086,Regular,,Confirmed,,0,
,Metang,060/086,Reverse holo,,Confirmed,,0,
,Metagross,061/086,Regular,,Confirmed,,0,
,Metagross,061/086,Reverse holo,,Confirmed,,0,
,Ferroseed,062/086,Regular,,Confirmed,,0,
,Ferroseed,062/086,Reverse holo,,Confirmed,,0,
,Ferrothorn,063/086,Regular,,Confirmed,,0,
,Ferrothorn,063/086,Reverse holo,,Confirmed,,0,
,Cobalion ex,064/086,Regular,,Confirmed,,0,
,Mega Dragalge ex,065/086,Regular,,Confirmed,,0,
,Goomy,066/086,Regular,,Confirmed,,0,
,Goomy,066/086,Reverse holo,,Confirmed,,0,
,Sliggoo,067/086,Regular,,Confirmed,,0,
,Sliggoo,067/086,Reverse holo,,Confirmed,,0,
,Goodra,068/086,Regular,,Confirmed,,0,
,Goodra,068/086,Reverse holo,,Confirmed,,0,
,Tauros,069/086,Regular,,Confirmed,,0,
,Tauros,069/086,Reverse holo,,Confirmed,,0,
,Patrat,070/086,Regular,,Confirmed,,0,
,Patrat,070/086,Reverse holo,,Confirmed,,0,
,Watchog,071/086,Regular,,Confirmed,,0,
,Watchog,071/086,Reverse holo,,Confirmed,,0,
,Minccino,072/086,Regular,,Confirmed,,0,
,Minccino,072/086,Reverse holo,,Confirmed,,0,
,Cinccino ex,073/086,Regular,,Confirmed,,0,
,Adversity Policy,074/086,Regular,,Confirmed,,0,
,Adversity Policy,074/086,Reverse holo,,Confirmed,,0,
,Ange Floette,075/086,Regular,,Confirmed,,0,
,Ange Floette,075/086,Reverse holo,,Confirmed,,0,
,AZ's Tranquility,076/086,Regular,,Confirmed,,0,
,AZ's Tranquility,076/086,Reverse holo,,Confirmed,,0,
,Emma,077/086,Regular,,Confirmed,,0,
,Emma,077/086,Reverse holo,,Confirmed,,0,
,Great Haul Net,078/086,Regular,,Confirmed,,0,
,Great Haul Net,078/086,Reverse holo,,Confirmed,,0,
,Philippe,079/086,Regular,,Confirmed,,0,
,Philippe,079/086,Reverse holo,,Confirmed,,0,
,Prism Tower,080/086,Regular,,Confirmed,,0,
,Prism Tower,080/086,Reverse holo,,Confirmed,,0,
