Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Ethan's Pinsir,001/182,Regular,,Confirmed,,1,
,Ethan's Pinsir,001/182,Reverse holo,,Confirmed,,0,
,Yanma,002/182,Regular,,Confirmed,,1,
,Yanma,002/182,Reverse holo,,Confirmed,,0,
,Yanmega ex,003/182,Regular,,Confirmed,,0,
,Pineco,004/182,Regular,,Confirmed,,1,
,Pineco,004/182,Reverse holo,,Confirmed,,0,
,Shroomish,005/182,Regular,,Confirmed,,1,
,Shroomish,005/182,Reverse holo,,Confirmed,,0,
,Breloom,006/182,Regular,,Confirmed,,1,
,Breloom,006/182,Reverse holo,,Confirmed,,0,
,Cynthia's Roselia,007/182,Regular,,Confirmed,,1,
,Cynthia's Roselia,007/182,Reverse holo,,Confirmed,,0,
,Cynthia's Roserade,008/182,Regular,,Confirmed,,1,
,Cynthia's Roserade,008/182,Reverse holo,,Confirmed,,1,
,Mow Rotom,009/182,Regular,,Confirmed,,1,
,Mow Rotom,009/182,Reverse holo,,Confirmed,,1,
,Shaymin,010/182,Regular,,Confirmed,,1,
,Shaymin,010/182,Reverse holo,,Confirmed,,1,
,Dwebble,011/182,Regular,,Confirmed,,0,
,Dwebble,011/182,Reverse holo,,Confirmed,,0,
,Crustle,012/182,Regular,,Confirmed,,1,
,Crustle,012/182,Reverse holo,,Confirmed,,0,
,Fomantis,013/182,Regular,,Confirmed,,0,
,Fomantis,013/182,Reverse holo,,Confirmed,,1,
,Lurantis,014/182,Regular,,Confirmed,,1,
,Lurantis,014/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Blipbug,015/182,Regular,,Confirmed,,1,
,Team Rocket's Blipbug,015/182,Reverse holo,,Confirmed,,0,
,Applin,016/182,Regular,,Confirmed,,1,
,Applin,016/182,Reverse holo,,Confirmed,,1,
,Dipplin,017/182,Regular,,Confirmed,,1,
,Dipplin,017/182,Reverse holo,,Confirmed,,0,
,Hydrapple,018/182,Regular,,Confirmed,,1,
,Hydrapple,018/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Tarountula,019/182,Regular,,Confirmed,,1,
,Team Rocket's Tarountula,019/182,Reverse holo,,Confirmed,,1,
,Team Rocket's Spidops,020/182,Regular,,Confirmed,,1,
,Team Rocket's Spidops,020/182,Reverse holo,,Confirmed,,0,
,Smoliv,021/182,Regular,,Confirmed,,1,
,Smoliv,021/182,Reverse holo,,Confirmed,,1,
,Dolliv,022/182,Regular,,Confirmed,,0,
,Dolliv,022/182,Reverse holo,,Confirmed,,1,
,Arboliva ex,023/182,Regular,,Confirmed,,0,
,Rellor,024/182,Regular,,Confirmed,,1,
,Rellor,024/182,Reverse holo,,Confirmed,,0,
,Rabsca ex,025/182,Regular,,Confirmed,,0,
,Teal Mask Ogerpon,026/182,Regular,,Confirmed,,1,
,Teal Mask Ogerpon,026/182,Reverse holo,,Confirmed,,0,
,Growlithe,027/182,Regular,,Confirmed,,1,
,Growlithe,027/182,Reverse holo,,Confirmed,,1,
,Arcanine,028/182,Regular,,Confirmed,,1,
,Arcanine,028/182,Reverse holo,,Confirmed,,1,
,Ponyta,029/182,Regular,,Confirmed,,1,
,Ponyta,029/182,Reverse holo,,Confirmed,,0,
,Rapidash,030/182,Regular,,Confirmed,,1,
,Rapidash,030/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Moltres ex,031/182,Regular,,Confirmed,,1,
,Ethan's Cyndaquil,032/182,Regular,,Confirmed,,1,
,Ethan's Cyndaquil,032/182,Reverse holo,,Confirmed,,0,
,Ethan's Quilava,033/182,Regular,,Confirmed,,1,
,Ethan's Quilava,033/182,Reverse holo,,Confirmed,,0,
,Ethan's Typhlosion,034/182,Regular,,Confirmed,,1,
,Ethan's Typhlosion,034/182,Reverse holo,,Confirmed,,1,
