Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Caterpie,001/159,Regular,,Confirmed,,1,
,Caterpie,001/159,Reverse holo,,Confirmed,,1,
,Metapod,002/159,Regular,,Confirmed,,1,
,Metapod,002/159,Reverse holo,,Confirmed,,0,
,Butterfree,003/159,Regular,,Confirmed,,1,
,Butterfree,003/159,Reverse holo,,Confirmed,,1,
,Paras,004/159,Regular,,Confirmed,,1,
,Paras,004/159,Reverse holo,,Confirmed,,1,
,Parasect,005/159,Regular,,Confirmed,,1,
,Parasect,005/159,Reverse holo,,Confirmed,,1,
,Petilil,006/159,Regular,,Confirmed,,1,
,Petilil,006/159,Reverse holo,,Confirmed,,1,
,Lilligant,007/159,Regular,,Confirmed,,1,
,Lilligant,007/159,Reverse holo,,Confirmed,,0,
,Maractus,008/159,Regular,,Confirmed,,1,
,Maractus,008/159,Reverse holo,,Confirmed,,1,
,Karrablast,009/159,Regular,,Confirmed,,1,
,Karrablast,009/159,Reverse holo,,Confirmed,,1,
,Foongus,010/159,Regular,,Confirmed,,1,
,Foongus,010/159,Reverse holo,,Confirmed,,1,
,Amoonguss ex,011/159,Regular,,Confirmed,,1,
,Shelmet,012/159,Regular,,Confirmed,,1,
,Shelmet,012/159,Reverse holo,,Confirmed,,1,
,Accelgor,013/159,Regular,,Confirmed,,1,
,Accelgor,013/159,Reverse holo,,Confirmed,,1,
,Durant,014/159,Regular,,Confirmed,,1,
,Durant,014/159,Reverse holo,,Confirmed,,0,
,Virizion,015/159,Regular,,Confirmed,,1,
,Virizion,015/159,Reverse holo,,Confirmed,,1,
,Sprigatito,016/159,Regular,,Confirmed,,1,
,Sprigatito,016/159,Reverse holo,,Confirmed,,0,
,Floragato,017/159,Regular,,Confirmed,,1,
,Floragato,017/159,Reverse holo,,Confirmed,,1,
,Meowscarada,018/159,Regular,,Confirmed,,1,
,Meowscarada,018/159,Reverse holo,,Confirmed,,1,
,Nymble,019/159,Regular,,Confirmed,,1,
,Nymble,019/159,Reverse holo,,Confirmed,,1,
,Magmar,020/159,Regular,,Confirmed,,1,
,Magmar,020/159,Reverse holo,,Confirmed,,1,
,Magmortar,021/159,Regular,,Confirmed,,1,
,Magmortar,021/159,Reverse holo,,Confirmed,,1,
,Torchic,022/159,Regular,,Confirmed,,1,
,Torchic,022/159,Reverse holo,,Confirmed,,1,
,Combusken,023/159,Regular,,Confirmed,,1,
,Combusken,023/159,Reverse holo,,Confirmed,,1,
,Blaziken ex,024/159,Regular,,Confirmed,,1,
,Torkoal,025/159,Regular,,Confirmed,,1,
,Torkoal,025/159,Reverse holo,,Confirmed,,1,
,N's Darumaka,026/159,Regular,,Confirmed,,1,
,N's Darumaka,026/159,Reverse holo,,Confirmed,,1,
,N's Darmanitan,027/159,Regular,,Confirmed,,1,
,N's Darmanitan,027/159,Reverse holo,,Confirmed,,1,
,Larvesta,028/159,Regular,,Confirmed,,1,
,Larvesta,028/159,Reverse holo,,Confirmed,,1,
,Volcarona,029/159,Regular,,Confirmed,,1,
,Volcarona,029/159,Reverse holo,,Confirmed,,1,
,Reshiram ex,030/159,Regular,,Confirmed,,1,
,Volcanion ex,031/159,Regular,,Confirmed,,1,
,Articuno,032/159,Regular,,Confirmed,,1,
,Articuno,032/159,Reverse holo,,Confirmed,,0,
,Remoraid,033/159,Regular,,Confirmed,,1,
,Remoraid,033/159,Reverse holo,,Confirmed,,1,
,Octillery,034/159,Regular,,Confirmed,,1,
,Octillery,034/159,Reverse holo,,Confirmed,,1,
