Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Boundaries Crossed,,,,,,,,
,Keldeo,47/149,Holo,Boundaries Crossed booster packs,Confirmed,,0,
,Keldeo,47/149,Reverse holo,Boundaries Crossed booster packs,Confirmed,,1,
,Keldeo,48/149,Regular,Boundaries Crossed booster packs,Confirmed,,1,
,Keldeo,48/149,Reverse holo,Boundaries Crossed booster packs,Confirmed,,0,
,Keldeo-EX,49/149,Holo EX,Boundaries Crossed booster packs,Confirmed,,1,
,Keldeo-EX,142/149,Full Art,Boundaries Crossed booster packs,Confirmed,,0,
Legendary Treasures,,,,,,,,
,Keldeo-EX,45/113,Holo EX,Legendary Treasures booster packs,Confirmed,,1,
BW Promos,,,,,,,,
,Keldeo,BW60,Non-holo promo,Kyurem vs. the Sword of Justice DVD release,Confirmed,,0,
,Keldeo,BW60,Tinsel holo promo,Keldeo Box — October 2012,Confirmed,,1,
,Keldeo-EX,BW61,Holo promo,"EX Power Tins — Keldeo-EX Tin, March 2013",Confirmed,,1,
Everyone's Exciting Battle (JP),,,,,,,,
,Keldeo,15/47,Japanese only,"Everyone's Exciting Battle gift set — Japan, November 2012",Confirmed,,0,
XY Promos,,,,,,,,
,Keldeo,XY118,Full Art holo promo,"Mythical Pokémon Collection—Keldeo, October 2016",Confirmed,,1,
,Keldeo,XY191,Holo promo,"Volcanion Mythical Collection, January 2017",Confirmed,,1,
Shining Legends,,,,,,,,
,Keldeo,26/73,Reverse holo,Shining Legends booster packs,Confirmed,,1,
,Keldeo,26/73,Holo,Shining Legends booster packs,Confirmed,,1,
Unified Minds,,,,,,,,
,Keldeo-GX,47/236,Holo GX,Unified Minds booster packs,Confirmed,,1,
,Keldeo-GX,219/236,Full Art,Unified Minds booster packs,Confirmed,,1,
,Keldeo-GX,240/236,Rainbow Rare,Unified Minds booster packs,Confirmed,,1,
Sword & Shield,,,,,,,,
,Keldeo V,53/202,Holo V,Sword & Shield booster packs,Confirmed,,1,
Astral Radiance,,,,,,,,
,Keldeo,45/189,Reverse holo,Astral Radiance booster packs,Confirmed,,0,
,Keldeo,45/189,Non-holo,Build & Battle deck,Confirmed,,0,
,Keldeo,45/189,Cosmos holo,Virizion V Box,Confirmed,,0,
,Keldeo,45/189,Holo,Astral Radiance booster packs,Confirmed,,1,
Silver Tempest,,,,,,,,
,Keldeo,46/195,Reverse holo,Silver Tempest booster packs,Confirmed,,0,
,Keldeo,46/195,Regular,Silver Tempest booster packs,Confirmed,,1,
Crown Zenith,,,,,,,,
,Keldeo,GG7/GG70,Galarian Gallery holo,Crown Zenith booster packs,Confirmed,,1,
Temporal Forces,,,,,,,,
,Keldeo,44/162,Reverse holo,Temporal Forces booster packs,Confirmed,,1,
,Keldeo,44/162,Regular,Temporal Forces booster packs,Confirmed,,0,
White Flare,,,,,,,,
,Keldeo ex,30/86,Double Rare,White Flare booster packs,Confirmed,,1,
,Keldeo ex,159/86,Ultra Rare,White Flare booster packs,Confirmed,,1,
,Keldeo ex,167/86,Special Illustration Rare,White Flare booster packs,Confirmed,,0,
Chaos Rising,,,,,,,,
,Keldeo,19/86,Holo,Chaos Rising booster packs,Confirmed,,1,
,Keldeo,19/86,Reverse holo,Chaos Rising booster packs,Confirmed,,0,
,Keldeo,19/86,Chaos Rising stamp holo,Retail gift with purchase,Confirmed,,0,
