Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Bulbasaur,001/132,Regular,,Confirmed,,0,
,Bulbasaur,001/132,Reverse holo,,Confirmed,,0,
,Ivysaur,002/132,Regular,,Confirmed,,0,
,Ivysaur,002/132,Reverse holo,,Confirmed,,0,
,Mega Venusaur ex,003/132,Regular,,Confirmed,,0,
,Exeggcute,004/132,Regular,,Confirmed,,0,
,Exeggcute,004/132,Reverse holo,,Confirmed,,0,
,Exeggutor,005/132,Regular,,Confirmed,,0,
,Exeggutor,005/132,Reverse holo,,Confirmed,,0,
,Tangela,006/132,Regular,,Confirmed,,0,
,Tangela,006/132,Reverse holo,,Confirmed,,0,
,Tangrowth,007/132,Regular,,Confirmed,,0,
,Tangrowth,007/132,Reverse holo,,Confirmed,,0,
,Chikorita,008/132,Regular,,Confirmed,,0,
,Chikorita,008/132,Reverse holo,,Confirmed,,0,
,Bayleef,009/132,Regular,,Confirmed,,0,
,Bayleef,009/132,Reverse holo,,Confirmed,,0,
,Meganium,010/132,Regular,,Confirmed,,0,
,Meganium,010/132,Reverse holo,,Confirmed,,0,
,Shuckle,011/132,Regular,,Confirmed,,0,
,Shuckle,011/132,Reverse holo,,Confirmed,,0,
,Celebi,012/132,Regular,,Confirmed,,0,
,Celebi,012/132,Reverse holo,,Confirmed,,0,
,Seedot,013/132,Regular,,Confirmed,,0,
,Seedot,013/132,Reverse holo,,Confirmed,,0,
,Nuzleaf,014/132,Regular,,Confirmed,,0,
,Nuzleaf,014/132,Reverse holo,,Confirmed,,0,
,Shiftry,015/132,Regular,,Confirmed,,0,
,Shiftry,015/132,Reverse holo,,Confirmed,,0,
,Nincada,016/132,Regular,,Confirmed,,0,
,Nincada,016/132,Reverse holo,,Confirmed,,0,
,Ninjask,017/132,Regular,,Confirmed,,0,
,Ninjask,017/132,Reverse holo,,Confirmed,,0,
,Dhelmise,018/132,Regular,,Confirmed,,0,
,Dhelmise,018/132,Reverse holo,,Confirmed,,0,
,Vulpix,019/132,Regular,,Confirmed,,0,
,Vulpix,019/132,Reverse holo,,Confirmed,,0,
,Ninetales,020/132,Regular,,Confirmed,,0,
,Ninetales,020/132,Reverse holo,,Confirmed,,0,
,Numel,021/132,Regular,,Confirmed,,0,
,Numel,021/132,Reverse holo,,Confirmed,,0,
,Mega Camerupt ex,022/132,Regular,,Confirmed,,0,
,Litleo,023/132,Regular,,Confirmed,,0,
,Litleo,023/132,Reverse holo,,Confirmed,,0,
,Pyroar,024/132,Regular,,Confirmed,,0,
,Pyroar,024/132,Reverse holo,,Confirmed,,0,
,Volcanion,025/132,Regular,,Confirmed,,0,
,Volcanion,025/132,Reverse holo,,Confirmed,,0,
,Scorbunny,026/132,Regular,,Confirmed,,0,
,Scorbunny,026/132,Reverse holo,,Confirmed,,0,
,Raboot,027/132,Regular,,Confirmed,,0,
,Raboot,027/132,Reverse holo,,Confirmed,,0,
,Cinderace,028/132,Regular,,Confirmed,,0,
,Cinderace,028/132,Reverse holo,,Confirmed,,0,
,Sizzlipede,029/132,Regular,,Confirmed,,0,
,Sizzlipede,029/132,Reverse holo,,Confirmed,,0,
,Centiskorch,030/132,Regular,,Confirmed,,0,
,Centiskorch,030/132,Reverse holo,,Confirmed,,0,
