Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Oddish,001/197,Regular,,Confirmed,,0,
,Oddish,001/197,Reverse holo,,Confirmed,,0,
,Gloom,002/197,Regular,,Confirmed,,0,
,Gloom,002/197,Reverse holo,,Confirmed,,0,
,Bellossom,003/197,Regular,,Confirmed,,0,
,Bellossom,003/197,Reverse holo,,Confirmed,,0,
,Scyther,004/197,Regular,,Confirmed,,0,
,Scyther,004/197,Reverse holo,,Confirmed,,0,
,Shuckle,005/197,Regular,,Confirmed,,0,
,Shuckle,005/197,Reverse holo,,Confirmed,,0,
,Surskit,006/197,Regular,,Confirmed,,0,
,Surskit,006/197,Reverse holo,,Confirmed,,0,
,Masquerain,007/197,Regular,,Confirmed,,0,
,Masquerain,007/197,Reverse holo,,Confirmed,,0,
,Combee,008/197,Regular,,Confirmed,,0,
,Combee,008/197,Reverse holo,,Confirmed,,0,
,Foongus,009/197,Regular,,Confirmed,,0,
,Foongus,009/197,Reverse holo,,Confirmed,,0,
,Amoonguss,010/197,Regular,,Confirmed,,0,
,Amoonguss,010/197,Reverse holo,,Confirmed,,0,
,Phantump,011/197,Regular,,Confirmed,,0,
,Phantump,011/197,Reverse holo,,Confirmed,,0,
,Trevenant,012/197,Regular,,Confirmed,,0,
,Trevenant,012/197,Reverse holo,,Confirmed,,0,
,Rowlet,013/197,Regular,,Confirmed,,0,
,Rowlet,013/197,Reverse holo,,Confirmed,,0,
,Dartrix,014/197,Regular,,Confirmed,,0,
,Dartrix,014/197,Reverse holo,,Confirmed,,0,
,Decidueye ex,015/197,Regular,,Confirmed,,0,
,Bounsweet,016/197,Regular,,Confirmed,,0,
,Bounsweet,016/197,Reverse holo,,Confirmed,,0,
,Steenee,017/197,Regular,,Confirmed,,0,
,Steenee,017/197,Reverse holo,,Confirmed,,0,
,Tsareena,018/197,Regular,,Confirmed,,0,
,Tsareena,018/197,Reverse holo,,Confirmed,,0,
,Smoliv,019/197,Regular,,Confirmed,,0,
,Smoliv,019/197,Reverse holo,,Confirmed,,0,
,Dolliv,020/197,Regular,,Confirmed,,0,
,Dolliv,020/197,Reverse holo,,Confirmed,,0,
,Arboliva,021/197,Regular,,Confirmed,,0,
,Arboliva,021/197,Reverse holo,,Confirmed,,0,
,Toedscruel ex,022/197,Regular,,Confirmed,,0,
,Capsakid,023/197,Regular,,Confirmed,,0,
,Capsakid,023/197,Reverse holo,,Confirmed,,0,
,Capsakid,024/197,Regular,,Confirmed,,0,
,Capsakid,024/197,Reverse holo,,Confirmed,,0,
,Scovillain,025/197,Regular,,Confirmed,,0,
,Scovillain,025/197,Reverse holo,,Confirmed,,0,
,Charmander,026/197,Regular,,Confirmed,,0,
,Charmander,026/197,Reverse holo,,Confirmed,,0,
,Charmeleon,027/197,Regular,,Confirmed,,0,
,Charmeleon,027/197,Reverse holo,,Confirmed,,0,
,Vulpix,028/197,Regular,,Confirmed,,0,
,Vulpix,028/197,Reverse holo,,Confirmed,,0,
,Ninetales,029/197,Regular,,Confirmed,,0,
,Ninetales,029/197,Reverse holo,,Confirmed,,0,
,Entei,030/197,Regular,,Confirmed,,0,
,Entei,030/197,Reverse holo,,Confirmed,,0,
,Numel,031/197,Regular,,Confirmed,,0,
,Numel,031/197,Reverse holo,,Confirmed,,0,
,Camerupt,032/197,Regular,,Confirmed,,0,
,Camerupt,032/197,Reverse holo,,Confirmed,,0,
,Victini ex,033/197,Regular,,Confirmed,,0,
,Darumaka,034/197,Regular,,Confirmed,,0,
,Darumaka,034/197,Reverse holo,,Confirmed,,0,
,Darmanitan,035/197,Regular,,Confirmed,,0,
,Darmanitan,035/197,Reverse holo,,Confirmed,,0,
,Litwick,036/197,Regular,,Confirmed,,0,
,Litwick,036/197,Reverse holo,,Confirmed,,0,
,Lampent,037/197,Regular,,Confirmed,,0,
,Lampent,037/197,Reverse holo,,Confirmed,,0,
,Chandelure,038/197,Regular,,Confirmed,,0,
,Chandelure,038/197,Reverse holo,,Confirmed,,0,
,Heatmor,039/197,Regular,,Confirmed,,0,
,Heatmor,039/197,Reverse holo,,Confirmed,,0,
