Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Hoppip,001/193,Regular,,Confirmed,,0,
,Hoppip,001/193,Reverse holo,,Confirmed,,0,
,Skiploom,002/193,Regular,,Confirmed,,0,
,Skiploom,002/193,Reverse holo,,Confirmed,,0,
,Jumpluff,003/193,Regular,,Confirmed,,0,
,Jumpluff,003/193,Reverse holo,,Confirmed,,0,
,Pineco,004/193,Regular,,Confirmed,,0,
,Pineco,004/193,Reverse holo,,Confirmed,,0,
,Forretress ex,005/193,Regular,,Confirmed,,0,
,Heracross,006/193,Regular,,Confirmed,,0,
,Heracross,006/193,Reverse holo,,Confirmed,,0,
,Tropius,007/193,Regular,,Confirmed,,0,
,Tropius,007/193,Reverse holo,,Confirmed,,0,
,Combee,008/193,Regular,,Confirmed,,0,
,Combee,008/193,Reverse holo,,Confirmed,,0,
,Vespiquen,009/193,Regular,,Confirmed,,0,
,Vespiquen,009/193,Reverse holo,,Confirmed,,0,
,Snover,010/193,Regular,,Confirmed,,0,
,Snover,010/193,Reverse holo,,Confirmed,,0,
,Abomasnow,011/193,Regular,,Confirmed,,0,
,Abomasnow,011/193,Reverse holo,,Confirmed,,0,
,Sprigatito,012/193,Regular,,Confirmed,,0,
,Sprigatito,012/193,Reverse holo,,Confirmed,,0,
,Sprigatito,013/193,Regular,,Confirmed,,0,
,Sprigatito,013/193,Reverse holo,,Confirmed,,0,
,Floragato,014/193,Regular,,Confirmed,,0,
,Floragato,014/193,Reverse holo,,Confirmed,,0,
,Meowscarada ex,015/193,Regular,,Confirmed,,0,
,Tarountula,016/193,Regular,,Confirmed,,0,
,Tarountula,016/193,Reverse holo,,Confirmed,,0,
,Tarountula,017/193,Regular,,Confirmed,,0,
,Tarountula,017/193,Reverse holo,,Confirmed,,0,
,Spidops,018/193,Regular,,Confirmed,,0,
,Spidops,018/193,Reverse holo,,Confirmed,,0,
,Nymble,019/193,Regular,,Confirmed,,0,
,Nymble,019/193,Reverse holo,,Confirmed,,0,
,Nymble,020/193,Regular,,Confirmed,,0,
,Nymble,020/193,Reverse holo,,Confirmed,,0,
,Lokix,021/193,Regular,,Confirmed,,0,
,Lokix,021/193,Reverse holo,,Confirmed,,0,
,Bramblin,022/193,Regular,,Confirmed,,0,
,Bramblin,022/193,Reverse holo,,Confirmed,,0,
,Bramblin,023/193,Regular,,Confirmed,,0,
,Bramblin,023/193,Reverse holo,,Confirmed,,0,
,Brambleghast,024/193,Regular,,Confirmed,,0,
,Brambleghast,024/193,Reverse holo,,Confirmed,,0,
,Rellor,025/193,Regular,,Confirmed,,0,
,Rellor,025/193,Reverse holo,,Confirmed,,0,
,Rellor,026/193,Regular,,Confirmed,,0,
,Rellor,026/193,Reverse holo,,Confirmed,,0,
,Wo-Chien ex,027/193,Regular,,Confirmed,,0,
,Paldean Tauros,028/193,Regular,,Confirmed,,0,
,Paldean Tauros,028/193,Reverse holo,,Confirmed,,0,
,Fletchinder,029/193,Regular,,Confirmed,,0,
,Fletchinder,029/193,Reverse holo,,Confirmed,,0,
,Talonflame,030/193,Regular,,Confirmed,,0,
,Talonflame,030/193,Reverse holo,,Confirmed,,0,
,Litleo,031/193,Regular,,Confirmed,,0,
,Litleo,031/193,Reverse holo,,Confirmed,,0,
,Pyroar,032/193,Regular,,Confirmed,,0,
,Pyroar,032/193,Reverse holo,,Confirmed,,0,
,Oricorio,033/193,Regular,,Confirmed,,0,
,Oricorio,033/193,Reverse holo,,Confirmed,,0,
,Fuecoco,034/193,Regular,,Confirmed,,0,
,Fuecoco,034/193,Reverse holo,,Confirmed,,0,
,Fuecoco,035/193,Regular,,Confirmed,,0,
,Fuecoco,035/193,Reverse holo,,Confirmed,,0,
,Crocalor,036/193,Regular,,Confirmed,,0,
,Crocalor,036/193,Reverse holo,,Confirmed,,0,
,Skeledirge ex,037/193,Regular,,Confirmed,,0,
,Charcadet,038/193,Regular,,Confirmed,,0,
,Charcadet,038/193,Reverse holo,,Confirmed,,0,
,Charcadet,039/193,Regular,,Confirmed,,0,
,Charcadet,039/193,Reverse holo,,Confirmed,,0,
,Chi-Yu ex,040/193,Regular,,Confirmed,,0,
,Paldean Tauros,041/193,Regular,,Confirmed,,0,
,Paldean Tauros,041/193,Reverse holo,,Confirmed,,0,
,Magikarp,042/193,Regular,,Confirmed,,0,
,Magikarp,042/193,Reverse holo,,Confirmed,,0,
,Gyarados,043/193,Regular,,Confirmed,,0,
,Gyarados,043/193,Reverse holo,,Confirmed,,0,
,Marill,044/193,Regular,,Confirmed,,0,
,Marill,044/193,Reverse holo,,Confirmed,,0,
,Azumarill,045/193,Regular,,Confirmed,,0,
,Azumarill,045/193,Reverse holo,,Confirmed,,0,
,Delibird,046/193,Regular,,Confirmed,,0,
,Delibird,046/193,Reverse holo,,Confirmed,,0,
,Luvdisc,047/193,Regular,,Confirmed,,0,
,Luvdisc,047/193,Reverse holo,,Confirmed,,0,
,Eiscue,048/193,Regular,,Confirmed,,0,
,Eiscue,048/193,Reverse holo,,Confirmed,,0,
,Quaxly,049/193,Regular,,Confirmed,,0,
,Quaxly,049/193,Reverse holo,,Confirmed,,0,
,Quaxly,050/193,Regular,,Confirmed,,0,
,Quaxly,050/193,Reverse holo,,Confirmed,,0,
,Quaxwell,051/193,Regular,,Confirmed,,0,
,Quaxwell,051/193,Reverse holo,,Confirmed,,0,
,Quaquaval ex,052/193,Regular,,Confirmed,,0,
,Cetoddle,053/193,Regular,,Confirmed,,0,
,Cetoddle,053/193,Reverse holo,,Confirmed,,0,
,Cetoddle,054/193,Regular,,Confirmed,,0,
,Cetoddle,054/193,Reverse holo,,Confirmed,,0,
,Cetitan,055/193,Regular,,Confirmed,,0,
,Cetitan,055/193,Reverse holo,,Confirmed,,0,
,Veluza,056/193,Regular,,Confirmed,,0,
,Veluza,056/193,Reverse holo,,Confirmed,,0,
,Frigibax,057/193,Regular,,Confirmed,,0,
,Frigibax,057/193,Reverse holo,,Confirmed,,0,
,Frigibax,058/193,Regular,,Confirmed,,0,
,Frigibax,058/193,Reverse holo,,Confirmed,,0,
,Arctibax,059/193,Regular,,Confirmed,,0,
,Arctibax,059/193,Reverse holo,,Confirmed,,0,
,Baxcalibur,060/193,Regular,,Confirmed,,0,
,Baxcalibur,060/193,Reverse holo,,Confirmed,,0,
,Chien-Pao ex,061/193,Regular,,Confirmed,,0,
,Pikachu,062/193,Regular,,Confirmed,,0,
,Pikachu,062/193,Reverse holo,,Confirmed,,0,
,Pikachu ex,063/193,Regular,,Confirmed,,0,
,Raichu,064/193,Regular,,Confirmed,,0,
