Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Pineco,001/091,Regular,,Confirmed,,0,
,Pineco,001/091,Reverse holo,,Confirmed,,0,
,Forretress ex,002/091,Regular,,Confirmed,,0,
,Maractus,003/091,Regular,,Confirmed,,0,
,Maractus,003/091,Reverse holo,,Confirmed,,0,
,Toedscool,004/091,Regular,,Confirmed,,0,
,Toedscool,004/091,Reverse holo,,Confirmed,,0,
,Toedscruel ex,005/091,Regular,,Confirmed,,0,
,Espathra ex,006/091,Regular,,Confirmed,,0,
,Charmander,007/091,Regular,,Confirmed,,0,
,Charmander,007/091,Reverse holo,,Confirmed,,0,
,Charmeleon,008/091,Regular,,Confirmed,,0,
,Charmeleon,008/091,Reverse holo,,Confirmed,,0,
,Magmar,009/091,Regular,,Confirmed,,0,
,Magmar,009/091,Reverse holo,,Confirmed,,0,
,Magmortar,010/091,Regular,,Confirmed,,0,
,Magmortar,010/091,Reverse holo,,Confirmed,,0,
,Numel,011/091,Regular,,Confirmed,,0,
,Numel,011/091,Reverse holo,,Confirmed,,0,
,Camerupt,012/091,Regular,,Confirmed,,0,
,Camerupt,012/091,Reverse holo,,Confirmed,,0,
,Heat Rotom,013/091,Regular,,Confirmed,,0,
,Heat Rotom,013/091,Reverse holo,,Confirmed,,0,
,Charcadet,014/091,Regular,,Confirmed,,0,
,Charcadet,014/091,Reverse holo,,Confirmed,,0,
,Armarouge,015/091,Regular,,Confirmed,,0,
,Armarouge,015/091,Reverse holo,,Confirmed,,0,
,Lapras,016/091,Regular,,Confirmed,,0,
,Lapras,016/091,Reverse holo,,Confirmed,,0,
,Frigibax,017/091,Regular,,Confirmed,,0,
,Frigibax,017/091,Reverse holo,,Confirmed,,0,
,Pikachu,018/091,Regular,,Confirmed,,0,
,Pikachu,018/091,Reverse holo,,Confirmed,,0,
,Raichu,019/091,Regular,,Confirmed,,0,
,Raichu,019/091,Reverse holo,,Confirmed,,0,
,Chinchou,020/091,Regular,,Confirmed,,0,
,Chinchou,020/091,Reverse holo,,Confirmed,,0,
,Lanturn,021/091,Regular,,Confirmed,,0,
,Lanturn,021/091,Reverse holo,,Confirmed,,0,
,Kilowattrel,022/091,Regular,,Confirmed,,0,
,Kilowattrel,022/091,Reverse holo,,Confirmed,,0,
,Exeggcute,023/091,Regular,,Confirmed,,0,
,Exeggcute,023/091,Reverse holo,,Confirmed,,0,
,Exeggutor,024/091,Regular,,Confirmed,,0,
,Exeggutor,024/091,Reverse holo,,Confirmed,,0,
,Natu,025/091,Regular,,Confirmed,,0,
,Natu,025/091,Reverse holo,,Confirmed,,0,
,Xatu,026/091,Regular,,Confirmed,,0,
,Xatu,026/091,Reverse holo,,Confirmed,,0,
,Ralts,027/091,Regular,,Confirmed,,0,
,Ralts,027/091,Reverse holo,,Confirmed,,0,
,Kirlia,028/091,Regular,,Confirmed,,0,
,Kirlia,028/091,Reverse holo,,Confirmed,,0,
,Gardevoir ex,029/091,Regular,,Confirmed,,0,
,Chimecho,030/091,Regular,,Confirmed,,0,
,Chimecho,030/091,Reverse holo,,Confirmed,,0,
,Mime Jr.,031/091,Regular,,Confirmed,,0,
,Mime Jr.,031/091,Reverse holo,,Confirmed,,0,
,Woobat,032/091,Regular,,Confirmed,,0,
,Woobat,032/091,Reverse holo,,Confirmed,,0,
,Swoobat,033/091,Regular,,Confirmed,,0,
,Swoobat,033/091,Reverse holo,,Confirmed,,0,
,Cottonee,034/091,Regular,,Confirmed,,0,
,Cottonee,034/091,Reverse holo,,Confirmed,,0,
,Whimsicott,035/091,Regular,,Confirmed,,0,
,Whimsicott,035/091,Reverse holo,,Confirmed,,0,
,Dedenne,036/091,Regular,,Confirmed,,0,
,Dedenne,036/091,Reverse holo,,Confirmed,,0,
,Mimikyu,037/091,Regular,,Confirmed,,0,
,Mimikyu,037/091,Reverse holo,,Confirmed,,0,
,Fidough,038/091,Regular,,Confirmed,,0,
,Fidough,038/091,Reverse holo,,Confirmed,,0,
,Dachsbun,039/091,Regular,,Confirmed,,0,
,Dachsbun,039/091,Reverse holo,,Confirmed,,0,
,Ceruledge,040/091,Regular,,Confirmed,,0,
