Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Surskit,001/182,Regular,,Confirmed,,0,
,Surskit,001/182,Reverse holo,,Confirmed,,0,
,Masquerain,002/182,Regular,,Confirmed,,0,
,Masquerain,002/182,Reverse holo,,Confirmed,,0,
,Froslass ex,003/182,Regular,,Confirmed,,0,
,Pansage,004/182,Regular,,Confirmed,,0,
,Pansage,004/182,Reverse holo,,Confirmed,,0,
,Simisage,005/182,Regular,,Confirmed,,0,
,Simisage,005/182,Reverse holo,,Confirmed,,0,
,Dwebble,006/182,Regular,,Confirmed,,0,
,Dwebble,006/182,Reverse holo,,Confirmed,,0,
,Crustle,007/182,Regular,,Confirmed,,0,
,Crustle,007/182,Reverse holo,,Confirmed,,0,
,Bounsweet,008/182,Regular,,Confirmed,,0,
,Bounsweet,008/182,Reverse holo,,Confirmed,,0,
,Steenee,009/182,Regular,,Confirmed,,0,
,Steenee,009/182,Reverse holo,,Confirmed,,0,
,Blipbug,010/182,Regular,,Confirmed,,0,
,Blipbug,010/182,Reverse holo,,Confirmed,,0,
,Dottler,011/182,Regular,,Confirmed,,0,
,Dottler,011/182,Reverse holo,,Confirmed,,0,
,Orbeetle,012/182,Regular,,Confirmed,,0,
,Orbeetle,012/182,Reverse holo,,Confirmed,,0,
,Nymble,013/182,Regular,,Confirmed,,0,
,Nymble,013/182,Reverse holo,,Confirmed,,0,
,Nymble,014/182,Regular,,Confirmed,,0,
,Nymble,014/182,Reverse holo,,Confirmed,,0,
,Toedscool,015/182,Regular,,Confirmed,,0,
,Toedscool,015/182,Reverse holo,,Confirmed,,0,
,Toedscool,016/182,Regular,,Confirmed,,0,
,Toedscool,016/182,Reverse holo,,Confirmed,,0,
,Toedscruel,017/182,Regular,,Confirmed,,0,
,Toedscruel,017/182,Reverse holo,,Confirmed,,0,
,Wo-Chien,018/182,Regular,,Confirmed,,0,
,Wo-Chien,018/182,Reverse holo,,Confirmed,,0,
,Magby,019/182,Regular,,Confirmed,,0,
,Magby,019/182,Reverse holo,,Confirmed,,0,
,Pansear,020/182,Regular,,Confirmed,,0,
,Pansear,020/182,Reverse holo,,Confirmed,,0,
,Simisear,021/182,Regular,,Confirmed,,0,
,Simisear,021/182,Reverse holo,,Confirmed,,0,
,Volcanion,022/182,Regular,,Confirmed,,0,
,Volcanion,022/182,Reverse holo,,Confirmed,,0,
,Fuecoco,023/182,Regular,,Confirmed,,0,
,Fuecoco,023/182,Reverse holo,,Confirmed,,0,
,Crocalor,024/182,Regular,,Confirmed,,0,
,Crocalor,024/182,Reverse holo,,Confirmed,,0,
,Charcadet,025/182,Regular,,Confirmed,,0,
,Charcadet,025/182,Reverse holo,,Confirmed,,0,
,Charcadet,026/182,Regular,,Confirmed,,0,
,Charcadet,026/182,Reverse holo,,Confirmed,,0,
,Armarouge ex,027/182,Regular,,Confirmed,,0,
,Iron Moth,028/182,Regular,,Confirmed,,0,
,Iron Moth,028/182,Reverse holo,,Confirmed,,0,
,Chi-Yu,029/182,Regular,,Confirmed,,0,
,Chi-Yu,029/182,Reverse holo,,Confirmed,,0,
,Horsea,030/182,Regular,,Confirmed,,0,
,Horsea,030/182,Reverse holo,,Confirmed,,0,
,Seadra,031/182,Regular,,Confirmed,,0,
,Seadra,031/182,Reverse holo,,Confirmed,,0,
,Kingdra,032/182,Regular,,Confirmed,,0,
,Kingdra,032/182,Reverse holo,,Confirmed,,0,
,Remoraid,033/182,Regular,,Confirmed,,0,
,Remoraid,033/182,Reverse holo,,Confirmed,,0,
,Octillery,034/182,Regular,,Confirmed,,0,
,Octillery,034/182,Reverse holo,,Confirmed,,0,
,Feebas,035/182,Regular,,Confirmed,,0,
,Feebas,035/182,Reverse holo,,Confirmed,,0,
,Milotic,036/182,Regular,,Confirmed,,0,
,Milotic,036/182,Reverse holo,,Confirmed,,0,
,Snorunt,037/182,Regular,,Confirmed,,0,
,Snorunt,037/182,Reverse holo,,Confirmed,,0,
,Garchomp ex,038/182,Regular,,Confirmed,,0,
,Mantyke,039/182,Regular,,Confirmed,,0,
,Mantyke,039/182,Reverse holo,,Confirmed,,0,
,Palkia,040/182,Regular,,Confirmed,,0,
,Palkia,040/182,Reverse holo,,Confirmed,,0,
,Panpour,041/182,Regular,,Confirmed,,0,
,Panpour,041/182,Reverse holo,,Confirmed,,0,
,Simipour,042/182,Regular,,Confirmed,,0,
,Simipour,042/182,Reverse holo,,Confirmed,,0,
,Vanillite,043/182,Regular,,Confirmed,,0,
,Vanillite,043/182,Reverse holo,,Confirmed,,0,
,Vanillish,044/182,Regular,,Confirmed,,0,
,Vanillish,044/182,Reverse holo,,Confirmed,,0,
,Vanilluxe,045/182,Regular,,Confirmed,,0,
,Vanilluxe,045/182,Reverse holo,,Confirmed,,0,
,Tsareena ex,046/182,Regular,,Confirmed,,0,
,Wimpod,047/182,Regular,,Confirmed,,0,
,Wimpod,047/182,Reverse holo,,Confirmed,,0,
,Wimpod,048/182,Regular,,Confirmed,,0,
,Wimpod,048/182,Reverse holo,,Confirmed,,0,
,Golisopod,049/182,Regular,,Confirmed,,0,
,Golisopod,049/182,Reverse holo,,Confirmed,,0,
,Golisopod ex,050/182,Regular,,Confirmed,,0,
,Wiglett,051/182,Regular,,Confirmed,,0,
,Wiglett,051/182,Reverse holo,,Confirmed,,0,
,Wiglett,052/182,Regular,,Confirmed,,0,
,Wiglett,052/182,Reverse holo,,Confirmed,,0,
,Wugtrio,053/182,Regular,,Confirmed,,0,
,Wugtrio,053/182,Reverse holo,,Confirmed,,0,
,Veluza,054/182,Regular,,Confirmed,,0,
,Veluza,054/182,Reverse holo,,Confirmed,,0,
,Dondozo,055/182,Regular,,Confirmed,,0,
,Dondozo,055/182,Reverse holo,,Confirmed,,0,
,Iron Bundle,056/182,Regular,,Confirmed,,0,
,Iron Bundle,056/182,Reverse holo,,Confirmed,,0,
,Chien-Pao,057/182,Regular,,Confirmed,,0,
,Chien-Pao,057/182,Reverse holo,,Confirmed,,0,
,Mewtwo ex,058/182,Regular,,Confirmed,,0,
,Elekid,059/182,Regular,,Confirmed,,0,
,Elekid,059/182,Reverse holo,,Confirmed,,0,
,Plusle,060/182,Regular,,Confirmed,,0,
,Plusle,060/182,Reverse holo,,Confirmed,,0,
,Minun,061/182,Regular,,Confirmed,,0,
,Minun,061/182,Reverse holo,,Confirmed,,0,
,Blitzle,062/182,Regular,,Confirmed,,0,
,Blitzle,062/182,Reverse holo,,Confirmed,,0,
,Zebstrika,063/182,Regular,,Confirmed,,0,
,Zebstrika,063/182,Reverse holo,,Confirmed,,0,
,Joltik,064/182,Regular,,Confirmed,,0,
,Joltik,064/182,Reverse holo,,Confirmed,,0,
,Galvantula,065/182,Regular,,Confirmed,,0,
,Galvantula,065/182,Reverse holo,,Confirmed,,0,
,Zekrom,066/182,Regular,,Confirmed,,0,
,Zekrom,066/182,Reverse holo,,Confirmed,,0,
,Oricorio,067/182,Regular,,Confirmed,,0,
,Oricorio,067/182,Reverse holo,,Confirmed,,0,
,Tapu Koko ex,068/182,Regular,,Confirmed,,0,
,Toxel,069/182,Regular,,Confirmed,,0,
,Toxel,069/182,Reverse holo,,Confirmed,,0,
,Iron Hands ex,070/182,Regular,,Confirmed,,0,
,Natu,071/182,Regular,,Confirmed,,0,
,Natu,071/182,Reverse holo,,Confirmed,,0,
,Xatu,072/182,Regular,,Confirmed,,0,
,Xatu,072/182,Reverse holo,,Confirmed,,0,
,Latios,073/182,Regular,,Confirmed,,0,
,Latios,073/182,Reverse holo,,Confirmed,,0,
,Deoxys,074/182,Regular,,Confirmed,,0,
,Deoxys,074/182,Reverse holo,,Confirmed,,0,
,Yamask,075/182,Regular,,Confirmed,,0,
,Yamask,075/182,Reverse holo,,Confirmed,,0,
,Cofagrigus ex,076/182,Regular,,Confirmed,,0,
,Pumpkaboo,077/182,Regular,,Confirmed,,0,
,Pumpkaboo,077/182,Reverse holo,,Confirmed,,0,
,Gourgeist,078/182,Regular,,Confirmed,,0,
,Gourgeist,078/182,Reverse holo,,Confirmed,,0,
,Flittle,079/182,Regular,,Confirmed,,0,
,Flittle,079/182,Reverse holo,,Confirmed,,0,
,Flittle,080/182,Regular,,Confirmed,,0,
,Flittle,080/182,Reverse holo,,Confirmed,,0,
,Espathra,081/182,Regular,,Confirmed,,0,
,Espathra,081/182,Reverse holo,,Confirmed,,0,
,Tinkatink,082/182,Regular,,Confirmed,,0,
,Tinkatink,082/182,Reverse holo,,Confirmed,,0,
,Tinkatink,083/182,Regular,,Confirmed,,0,
,Tinkatink,083/182,Reverse holo,,Confirmed,,0,
,Tinkatuff,084/182,Regular,,Confirmed,,0,
,Tinkatuff,084/182,Reverse holo,,Confirmed,,0,
,Tinkaton,085/182,Regular,,Confirmed,,0,
,Tinkaton,085/182,Reverse holo,,Confirmed,,0,
,Scream Tail,086/182,Regular,,Confirmed,,0,
,Scream Tail,086/182,Reverse holo,,Confirmed,,0,
,Gimmighoul,087/182,Regular,,Confirmed,,0,
,Gimmighoul,087/182,Reverse holo,,Confirmed,,0,
,Gimmighoul,088/182,Regular,,Confirmed,,0,
,Gimmighoul,088/182,Reverse holo,,Confirmed,,0,
,Iron Valiant ex,089/182,Regular,,Confirmed,,0,
,Onix,090/182,Regular,,Confirmed,,0,
,Onix,090/182,Reverse holo,,Confirmed,,0,
,Gligar,091/182,Regular,,Confirmed,,0,
,Gligar,091/182,Reverse holo,,Confirmed,,0,
,Gliscor,092/182,Regular,,Confirmed,,0,
,Gliscor,092/182,Reverse holo,,Confirmed,,0,
,Groudon,093/182,Regular,,Confirmed,,0,
,Groudon,093/182,Reverse holo,,Confirmed,,0,
,Gible,094/182,Regular,,Confirmed,,0,
,Gible,094/182,Reverse holo,,Confirmed,,0,
,Gabite,095/182,Regular,,Confirmed,,0,
,Gabite,095/182,Reverse holo,,Confirmed,,0,
,Mienfoo,096/182,Regular,,Confirmed,,0,
,Mienfoo,096/182,Reverse holo,,Confirmed,,0,
,Mienshao,097/182,Regular,,Confirmed,,0,
,Mienshao,097/182,Reverse holo,,Confirmed,,0,
,Hoopa ex,098/182,Regular,,Confirmed,,0,
,Minior,099/182,Regular,,Confirmed,,0,
,Minior,099/182,Reverse holo,,Confirmed,,0,
,Toxtricity ex,100/182,Regular,,Confirmed,,0,
,Nacli,101/182,Regular,,Confirmed,,0,
,Nacli,101/182,Reverse holo,,Confirmed,,0,
,Nacli,102/182,Regular,,Confirmed,,0,
,Nacli,102/182,Reverse holo,,Confirmed,,0,
,Naclstack,103/182,Regular,,Confirmed,,0,
,Naclstack,103/182,Reverse holo,,Confirmed,,0,
,Garganacl,104/182,Regular,,Confirmed,,0,
,Garganacl,104/182,Reverse holo,,Confirmed,,0,
,Klawf,105/182,Regular,,Confirmed,,0,
,Klawf,105/182,Reverse holo,,Confirmed,,0,
,Flamigo,106/182,Regular,,Confirmed,,0,
,Flamigo,106/182,Reverse holo,,Confirmed,,0,
,Slither Wing,107/182,Regular,,Confirmed,,0,
,Slither Wing,107/182,Reverse holo,,Confirmed,,0,
,Sandy Shocks ex,108/182,Regular,,Confirmed,,0,
,Ting-Lu,109/182,Regular,,Confirmed,,0,
,Ting-Lu,109/182,Reverse holo,,Confirmed,,0,
,Zubat,110/182,Regular,,Confirmed,,0,
,Zubat,110/182,Reverse holo,,Confirmed,,0,
,Golbat,111/182,Regular,,Confirmed,,0,
,Golbat,111/182,Reverse holo,,Confirmed,,0,
,Crobat,112/182,Regular,,Confirmed,,0,
,Crobat,112/182,Reverse holo,,Confirmed,,0,
,Absol,113/182,Regular,,Confirmed,,0,
,Absol,113/182,Reverse holo,,Confirmed,,0,
,Purrloin,114/182,Regular,,Confirmed,,0,
,Purrloin,114/182,Reverse holo,,Confirmed,,0,
,Liepard,115/182,Regular,,Confirmed,,0,
,Liepard,115/182,Reverse holo,,Confirmed,,0,
,Trubbish,116/182,Regular,,Confirmed,,0,
,Trubbish,116/182,Reverse holo,,Confirmed,,0,
,Garbodor,117/182,Regular,,Confirmed,,0,
,Garbodor,117/182,Reverse holo,,Confirmed,,0,
,Yveltal,118/182,Regular,,Confirmed,,0,
,Yveltal,118/182,Reverse holo,,Confirmed,,0,
,Nickit,119/182,Regular,,Confirmed,,0,
,Nickit,119/182,Reverse holo,,Confirmed,,0,
,Thievul,120/182,Regular,,Confirmed,,0,
,Thievul,120/182,Reverse holo,,Confirmed,,0,
,Morpeko,121/182,Regular,,Confirmed,,0,
,Morpeko,121/182,Reverse holo,,Confirmed,,0,
,Lokix,122/182,Regular,,Confirmed,,0,
,Lokix,122/182,Reverse holo,,Confirmed,,0,
,Brute Bonnet,123/182,Regular,,Confirmed,,0,
,Brute Bonnet,123/182,Reverse holo,,Confirmed,,0,
,Roaring Moon ex,124/182,Regular,,Confirmed,,0,
,Steelix,125/182,Regular,,Confirmed,,0,
,Steelix,125/182,Reverse holo,,Confirmed,,0,
,Jirachi,126/182,Regular,,Confirmed,,0,
,Jirachi,126/182,Reverse holo,,Confirmed,,0,
,Ferroseed,127/182,Regular,,Confirmed,,0,
,Ferroseed,127/182,Reverse holo,,Confirmed,,0,
,Ferrothorn,128/182,Regular,,Confirmed,,0,
,Ferrothorn,128/182,Reverse holo,,Confirmed,,0,
,Durant,129/182,Regular,,Confirmed,,0,
,Durant,129/182,Reverse holo,,Confirmed,,0,
,Honedge,130/182,Regular,,Confirmed,,0,
,Honedge,130/182,Reverse holo,,Confirmed,,0,
,Honedge,131/182,Regular,,Confirmed,,0,
,Honedge,131/182,Reverse holo,,Confirmed,,0,
,Doublade,132/182,Regular,,Confirmed,,0,
,Doublade,132/182,Reverse holo,,Confirmed,,0,
,Doublade,133/182,Regular,,Confirmed,,0,
,Doublade,133/182,Reverse holo,,Confirmed,,0,
,Aegislash,134/182,Regular,,Confirmed,,0,
,Aegislash,134/182,Reverse holo,,Confirmed,,0,
,Aegislash ex,135/182,Regular,,Confirmed,,0,
,Zacian,136/182,Regular,,Confirmed,,0,
