Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Spinarak,001/088,Regular,,Confirmed,,0,
,Spinarak,001/088,Reverse holo,,Confirmed,,0,
,Ariados,002/088,Regular,,Confirmed,,0,
,Ariados,002/088,Reverse holo,,Confirmed,,0,
,Shaymin,003/088,Regular,,Confirmed,,0,
,Shaymin,003/088,Reverse holo,,Confirmed,,0,
,Snivy,004/088,Regular,,Confirmed,,0,
,Snivy,004/088,Reverse holo,,Confirmed,,0,
,Servine,005/088,Regular,,Confirmed,,0,
,Servine,005/088,Reverse holo,,Confirmed,,0,
,Serperior,006/088,Regular,,Confirmed,,0,
,Serperior,006/088,Reverse holo,,Confirmed,,0,
,Scatterbug,007/088,Regular,,Confirmed,,0,
,Scatterbug,007/088,Reverse holo,,Confirmed,,0,
,Spewpa,008/088,Regular,,Confirmed,,0,
,Spewpa,008/088,Reverse holo,,Confirmed,,0,
,Vivillon,009/088,Regular,,Confirmed,,0,
,Vivillon,009/088,Reverse holo,,Confirmed,,0,
,Rowlet,010/088,Regular,,Confirmed,,0,
,Rowlet,010/088,Reverse holo,,Confirmed,,0,
,Dartrix,011/088,Regular,,Confirmed,,0,
,Dartrix,011/088,Reverse holo,,Confirmed,,0,
,Decidueye ex,012/088,Regular,,Confirmed,,0,
,Fletchinder,013/088,Regular,,Confirmed,,0,
,Fletchinder,013/088,Reverse holo,,Confirmed,,0,
,Talonflame,014/088,Regular,,Confirmed,,0,
,Talonflame,014/088,Reverse holo,,Confirmed,,0,
,Salandit,015/088,Regular,,Confirmed,,0,
,Salandit,015/088,Reverse holo,,Confirmed,,0,
,Salazzle ex,016/088,Regular,,Confirmed,,0,
,Turtonator,017/088,Regular,,Confirmed,,0,
,Turtonator,017/088,Reverse holo,,Confirmed,,0,
,Seel,018/088,Regular,,Confirmed,,0,
,Seel,018/088,Reverse holo,,Confirmed,,0,
,Dewgong,019/088,Regular,,Confirmed,,0,
,Dewgong,019/088,Reverse holo,,Confirmed,,0,
,Staryu,020/088,Regular,,Confirmed,,0,
,Staryu,020/088,Reverse holo,,Confirmed,,0,
,Mega Starmie ex,021/088,Regular,,Confirmed,,0,
,Lapras ex,022/088,Regular,,Confirmed,,0,
,Amaura,023/088,Regular,,Confirmed,,0,
,Amaura,023/088,Reverse holo,,Confirmed,,0,
,Aurorus,024/088,Regular,,Confirmed,,0,
,Aurorus,024/088,Reverse holo,,Confirmed,,0,
,Volcanion,025/088,Regular,,Confirmed,,0,
,Volcanion,025/088,Reverse holo,,Confirmed,,0,
,Shinx,026/088,Regular,,Confirmed,,0,
,Shinx,026/088,Reverse holo,,Confirmed,,0,
,Luxio,027/088,Regular,,Confirmed,,0,
,Luxio,027/088,Reverse holo,,Confirmed,,0,
,Luxray,028/088,Regular,,Confirmed,,0,
,Luxray,028/088,Reverse holo,,Confirmed,,0,
,Dedenne,029/088,Regular,,Confirmed,,0,
,Dedenne,029/088,Reverse holo,,Confirmed,,0,
,Clefairy,030/088,Regular,,Confirmed,,0,
,Clefairy,030/088,Reverse holo,,Confirmed,,0,
,Mega Clefable ex,031/088,Regular,,Confirmed,,0,
,Mawile,032/088,Regular,,Confirmed,,0,
,Mawile,032/088,Reverse holo,,Confirmed,,0,
,Espurr,033/088,Regular,,Confirmed,,0,
,Espurr,033/088,Reverse holo,,Confirmed,,0,
,Meowstic,034/088,Regular,,Confirmed,,0,
,Meowstic,034/088,Reverse holo,,Confirmed,,0,
,Spritzee,035/088,Regular,,Confirmed,,0,
,Spritzee,035/088,Reverse holo,,Confirmed,,0,
,Aromatisse,036/088,Regular,,Confirmed,,0,
,Aromatisse,036/088,Reverse holo,,Confirmed,,0,
,Nosepass,037/088,Regular,,Confirmed,,0,
,Nosepass,037/088,Reverse holo,,Confirmed,,0,
,Probopass,038/088,Regular,,Confirmed,,0,
,Probopass,038/088,Reverse holo,,Confirmed,,0,
,Hippopotas,039/088,Regular,,Confirmed,,0,
,Hippopotas,039/088,Reverse holo,,Confirmed,,0,
,Hippowdon,040/088,Regular,,Confirmed,,0,
,Hippowdon,040/088,Reverse holo,,Confirmed,,0,
,Landorus,041/088,Regular,,Confirmed,,0,
,Landorus,041/088,Reverse holo,,Confirmed,,0,
,Binacle,042/088,Regular,,Confirmed,,0,
,Binacle,042/088,Reverse holo,,Confirmed,,0,
,Barbaracle,043/088,Regular,,Confirmed,,0,
,Barbaracle,043/088,Reverse holo,,Confirmed,,0,
