Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Oddish,001/094,Regular,,Confirmed,,0,
,Oddish,001/094,Reverse holo,,Confirmed,,0,
,Gloom,002/094,Regular,,Confirmed,,0,
,Gloom,002/094,Reverse holo,,Confirmed,,0,
,Vileplume,003/094,Regular,,Confirmed,,0,
,Vileplume,003/094,Reverse holo,,Confirmed,,0,
,Mega Heracross ex,004/094,Regular,,Confirmed,,0,
,Lotad,005/094,Regular,,Confirmed,,0,
,Lotad,005/094,Reverse holo,,Confirmed,,0,
,Lombre,006/094,Regular,,Confirmed,,0,
,Lombre,006/094,Reverse holo,,Confirmed,,0,
,Ludicolo,007/094,Regular,,Confirmed,,0,
,Ludicolo,007/094,Reverse holo,,Confirmed,,0,
,Genesect,008/094,Regular,,Confirmed,,0,
,Genesect,008/094,Reverse holo,,Confirmed,,0,
,Nymble,009/094,Regular,,Confirmed,,0,
,Nymble,009/094,Reverse holo,,Confirmed,,0,
,Lokix,010/094,Regular,,Confirmed,,0,
,Lokix,010/094,Reverse holo,,Confirmed,,0,
,Charmander,011/094,Regular,,Confirmed,,0,
,Charmander,011/094,Reverse holo,,Confirmed,,0,
,Charmeleon,012/094,Regular,,Confirmed,,0,
,Charmeleon,012/094,Reverse holo,,Confirmed,,0,
,Mega Charizard X ex,013/094,Regular,,Confirmed,,0,
,Moltres,014/094,Regular,,Confirmed,,0,
,Moltres,014/094,Reverse holo,,Confirmed,,0,
,Darumaka,015/094,Regular,,Confirmed,,0,
,Darumaka,015/094,Reverse holo,,Confirmed,,0,
,Darmanitan,016/094,Regular,,Confirmed,,0,
,Darmanitan,016/094,Reverse holo,,Confirmed,,0,
,Reshiram,017/094,Regular,,Confirmed,,0,
,Reshiram,017/094,Reverse holo,,Confirmed,,0,
,Oricorio ex,018/094,Regular,,Confirmed,,0,
,Charcadet,019/094,Regular,,Confirmed,,0,
,Charcadet,019/094,Reverse holo,,Confirmed,,0,
,Ceruledge,020/094,Regular,,Confirmed,,0,
,Ceruledge,020/094,Reverse holo,,Confirmed,,0,
,Seel,021/094,Regular,,Confirmed,,0,
,Seel,021/094,Reverse holo,,Confirmed,,0,
,Dewgong,022/094,Regular,,Confirmed,,0,
,Dewgong,022/094,Reverse holo,,Confirmed,,0,
,Swinub,023/094,Regular,,Confirmed,,0,
,Swinub,023/094,Reverse holo,,Confirmed,,0,
,Piloswine,024/094,Regular,,Confirmed,,0,
,Piloswine,024/094,Reverse holo,,Confirmed,,0,
,Mamoswine,025/094,Regular,,Confirmed,,0,
,Mamoswine,025/094,Reverse holo,,Confirmed,,0,
,Suicune,026/094,Regular,,Confirmed,,0,
,Suicune,026/094,Reverse holo,,Confirmed,,0,
,Piplup,027/094,Regular,,Confirmed,,0,
,Piplup,027/094,Reverse holo,,Confirmed,,0,
,Prinplup,028/094,Regular,,Confirmed,,0,
,Prinplup,028/094,Reverse holo,,Confirmed,,0,
,Rotom ex,029/094,Regular,,Confirmed,,0,
,Yamper,030/094,Regular,,Confirmed,,0,
,Yamper,030/094,Reverse holo,,Confirmed,,0,
,Boltund,031/094,Regular,,Confirmed,,0,
,Boltund,031/094,Reverse holo,,Confirmed,,0,
,Pawmi,032/094,Regular,,Confirmed,,0,
,Pawmi,032/094,Reverse holo,,Confirmed,,0,
,Pawmo,033/094,Regular,,Confirmed,,0,
,Pawmo,033/094,Reverse holo,,Confirmed,,0,
,Pawmot,034/094,Regular,,Confirmed,,0,
