Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Tropius,001/084,Regular,,Confirmed,,0,
,Tropius,001/084,Reverse holo,,Confirmed,,0,
,Grubbin,002/084,Regular,,Confirmed,,0,
,Grubbin,002/084,Reverse holo,,Confirmed,,0,
,Fomantis,003/084,Regular,,Confirmed,,0,
,Fomantis,003/084,Reverse holo,,Confirmed,,0,
,Lurantis ex,004/084,Regular,,Confirmed,,0,
,Poltchageist,005/084,Regular,,Confirmed,,0,
,Poltchageist,005/084,Reverse holo,,Confirmed,,0,
,Sinistcha,006/084,Regular,,Confirmed,,0,
,Sinistcha,006/084,Reverse holo,,Confirmed,,0,
,Heatran,007/084,Regular,,Confirmed,,0,
,Heatran,007/084,Reverse holo,,Confirmed,,0,
,Mega Delphox ex,008/084,Regular,,Confirmed,,0,
,Sizzlipede,009/084,Regular,,Confirmed,,0,
,Sizzlipede,009/084,Reverse holo,,Confirmed,,0,
,Centiskorch,010/084,Regular,,Confirmed,,0,
,Centiskorch,010/084,Reverse holo,,Confirmed,,0,
,Charcadet,011/084,Regular,,Confirmed,,0,
,Charcadet,011/084,Reverse holo,,Confirmed,,0,
,Armarouge,012/084,Regular,,Confirmed,,0,
,Goldeen,013/084,Regular,,Confirmed,,0,
,Goldeen,013/084,Reverse holo,,Confirmed,,0,
,Seaking,014/084,Regular,,Confirmed,,0,
,Seaking,014/084,Reverse holo,,Confirmed,,0,
,Wailmer,015/084,Regular,,Confirmed,,0,
,Wailmer,015/084,Reverse holo,,Confirmed,,0,
,Wailord ex,016/084,Regular,,Confirmed,,0,
,Relicanth,017/084,Regular,,Confirmed,,0,
,Relicanth,017/084,Reverse holo,,Confirmed,,0,
,Popplio,018/084,Regular,,Confirmed,,0,
,Popplio,018/084,Reverse holo,,Confirmed,,0,
,Brionne,019/084,Regular,,Confirmed,,0,
,Brionne,019/084,Reverse holo,,Confirmed,,0,
,Primarina,020/084,Regular,,Confirmed,,0,
,Finizen,021/084,Regular,,Confirmed,,0,
,Finizen,021/084,Reverse holo,,Confirmed,,0,
