Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Bulbasaur,001/165,Regular,,Confirmed,,0,
,Bulbasaur,001/165,Reverse holo,,Confirmed,,0,
,Ivysaur,002/165,Regular,,Confirmed,,0,
,Ivysaur,002/165,Reverse holo,,Confirmed,,0,
,Venusaur ex,003/165,Regular,,Confirmed,,0,
,Charmander,004/165,Regular,,Confirmed,,0,
,Charmander,004/165,Reverse holo,,Confirmed,,0,
,Charmeleon,005/165,Regular,,Confirmed,,0,
,Charmeleon,005/165,Reverse holo,,Confirmed,,0,
,Charizard ex,006/165,Regular,,Confirmed,,0,
,Squirtle,007/165,Regular,,Confirmed,,0,
,Squirtle,007/165,Reverse holo,,Confirmed,,0,
,Wartortle,008/165,Regular,,Confirmed,,0,
,Wartortle,008/165,Reverse holo,,Confirmed,,0,
,Blastoise ex,009/165,Regular,,Confirmed,,0,
,Caterpie,010/165,Regular,,Confirmed,,0,
,Caterpie,010/165,Reverse holo,,Confirmed,,0,
,Metapod,011/165,Regular,,Confirmed,,0,
,Metapod,011/165,Reverse holo,,Confirmed,,0,
,Butterfree,012/165,Regular,,Confirmed,,0,
,Butterfree,012/165,Reverse holo,,Confirmed,,0,
,Weedle,013/165,Regular,,Confirmed,,0,
,Weedle,013/165,Reverse holo,,Confirmed,,0,
,Kakuna,014/165,Regular,,Confirmed,,0,
,Kakuna,014/165,Reverse holo,,Confirmed,,0,
,Beedrill,015/165,Regular,,Confirmed,,0,
,Beedrill,015/165,Reverse holo,,Confirmed,,0,
,Pidgey,016/165,Regular,,Confirmed,,0,
,Pidgey,016/165,Reverse holo,,Confirmed,,0,
,Pidgeotto,017/165,Regular,,Confirmed,,0,
,Pidgeotto,017/165,Reverse holo,,Confirmed,,0,
,Pidgeot,018/165,Regular,,Confirmed,,0,
,Pidgeot,018/165,Reverse holo,,Confirmed,,0,
,Rattata,019/165,Regular,,Confirmed,,0,
,Rattata,019/165,Reverse holo,,Confirmed,,0,
,Raticate,020/165,Regular,,Confirmed,,0,
,Raticate,020/165,Reverse holo,,Confirmed,,0,
,Spearow,021/165,Regular,,Confirmed,,0,
,Spearow,021/165,Reverse holo,,Confirmed,,0,
,Fearow,022/165,Regular,,Confirmed,,0,
,Fearow,022/165,Reverse holo,,Confirmed,,0,
,Ekans,023/165,Regular,,Confirmed,,0,
,Ekans,023/165,Reverse holo,,Confirmed,,0,
,Arbok ex,024/165,Regular,,Confirmed,,0,
,Pikachu,025/165,Regular,,Confirmed,,0,
,Pikachu,025/165,Reverse holo,,Confirmed,,0,
,Raichu,026/165,Regular,,Confirmed,,0,
,Raichu,026/165,Reverse holo,,Confirmed,,0,
,Sandshrew,027/165,Regular,,Confirmed,,0,
,Sandshrew,027/165,Reverse holo,,Confirmed,,0,
,Sandslash,028/165,Regular,,Confirmed,,0,
,Sandslash,028/165,Reverse holo,,Confirmed,,0,
,Nidoran♀,029/165,Regular,,Confirmed,,0,
,Nidoran♀,029/165,Reverse holo,,Confirmed,,0,
,Nidorina,030/165,Regular,,Confirmed,,0,
,Nidorina,030/165,Reverse holo,,Confirmed,,0,
,Nidoqueen,031/165,Regular,,Confirmed,,0,
,Nidoqueen,031/165,Reverse holo,,Confirmed,,0,
,Nidoran♂,032/165,Regular,,Confirmed,,0,
,Nidoran♂,032/165,Reverse holo,,Confirmed,,0,
,Nidorino,033/165,Regular,,Confirmed,,0,
,Nidorino,033/165,Reverse holo,,Confirmed,,0,
,Nidoking,034/165,Regular,,Confirmed,,0,
,Nidoking,034/165,Reverse holo,,Confirmed,,0,
,Clefairy,035/165,Regular,,Confirmed,,0,
,Clefairy,035/165,Reverse holo,,Confirmed,,0,
,Clefable,036/165,Regular,,Confirmed,,0,
,Clefable,036/165,Reverse holo,,Confirmed,,0,
,Vulpix,037/165,Regular,,Confirmed,,0,
,Vulpix,037/165,Reverse holo,,Confirmed,,0,
,Ninetales ex,038/165,Regular,,Confirmed,,0,
,Jigglypuff,039/165,Regular,,Confirmed,,0,
,Jigglypuff,039/165,Reverse holo,,Confirmed,,0,
,Wigglytuff ex,040/165,Regular,,Confirmed,,0,
,Zubat,041/165,Regular,,Confirmed,,0,
,Zubat,041/165,Reverse holo,,Confirmed,,0,
,Golbat,042/165,Regular,,Confirmed,,0,
,Golbat,042/165,Reverse holo,,Confirmed,,0,
,Oddish,043/165,Regular,,Confirmed,,0,
,Oddish,043/165,Reverse holo,,Confirmed,,0,
,Gloom,044/165,Regular,,Confirmed,,0,
,Gloom,044/165,Reverse holo,,Confirmed,,0,
,Vileplume,045/165,Regular,,Confirmed,,0,
,Vileplume,045/165,Reverse holo,,Confirmed,,0,
,Paras,046/165,Regular,,Confirmed,,0,
,Paras,046/165,Reverse holo,,Confirmed,,0,
,Parasect,047/165,Regular,,Confirmed,,0,
,Parasect,047/165,Reverse holo,,Confirmed,,0,
,Venonat,048/165,Regular,,Confirmed,,0,
,Venonat,048/165,Reverse holo,,Confirmed,,0,
,Venomoth,049/165,Regular,,Confirmed,,0,
,Venomoth,049/165,Reverse holo,,Confirmed,,0,
,Diglett,050/165,Regular,,Confirmed,,0,
,Diglett,050/165,Reverse holo,,Confirmed,,0,
,Dugtrio,051/165,Regular,,Confirmed,,0,
,Dugtrio,051/165,Reverse holo,,Confirmed,,0,
,Meowth,052/165,Regular,,Confirmed,,0,
,Meowth,052/165,Reverse holo,,Confirmed,,0,
,Persian,053/165,Regular,,Confirmed,,0,
,Persian,053/165,Reverse holo,,Confirmed,,0,
,Psyduck,054/165,Regular,,Confirmed,,0,
,Psyduck,054/165,Reverse holo,,Confirmed,,0,
,Golduck,055/165,Regular,,Confirmed,,0,
,Golduck,055/165,Reverse holo,,Confirmed,,0,
,Mankey,056/165,Regular,,Confirmed,,0,
,Mankey,056/165,Reverse holo,,Confirmed,,0,
,Primeape,057/165,Regular,,Confirmed,,0,
,Primeape,057/165,Reverse holo,,Confirmed,,0,
,Growlithe,058/165,Regular,,Confirmed,,0,
,Growlithe,058/165,Reverse holo,,Confirmed,,0,
,Arcanine,059/165,Regular,,Confirmed,,0,
,Arcanine,059/165,Reverse holo,,Confirmed,,0,
,Poliwag,060/165,Regular,,Confirmed,,0,
,Poliwag,060/165,Reverse holo,,Confirmed,,0,
,Poliwhirl,061/165,Regular,,Confirmed,,0,
,Poliwhirl,061/165,Reverse holo,,Confirmed,,0,
,Poliwrath,062/165,Regular,,Confirmed,,0,
,Poliwrath,062/165,Reverse holo,,Confirmed,,0,
,Abra,063/165,Regular,,Confirmed,,0,
,Abra,063/165,Reverse holo,,Confirmed,,0,
,Kadabra,064/165,Regular,,Confirmed,,0,
,Kadabra,064/165,Reverse holo,,Confirmed,,0,
,Alakazam ex,065/165,Regular,,Confirmed,,0,
,Machop,066/165,Regular,,Confirmed,,0,
,Machop,066/165,Reverse holo,,Confirmed,,0,
,Machoke,067/165,Regular,,Confirmed,,0,
,Machoke,067/165,Reverse holo,,Confirmed,,0,
,Machamp,068/165,Regular,,Confirmed,,0,
,Machamp,068/165,Reverse holo,,Confirmed,,0,
,Bellsprout,069/165,Regular,,Confirmed,,0,
,Bellsprout,069/165,Reverse holo,,Confirmed,,0,
,Weepinbell,070/165,Regular,,Confirmed,,0,
,Weepinbell,070/165,Reverse holo,,Confirmed,,0,
,Victreebel,071/165,Regular,,Confirmed,,0,
,Victreebel,071/165,Reverse holo,,Confirmed,,0,
,Tentacool,072/165,Regular,,Confirmed,,0,
,Tentacool,072/165,Reverse holo,,Confirmed,,0,
,Tentacruel,073/165,Regular,,Confirmed,,0,
,Tentacruel,073/165,Reverse holo,,Confirmed,,0,
,Geodude,074/165,Regular,,Confirmed,,0,
,Geodude,074/165,Reverse holo,,Confirmed,,0,
,Graveler,075/165,Regular,,Confirmed,,0,
,Graveler,075/165,Reverse holo,,Confirmed,,0,
,Golem ex,076/165,Regular,,Confirmed,,0,
,Ponyta,077/165,Regular,,Confirmed,,0,
,Ponyta,077/165,Reverse holo,,Confirmed,,0,
,Rapidash,078/165,Regular,,Confirmed,,0,
,Rapidash,078/165,Reverse holo,,Confirmed,,0,
,Slowpoke,079/165,Regular,,Confirmed,,0,
,Slowpoke,079/165,Reverse holo,,Confirmed,,0,
,Slowbro,080/165,Regular,,Confirmed,,0,
,Slowbro,080/165,Reverse holo,,Confirmed,,0,
,Magnemite,081/165,Regular,,Confirmed,,0,
,Magnemite,081/165,Reverse holo,,Confirmed,,0,
,Magneton,082/165,Regular,,Confirmed,,0,
,Magneton,082/165,Reverse holo,,Confirmed,,0,
,Farfetch'd,083/165,Regular,,Confirmed,,0,
,Farfetch'd,083/165,Reverse holo,,Confirmed,,0,
,Doduo,084/165,Regular,,Confirmed,,0,
