Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Exeggcute,001/131,Regular,,Confirmed,,0,
,Exeggcute,001/131,Reverse holo,,Confirmed,,0,
,Exeggutor,002/131,Regular,,Confirmed,,0,
,Exeggutor,002/131,Reverse holo,,Confirmed,,0,
,Pinsir,003/131,Regular,,Confirmed,,0,
,Pinsir,003/131,Reverse holo,,Confirmed,,0,
,Budew,004/131,Regular,,Confirmed,,0,
,Budew,004/131,Reverse holo,,Confirmed,,0,
,Leafeon,005/131,Regular,,Confirmed,,0,
,Leafeon,005/131,Reverse holo,,Confirmed,,0,
,Leafeon ex,006/131,Regular,,Confirmed,,0,
,Cottonee,007/131,Regular,,Confirmed,,0,
,Cottonee,007/131,Reverse holo,,Confirmed,,0,
,Whimsicott,008/131,Regular,,Confirmed,,0,
,Whimsicott,008/131,Reverse holo,,Confirmed,,0,
,Applin,009/131,Regular,,Confirmed,,0,
,Applin,009/131,Reverse holo,,Confirmed,,0,
,Dipplin,010/131,Regular,,Confirmed,,0,
,Dipplin,010/131,Reverse holo,,Confirmed,,0,
,Hydrapple ex,011/131,Regular,,Confirmed,,0,
,Teal Mask Ogerpon ex,012/131,Regular,,Confirmed,,0,
,Flareon,013/131,Regular,,Confirmed,,0,
,Flareon,013/131,Reverse holo,,Confirmed,,0,
,Flareon ex,014/131,Regular,,Confirmed,,0,
,Litleo,015/131,Regular,,Confirmed,,0,
,Litleo,015/131,Reverse holo,,Confirmed,,0,
,Pyroar,016/131,Regular,,Confirmed,,0,
,Pyroar,016/131,Reverse holo,,Confirmed,,0,
,Hearthflame Mask Ogerpon ex,017/131,Regular,,Confirmed,,0,
,Slowpoke,018/131,Regular,,Confirmed,,0,
,Slowpoke,018/131,Reverse holo,,Confirmed,,0,
,Slowking,019/131,Regular,,Confirmed,,0,
,Slowking,019/131,Reverse holo,,Confirmed,,0,
,Goldeen,020/131,Regular,,Confirmed,,0,
,Goldeen,020/131,Reverse holo,,Confirmed,,0,
,Seaking,021/131,Regular,,Confirmed,,0,
,Seaking,021/131,Reverse holo,,Confirmed,,0,
,Vaporeon,022/131,Regular,,Confirmed,,0,
,Vaporeon,022/131,Reverse holo,,Confirmed,,0,
,Vaporeon ex,023/131,Regular,,Confirmed,,0,
,Suicune,024/131,Regular,,Confirmed,,0,
,Suicune,024/131,Reverse holo,,Confirmed,,0,
,Glaceon,025/131,Regular,,Confirmed,,0,
,Glaceon,025/131,Reverse holo,,Confirmed,,0,
,Glaceon ex,026/131,Regular,,Confirmed,,0,
,Wellspring Mask Ogerpon ex,027/131,Regular,,Confirmed,,0,
,Pikachu ex,028/131,Regular,,Confirmed,,0,
,Jolteon,029/131,Regular,,Confirmed,,0,
,Jolteon,029/131,Reverse holo,,Confirmed,,0,
,Jolteon ex,030/131,Regular,,Confirmed,,0,
,Iron Hands ex,031/131,Regular,,Confirmed,,0,
,Iron Thorns ex,032/131,Regular,,Confirmed,,0,
,Espeon,033/131,Regular,,Confirmed,,0,
,Espeon,033/131,Reverse holo,,Confirmed,,0,
,Espeon ex,034/131,Regular,,Confirmed,,0,
,Duskull,035/131,Regular,,Confirmed,,0,
,Duskull,035/131,Reverse holo,,Confirmed,,0,
,Dusclops,036/131,Regular,,Confirmed,,0,
,Dusclops,036/131,Reverse holo,,Confirmed,,0,
,Dusknoir,037/131,Regular,,Confirmed,,0,
,Dusknoir,037/131,Reverse holo,,Confirmed,,0,
,Spritzee,038/131,Regular,,Confirmed,,0,
,Spritzee,038/131,Reverse holo,,Confirmed,,0,
,Aromatisse,039/131,Regular,,Confirmed,,0,
,Aromatisse,039/131,Reverse holo,,Confirmed,,0,
,Sylveon,040/131,Regular,,Confirmed,,0,
,Sylveon,040/131,Reverse holo,,Confirmed,,0,
,Sylveon ex,041/131,Regular,,Confirmed,,0,
,Scream Tail,042/131,Regular,,Confirmed,,0,
,Scream Tail,042/131,Reverse holo,,Confirmed,,0,
,Flutter Mane,043/131,Regular,,Confirmed,,0,
,Flutter Mane,043/131,Reverse holo,,Confirmed,,0,
,Munkidori,044/131,Regular,,Confirmed,,0,
,Munkidori,044/131,Reverse holo,,Confirmed,,0,
,Fezandipiti,045/131,Regular,,Confirmed,,0,
,Fezandipiti,045/131,Reverse holo,,Confirmed,,0,
,Iron Boulder,046/131,Regular,,Confirmed,,0,
,Iron Boulder,046/131,Reverse holo,,Confirmed,,0,
,Larvitar,047/131,Regular,,Confirmed,,0,
,Larvitar,047/131,Reverse holo,,Confirmed,,0,
,Pupitar,048/131,Regular,,Confirmed,,0,
,Pupitar,048/131,Reverse holo,,Confirmed,,0,
,Groudon,049/131,Regular,,Confirmed,,0,
,Groudon,049/131,Reverse holo,,Confirmed,,0,
,Riolu,050/131,Regular,,Confirmed,,0,
,Riolu,050/131,Reverse holo,,Confirmed,,0,
,Lucario ex,051/131,Regular,,Confirmed,,0,
,Hippopotas,052/131,Regular,,Confirmed,,0,
,Hippopotas,052/131,Reverse holo,,Confirmed,,0,
,Hippowdon,053/131,Regular,,Confirmed,,0,
,Hippowdon,053/131,Reverse holo,,Confirmed,,0,
,Bloodmoon Ursaluna,054/131,Regular,,Confirmed,,0,
,Bloodmoon Ursaluna,054/131,Reverse holo,,Confirmed,,0,
,Great Tusk,055/131,Regular,,Confirmed,,0,
,Great Tusk,055/131,Reverse holo,,Confirmed,,0,
,Sandy Shocks ex,056/131,Regular,,Confirmed,,0,
,Okidogi,057/131,Regular,,Confirmed,,0,
,Okidogi,057/131,Reverse holo,,Confirmed,,0,
,Cornerstone Mask Ogerpon ex,058/131,Regular,,Confirmed,,0,
,Umbreon,059/131,Regular,,Confirmed,,0,
,Umbreon,059/131,Reverse holo,,Confirmed,,0,
,Umbreon ex,060/131,Regular,,Confirmed,,0,
,Sneasel,061/131,Regular,,Confirmed,,0,
,Sneasel,061/131,Reverse holo,,Confirmed,,0,
,Houndour,062/131,Regular,,Confirmed,,0,
,Houndour,062/131,Reverse holo,,Confirmed,,0,
,Houndoom,063/131,Regular,,Confirmed,,0,
,Houndoom,063/131,Reverse holo,,Confirmed,,0,
,Tyranitar ex,064/131,Regular,,Confirmed,,0,
,Roaring Moon,065/131,Regular,,Confirmed,,0,
,Roaring Moon,065/131,Reverse holo,,Confirmed,,0,
,Bronzor,066/131,Regular,,Confirmed,,0,
,Bronzor,066/131,Reverse holo,,Confirmed,,0,
,Bronzong,067/131,Regular,,Confirmed,,0,
,Bronzong,067/131,Reverse holo,,Confirmed,,0,
,Heatran,068/131,Regular,,Confirmed,,0,
,Heatran,068/131,Reverse holo,,Confirmed,,0,
,Duraludon,069/131,Regular,,Confirmed,,0,
,Duraludon,069/131,Reverse holo,,Confirmed,,0,
,Archaludon,070/131,Regular,,Confirmed,,0,
,Archaludon,070/131,Reverse holo,,Confirmed,,0,
,Dreepy,071/131,Regular,,Confirmed,,0,
,Dreepy,071/131,Reverse holo,,Confirmed,,0,
,Drakloak,072/131,Regular,,Confirmed,,0,
,Drakloak,072/131,Reverse holo,,Confirmed,,0,
,Dragapult ex,073/131,Regular,,Confirmed,,0,
,Eevee,074/131,Regular,,Confirmed,,0,
,Eevee,074/131,Reverse holo,,Confirmed,,0,
,Eevee ex,075/131,Regular,,Confirmed,,0,
,Snorlax ex,076/131,Regular,,Confirmed,,0,
