Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Pineco,001/198,Regular,,Confirmed,,0,
,Pineco,001/198,Reverse holo,,Confirmed,,0,
,Heracross,002/198,Regular,,Confirmed,,0,
,Heracross,002/198,Reverse holo,,Confirmed,,0,
,Shroomish,003/198,Regular,,Confirmed,,0,
,Shroomish,003/198,Reverse holo,,Confirmed,,0,
,Breloom,004/198,Regular,,Confirmed,,0,
,Breloom,004/198,Reverse holo,,Confirmed,,0,
,Cacnea,005/198,Regular,,Confirmed,,0,
,Cacnea,005/198,Reverse holo,,Confirmed,,0,
,Cacturne,006/198,Regular,,Confirmed,,0,
,Cacturne,006/198,Reverse holo,,Confirmed,,0,
,Tropius,007/198,Regular,,Confirmed,,0,
,Tropius,007/198,Reverse holo,,Confirmed,,0,
,Scatterbug,008/198,Regular,,Confirmed,,0,
,Scatterbug,008/198,Reverse holo,,Confirmed,,0,
,Spewpa,009/198,Regular,,Confirmed,,0,
,Spewpa,009/198,Reverse holo,,Confirmed,,0,
,Vivillon,010/198,Regular,,Confirmed,,0,
,Vivillon,010/198,Reverse holo,,Confirmed,,0,
,Skiddo,011/198,Regular,,Confirmed,,0,
,Skiddo,011/198,Reverse holo,,Confirmed,,0,
,Gogoat,012/198,Regular,,Confirmed,,0,
,Gogoat,012/198,Reverse holo,,Confirmed,,0,
,Sprigatito,013/198,Regular,,Confirmed,,0,
,Sprigatito,013/198,Reverse holo,,Confirmed,,0,
,Floragato,014/198,Regular,,Confirmed,,0,
,Floragato,014/198,Reverse holo,,Confirmed,,0,
,Meowscarada,015/198,Regular,,Confirmed,,0,
,Meowscarada,015/198,Reverse holo,,Confirmed,,0,
,Tarountula,016/198,Regular,,Confirmed,,0,
,Tarountula,016/198,Reverse holo,,Confirmed,,0,
,Tarountula,017/198,Regular,,Confirmed,,0,
,Tarountula,017/198,Reverse holo,,Confirmed,,0,
,Tarountula,018/198,Regular,,Confirmed,,0,
,Tarountula,018/198,Reverse holo,,Confirmed,,0,
,Spidops ex,019/198,Regular,,Confirmed,,0,
,Smoliv,020/198,Regular,,Confirmed,,0,
,Smoliv,020/198,Reverse holo,,Confirmed,,0,
,Smoliv,021/198,Regular,,Confirmed,,0,
,Smoliv,021/198,Reverse holo,,Confirmed,,0,
,Dolliv,022/198,Regular,,Confirmed,,0,
,Dolliv,022/198,Reverse holo,,Confirmed,,0,
,Arboliva,023/198,Regular,,Confirmed,,0,
,Arboliva,023/198,Reverse holo,,Confirmed,,0,
,Toedscool,024/198,Regular,,Confirmed,,0,
,Toedscool,024/198,Reverse holo,,Confirmed,,0,
,Toedscool,025/198,Regular,,Confirmed,,0,
,Toedscool,025/198,Reverse holo,,Confirmed,,0,
,Toedscruel,026/198,Regular,,Confirmed,,0,
,Toedscruel,026/198,Reverse holo,,Confirmed,,0,
,Capsakid,027/198,Regular,,Confirmed,,0,
,Capsakid,027/198,Reverse holo,,Confirmed,,0,
,Capsakid,028/198,Regular,,Confirmed,,0,
,Capsakid,028/198,Reverse holo,,Confirmed,,0,
,Scovillain,029/198,Regular,,Confirmed,,0,
,Scovillain,029/198,Reverse holo,,Confirmed,,0,
,Growlithe,030/198,Regular,,Confirmed,,0,
,Growlithe,030/198,Reverse holo,,Confirmed,,0,
,Growlithe,031/198,Regular,,Confirmed,,0,
,Growlithe,031/198,Reverse holo,,Confirmed,,0,
,Arcanine ex,032/198,Regular,,Confirmed,,0,
,Houndour,033/198,Regular,,Confirmed,,0,
,Houndour,033/198,Reverse holo,,Confirmed,,0,
,Houndoom,034/198,Regular,,Confirmed,,0,
,Houndoom,034/198,Reverse holo,,Confirmed,,0,
