Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Joltik,001/064,Regular,,Confirmed,,0,
,Joltik,001/064,Reverse holo,,Confirmed,,0,
,Galvantula,002/064,Regular,,Confirmed,,0,
,Galvantula,002/064,Reverse holo,,Confirmed,,0,
,Rowlet,003/064,Regular,,Confirmed,,0,
,Rowlet,003/064,Reverse holo,,Confirmed,,0,
,Dartrix,004/064,Regular,,Confirmed,,0,
,Dartrix,004/064,Reverse holo,,Confirmed,,0,
,Decidueye,005/064,Regular,,Confirmed,,0,
,Decidueye,005/064,Reverse holo,,Confirmed,,0,
,Tapu Bulu,006/064,Regular,,Confirmed,,0,
,Tapu Bulu,006/064,Reverse holo,,Confirmed,,0,
,Houndour,007/064,Regular,,Confirmed,,0,
,Houndour,007/064,Reverse holo,,Confirmed,,0,
,Houndoom,008/064,Regular,,Confirmed,,0,
,Houndoom,008/064,Reverse holo,,Confirmed,,0,
,Iron Moth,009/064,Regular,,Confirmed,,0,
,Iron Moth,009/064,Reverse holo,,Confirmed,,0,
,Horsea,010/064,Regular,,Confirmed,,0,
,Horsea,010/064,Reverse holo,,Confirmed,,0,
,Seadra,011/064,Regular,,Confirmed,,0,
,Seadra,011/064,Reverse holo,,Confirmed,,0,
,Kingdra ex,012/064,Regular,,Confirmed,,0,
,Sneasel,013/064,Regular,,Confirmed,,0,
,Sneasel,013/064,Reverse holo,,Confirmed,,0,
,Weavile,014/064,Regular,,Confirmed,,0,
,Weavile,014/064,Reverse holo,,Confirmed,,0,
,Revavroom ex,015/064,Regular,,Confirmed,,0,
,Drowzee,016/064,Regular,,Confirmed,,0,
,Drowzee,016/064,Reverse holo,,Confirmed,,0,
,Hypno,017/064,Regular,,Confirmed,,0,
,Hypno,017/064,Reverse holo,,Confirmed,,0,
,Duskull,018/064,Regular,,Confirmed,,0,
,Duskull,018/064,Reverse holo,,Confirmed,,0,
,Dusclops,019/064,Regular,,Confirmed,,0,
,Dusclops,019/064,Reverse holo,,Confirmed,,0,
,Dusknoir,020/064,Regular,,Confirmed,,0,
,Dusknoir,020/064,Reverse holo,,Confirmed,,0,
,Cresselia,021/064,Regular,,Confirmed,,0,
,Cresselia,021/064,Reverse holo,,Confirmed,,0,
,Sylveon,022/064,Regular,,Confirmed,,0,
,Sylveon,022/064,Reverse holo,,Confirmed,,0,
,Croagunk,023/064,Regular,,Confirmed,,0,
,Croagunk,023/064,Reverse holo,,Confirmed,,0,
,Toxicroak,024/064,Regular,,Confirmed,,0,
,Toxicroak,024/064,Reverse holo,,Confirmed,,0,
,Bloodmoon Ursaluna,025/064,Regular,,Confirmed,,0,
,Bloodmoon Ursaluna,025/064,Reverse holo,,Confirmed,,0,
,Slither Wing,026/064,Regular,,Confirmed,,0,
,Slither Wing,026/064,Reverse holo,,Confirmed,,0,
,Zubat,027/064,Regular,,Confirmed,,0,
,Zubat,027/064,Reverse holo,,Confirmed,,0,
,Golbat,028/064,Regular,,Confirmed,,0,
,Golbat,028/064,Reverse holo,,Confirmed,,0,
,Crobat,029/064,Regular,,Confirmed,,0,
,Crobat,029/064,Reverse holo,,Confirmed,,0,
,Absol,030/064,Regular,,Confirmed,,0,
,Absol,030/064,Reverse holo,,Confirmed,,0,
,Zorua,031/064,Regular,,Confirmed,,0,
,Zorua,031/064,Reverse holo,,Confirmed,,0,
,Zoroark,032/064,Regular,,Confirmed,,0,
,Zoroark,032/064,Reverse holo,,Confirmed,,0,
,Inkay,033/064,Regular,,Confirmed,,0,
,Inkay,033/064,Reverse holo,,Confirmed,,0,
,Malamar,034/064,Regular,,Confirmed,,0,
,Malamar,034/064,Reverse holo,,Confirmed,,0,
,Yveltal,035/064,Regular,,Confirmed,,0,
,Yveltal,035/064,Reverse holo,,Confirmed,,0,
,Okidogi ex,036/064,Regular,,Confirmed,,0,
,Munkidori ex,037/064,Regular,,Confirmed,,0,
,Fezandipiti ex,038/064,Regular,,Confirmed,,0,
,Pecharunt ex,039/064,Regular,,Confirmed,,0,
,Genesect,040/064,Regular,,Confirmed,,0,
,Genesect,040/064,Reverse holo,,Confirmed,,0,
,Cufant,041/064,Regular,,Confirmed,,0,
,Cufant,041/064,Reverse holo,,Confirmed,,0,
,Copperajah,042/064,Regular,,Confirmed,,0,
,Copperajah,042/064,Reverse holo,,Confirmed,,0,
,Varoom,043/064,Regular,,Confirmed,,0,
,Varoom,043/064,Reverse holo,,Confirmed,,0,
,Axew,044/064,Regular,,Confirmed,,0,
,Axew,044/064,Reverse holo,,Confirmed,,0,
,Fraxure,045/064,Regular,,Confirmed,,0,
,Fraxure,045/064,Reverse holo,,Confirmed,,0,
,Haxorus,046/064,Regular,,Confirmed,,0,
,Haxorus,046/064,Reverse holo,,Confirmed,,0,
,Kyurem,047/064,Regular,,Confirmed,,0,
,Kyurem,047/064,Reverse holo,,Confirmed,,0,
,Meowth,048/064,Regular,,Confirmed,,0,
,Meowth,048/064,Reverse holo,,Confirmed,,0,
,Persian,049/064,Regular,,Confirmed,,0,
,Persian,049/064,Reverse holo,,Confirmed,,0,
,Eevee,050/064,Regular,,Confirmed,,0,
,Eevee,050/064,Reverse holo,,Confirmed,,0,
,Furfrou,051/064,Regular,,Confirmed,,0,
,Furfrou,051/064,Reverse holo,,Confirmed,,0,
,Stufful,052/064,Regular,,Confirmed,,0,
,Stufful,052/064,Reverse holo,,Confirmed,,0,
,Bewear,053/064,Regular,,Confirmed,,0,
,Bewear,053/064,Reverse holo,,Confirmed,,0,
,Academy at Night,054/064,Regular,,Confirmed,,0,
,Academy at Night,054/064,Reverse holo,,Confirmed,,0,
,Binding Mochi,055/064,Regular,,Confirmed,,0,
,Binding Mochi,055/064,Reverse holo,,Confirmed,,0,
,Cassiopeia,056/064,Regular,,Confirmed,,0,
,Cassiopeia,056/064,Reverse holo,,Confirmed,,0,
,Colress's Tenacity,057/064,Regular,,Confirmed,,0,
,Colress's Tenacity,057/064,Reverse holo,,Confirmed,,0,
,Dangerous Laser,058/064,Regular,,Confirmed,,0,
,Janine's Secret Art,059/064,Regular,,Confirmed,,0,
,Janine's Secret Art,059/064,Reverse holo,,Confirmed,,0,
,Neutralization Zone,060/064,Regular,,Confirmed,,0,
,Night Stretcher,061/064,Regular,,Confirmed,,0,
,Night Stretcher,061/064,Reverse holo,,Confirmed,,0,
,Poké Vital A,062/064,Regular,,Confirmed,,0,
,Powerglass,063/064,Regular,,Confirmed,,0,
,Powerglass,063/064,Reverse holo,,Confirmed,,0,
,Xerosic's Machinations,064/064,Regular,,Confirmed,,0,
,Xerosic's Machinations,064/064,Reverse holo,,Confirmed,,0,
,Tapu Bulu,065/064,Regular,,Confirmed,,0,
