Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Exeggcute,001/191,Regular,,Confirmed,,0,
,Exeggcute,001/191,Reverse holo,,Confirmed,,0,
,Exeggcute,002/191,Regular,,Confirmed,,0,
,Exeggcute,002/191,Reverse holo,,Confirmed,,0,
,Exeggutor,003/191,Regular,,Confirmed,,0,
,Exeggutor,003/191,Reverse holo,,Confirmed,,0,
,Durant ex,004/191,Regular,,Confirmed,,0,
,Scatterbug,005/191,Regular,,Confirmed,,0,
,Scatterbug,005/191,Reverse holo,,Confirmed,,0,
,Spewpa,006/191,Regular,,Confirmed,,0,
,Spewpa,006/191,Reverse holo,,Confirmed,,0,
,Vivillon,007/191,Regular,,Confirmed,,0,
,Vivillon,007/191,Reverse holo,,Confirmed,,0,
,Morelull,008/191,Regular,,Confirmed,,0,
,Morelull,008/191,Reverse holo,,Confirmed,,0,
,Shiinotic,009/191,Regular,,Confirmed,,0,
,Shiinotic,009/191,Reverse holo,,Confirmed,,0,
,Dhelmise,010/191,Regular,,Confirmed,,0,
,Dhelmise,010/191,Reverse holo,,Confirmed,,0,
,Zarude,011/191,Regular,,Confirmed,,0,
,Zarude,011/191,Reverse holo,,Confirmed,,0,
,Capsakid,012/191,Regular,,Confirmed,,0,
,Capsakid,012/191,Reverse holo,,Confirmed,,0,
,Rellor,013/191,Regular,,Confirmed,,0,
,Rellor,013/191,Reverse holo,,Confirmed,,0,
,Rabsca,014/191,Regular,,Confirmed,,0,
,Rabsca,014/191,Reverse holo,,Confirmed,,0,
,Wo-Chien,015/191,Regular,,Confirmed,,0,
,Wo-Chien,015/191,Reverse holo,,Confirmed,,0,
,Vulpix,016/191,Regular,,Confirmed,,0,
,Vulpix,016/191,Reverse holo,,Confirmed,,0,
,Ninetales,017/191,Regular,,Confirmed,,0,
,Ninetales,017/191,Reverse holo,,Confirmed,,0,
,Paldean Tauros,018/191,Regular,,Confirmed,,0,
,Paldean Tauros,018/191,Reverse holo,,Confirmed,,0,
,Ho-Oh,019/191,Regular,,Confirmed,,0,
,Ho-Oh,019/191,Reverse holo,,Confirmed,,0,
,Castform Sunny Form,020/191,Regular,,Confirmed,,0,
,Castform Sunny Form,020/191,Reverse holo,,Confirmed,,0,
,Victini,021/191,Regular,,Confirmed,,0,
,Victini,021/191,Reverse holo,,Confirmed,,0,
,Pansear,022/191,Regular,,Confirmed,,0,
,Pansear,022/191,Reverse holo,,Confirmed,,0,
,Simisear,023/191,Regular,,Confirmed,,0,
,Simisear,023/191,Reverse holo,,Confirmed,,0,
,Larvesta,024/191,Regular,,Confirmed,,0,
,Larvesta,024/191,Reverse holo,,Confirmed,,0,
,Volcarona,025/191,Regular,,Confirmed,,0,
,Volcarona,025/191,Reverse holo,,Confirmed,,0,
,Oricorio,026/191,Regular,,Confirmed,,0,
,Oricorio,026/191,Reverse holo,,Confirmed,,0,
,Sizzlipede,027/191,Regular,,Confirmed,,0,
,Sizzlipede,027/191,Reverse holo,,Confirmed,,0,
,Centiskorch,028/191,Regular,,Confirmed,,0,
,Centiskorch,028/191,Reverse holo,,Confirmed,,0,
,Fuecoco,029/191,Regular,,Confirmed,,0,
,Fuecoco,029/191,Reverse holo,,Confirmed,,0,
,Crocalor,030/191,Regular,,Confirmed,,0,
,Crocalor,030/191,Reverse holo,,Confirmed,,0,
,Skeledirge,031/191,Regular,,Confirmed,,0,
,Skeledirge,031/191,Reverse holo,,Confirmed,,0,
,Charcadet,032/191,Regular,,Confirmed,,0,
,Charcadet,032/191,Reverse holo,,Confirmed,,0,
,Charcadet,033/191,Regular,,Confirmed,,0,
,Charcadet,033/191,Reverse holo,,Confirmed,,0,
,Armarouge,034/191,Regular,,Confirmed,,0,
,Armarouge,034/191,Reverse holo,,Confirmed,,0,
,Ceruledge,035/191,Regular,,Confirmed,,0,
,Ceruledge,035/191,Reverse holo,,Confirmed,,0,
,Ceruledge ex,036/191,Regular,,Confirmed,,0,
,Scovillain ex,037/191,Regular,,Confirmed,,0,
,Gouging Fire,038/191,Regular,,Confirmed,,0,
,Gouging Fire,038/191,Reverse holo,,Confirmed,,0,
,Paldean Tauros,039/191,Regular,,Confirmed,,0,
,Paldean Tauros,039/191,Reverse holo,,Confirmed,,0,
,Mantine,040/191,Regular,,Confirmed,,0,
,Mantine,040/191,Reverse holo,,Confirmed,,0,
,Feebas,041/191,Regular,,Confirmed,,0,
,Feebas,041/191,Reverse holo,,Confirmed,,0,
,Milotic ex,042/191,Regular,,Confirmed,,0,
,Spheal,043/191,Regular,,Confirmed,,0,
,Spheal,043/191,Reverse holo,,Confirmed,,0,
,Sealeo,044/191,Regular,,Confirmed,,0,
,Sealeo,044/191,Reverse holo,,Confirmed,,0,
,Walrein,045/191,Regular,,Confirmed,,0,
,Walrein,045/191,Reverse holo,,Confirmed,,0,
,Shellos,046/191,Regular,,Confirmed,,0,
,Shellos,046/191,Reverse holo,,Confirmed,,0,
,Cryogonal,047/191,Regular,,Confirmed,,0,
,Cryogonal,047/191,Reverse holo,,Confirmed,,0,
,Black Kyurem ex,048/191,Regular,,Confirmed,,0,
,Bruxish,049/191,Regular,,Confirmed,,0,
,Bruxish,049/191,Reverse holo,,Confirmed,,0,
,Quaxly,050/191,Regular,,Confirmed,,0,
,Quaxly,050/191,Reverse holo,,Confirmed,,0,
,Quaxwell,051/191,Regular,,Confirmed,,0,
,Quaxwell,051/191,Reverse holo,,Confirmed,,0,
,Quaquaval,052/191,Regular,,Confirmed,,0,
,Quaquaval,052/191,Reverse holo,,Confirmed,,0,
,Cetoddle,053/191,Regular,,Confirmed,,0,
,Cetoddle,053/191,Reverse holo,,Confirmed,,0,
,Cetitan,054/191,Regular,,Confirmed,,0,
,Cetitan,054/191,Reverse holo,,Confirmed,,0,
,Iron Bundle,055/191,Regular,,Confirmed,,0,
,Iron Bundle,055/191,Reverse holo,,Confirmed,,0,
,Chien-Pao,056/191,Regular,,Confirmed,,0,
,Chien-Pao,056/191,Reverse holo,,Confirmed,,0,
,Pikachu ex,057/191,Regular,,Confirmed,,0,
,Magnemite,058/191,Regular,,Confirmed,,0,
,Magnemite,058/191,Reverse holo,,Confirmed,,0,
,Magneton,059/191,Regular,,Confirmed,,0,
,Magneton,059/191,Reverse holo,,Confirmed,,0,
,Magnezone,060/191,Regular,,Confirmed,,0,
,Magnezone,060/191,Reverse holo,,Confirmed,,0,
,Rotom,061/191,Regular,,Confirmed,,0,
,Rotom,061/191,Reverse holo,,Confirmed,,0,
,Blitzle,062/191,Regular,,Confirmed,,0,
,Blitzle,062/191,Reverse holo,,Confirmed,,0,
,Zebstrika,063/191,Regular,,Confirmed,,0,
,Zebstrika,063/191,Reverse holo,,Confirmed,,0,
,Stunfisk,064/191,Regular,,Confirmed,,0,
,Stunfisk,064/191,Reverse holo,,Confirmed,,0,
,Tapu Koko,065/191,Regular,,Confirmed,,0,
,Tapu Koko,065/191,Reverse holo,,Confirmed,,0,
,Wattrel,066/191,Regular,,Confirmed,,0,
,Wattrel,066/191,Reverse holo,,Confirmed,,0,
,Kilowattrel,067/191,Regular,,Confirmed,,0,
,Kilowattrel,067/191,Reverse holo,,Confirmed,,0,
,Kilowattrel ex,068/191,Regular,,Confirmed,,0,
,Miraidon,069/191,Regular,,Confirmed,,0,
,Miraidon,069/191,Reverse holo,,Confirmed,,0,
,Togepi,070/191,Regular,,Confirmed,,0,
,Togepi,070/191,Reverse holo,,Confirmed,,0,
,Togetic,071/191,Regular,,Confirmed,,0,
,Togetic,071/191,Reverse holo,,Confirmed,,0,
