Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Scyther,001/162,Regular,,Confirmed,,0,
,Scyther,001/162,Reverse holo,,Confirmed,,0,
,Pineco,002/162,Regular,,Confirmed,,0,
,Pineco,002/162,Reverse holo,,Confirmed,,0,
,Seedot,003/162,Regular,,Confirmed,,0,
,Seedot,003/162,Reverse holo,,Confirmed,,0,
,Nuzleaf,004/162,Regular,,Confirmed,,0,
,Nuzleaf,004/162,Reverse holo,,Confirmed,,0,
,Shiftry,005/162,Regular,,Confirmed,,0,
,Shiftry,005/162,Reverse holo,,Confirmed,,0,
,Shroomish,006/162,Regular,,Confirmed,,0,
,Shroomish,006/162,Reverse holo,,Confirmed,,0,
,Breloom,007/162,Regular,,Confirmed,,0,
,Breloom,007/162,Reverse holo,,Confirmed,,0,
,Roselia,008/162,Regular,,Confirmed,,0,
,Roselia,008/162,Reverse holo,,Confirmed,,0,
,Roserade,009/162,Regular,,Confirmed,,0,
,Roserade,009/162,Reverse holo,,Confirmed,,0,
,Turtwig,010/162,Regular,,Confirmed,,0,
,Turtwig,010/162,Reverse holo,,Confirmed,,0,
,Grotle,011/162,Regular,,Confirmed,,0,
,Grotle,011/162,Reverse holo,,Confirmed,,0,
,Torterra ex,012/162,Regular,,Confirmed,,0,
,Shaymin,013/162,Regular,,Confirmed,,0,
,Shaymin,013/162,Reverse holo,,Confirmed,,0,
,Cottonee,014/162,Regular,,Confirmed,,0,
,Cottonee,014/162,Reverse holo,,Confirmed,,0,
,Whimsicott,015/162,Regular,,Confirmed,,0,
,Whimsicott,015/162,Reverse holo,,Confirmed,,0,
,Deerling,016/162,Regular,,Confirmed,,0,
,Deerling,016/162,Reverse holo,,Confirmed,,0,
,Sawsbuck,017/162,Regular,,Confirmed,,0,
,Sawsbuck,017/162,Reverse holo,,Confirmed,,0,
,Grubbin,018/162,Regular,,Confirmed,,0,
,Grubbin,018/162,Reverse holo,,Confirmed,,0,
,Dhelmise,019/162,Regular,,Confirmed,,0,
,Dhelmise,019/162,Reverse holo,,Confirmed,,0,
,Bramblin,020/162,Regular,,Confirmed,,0,
,Bramblin,020/162,Reverse holo,,Confirmed,,0,
,Brambleghast,021/162,Regular,,Confirmed,,0,
,Brambleghast,021/162,Reverse holo,,Confirmed,,0,
,Scovillain ex,022/162,Regular,,Confirmed,,0,
,Rellor,023/162,Regular,,Confirmed,,0,
,Rellor,023/162,Reverse holo,,Confirmed,,0,
,Rabsca,024/162,Regular,,Confirmed,,0,
,Rabsca,024/162,Reverse holo,,Confirmed,,0,
,Iron Leaves ex,025/162,Regular,,Confirmed,,0,
,Ponyta,026/162,Regular,,Confirmed,,0,
,Ponyta,026/162,Reverse holo,,Confirmed,,0,
,Rapidash,027/162,Regular,,Confirmed,,0,
,Rapidash,027/162,Reverse holo,,Confirmed,,0,
,Slugma,028/162,Regular,,Confirmed,,0,
,Slugma,028/162,Reverse holo,,Confirmed,,0,
,Magcargo,029/162,Regular,,Confirmed,,0,
,Magcargo,029/162,Reverse holo,,Confirmed,,0,
,Victini,030/162,Regular,,Confirmed,,0,
,Victini,030/162,Reverse holo,,Confirmed,,0,
,Heatmor,031/162,Regular,,Confirmed,,0,
,Heatmor,031/162,Reverse holo,,Confirmed,,0,
,Litten,032/162,Regular,,Confirmed,,0,
,Litten,032/162,Reverse holo,,Confirmed,,0,
,Torracat,033/162,Regular,,Confirmed,,0,
,Torracat,033/162,Reverse holo,,Confirmed,,0,
,Incineroar ex,034/162,Regular,,Confirmed,,0,
,Turtonator,035/162,Regular,,Confirmed,,0,
,Turtonator,035/162,Reverse holo,,Confirmed,,0,
,Sizzlipede,036/162,Regular,,Confirmed,,0,
,Sizzlipede,036/162,Reverse holo,,Confirmed,,0,
,Centiskorch,037/162,Regular,,Confirmed,,0,
,Centiskorch,037/162,Reverse holo,,Confirmed,,0,
,Gouging Fire ex,038/162,Regular,,Confirmed,,0,
,Totodile,039/162,Regular,,Confirmed,,0,
,Totodile,039/162,Reverse holo,,Confirmed,,0,
,Croconaw,040/162,Regular,,Confirmed,,0,
,Croconaw,040/162,Reverse holo,,Confirmed,,0,
,Feraligatr,041/162,Regular,,Confirmed,,0,
,Feraligatr,041/162,Reverse holo,,Confirmed,,0,
,Carvanha,042/162,Regular,,Confirmed,,0,
,Carvanha,042/162,Reverse holo,,Confirmed,,0,
,Sharpedo,043/162,Regular,,Confirmed,,0,
,Sharpedo,043/162,Reverse holo,,Confirmed,,0,
,Keldeo,044/162,Regular,,Confirmed,,0,
,Keldeo,044/162,Reverse holo,,Confirmed,,0,
,Snom,045/162,Regular,,Confirmed,,0,
,Snom,045/162,Reverse holo,,Confirmed,,0,
,Frosmoth,046/162,Regular,,Confirmed,,0,
