Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Tangela,001/167,Regular,,Confirmed,,0,
,Tangela,001/167,Reverse holo,,Confirmed,,0,
,Tangrowth,002/167,Regular,,Confirmed,,0,
,Tangrowth,002/167,Reverse holo,,Confirmed,,0,
,Pinsir,003/167,Regular,,Confirmed,,0,
,Pinsir,003/167,Reverse holo,,Confirmed,,0,
,Spinarak,004/167,Regular,,Confirmed,,0,
,Spinarak,004/167,Reverse holo,,Confirmed,,0,
,Ariados,005/167,Regular,,Confirmed,,0,
,Ariados,005/167,Reverse holo,,Confirmed,,0,
,Sunkern,006/167,Regular,,Confirmed,,0,
,Sunkern,006/167,Reverse holo,,Confirmed,,0,
,Sunflora,007/167,Regular,,Confirmed,,0,
,Sunflora,007/167,Reverse holo,,Confirmed,,0,
,Heracross,008/167,Regular,,Confirmed,,0,
,Heracross,008/167,Reverse holo,,Confirmed,,0,
,Volbeat,009/167,Regular,,Confirmed,,0,
,Volbeat,009/167,Reverse holo,,Confirmed,,0,
,Illumise,010/167,Regular,,Confirmed,,0,
,Illumise,010/167,Reverse holo,,Confirmed,,0,
,Leafeon,011/167,Regular,,Confirmed,,0,
,Leafeon,011/167,Reverse holo,,Confirmed,,0,
,Phantump,012/167,Regular,,Confirmed,,0,
,Phantump,012/167,Reverse holo,,Confirmed,,0,
,Trevenant,013/167,Regular,,Confirmed,,0,
,Trevenant,013/167,Reverse holo,,Confirmed,,0,
,Grookey,014/167,Regular,,Confirmed,,0,
,Grookey,014/167,Reverse holo,,Confirmed,,0,
,Thwackey,015/167,Regular,,Confirmed,,0,
,Thwackey,015/167,Reverse holo,,Confirmed,,0,
,Rillaboom,016/167,Regular,,Confirmed,,0,
,Rillaboom,016/167,Reverse holo,,Confirmed,,0,
,Applin,017/167,Regular,,Confirmed,,0,
,Applin,017/167,Reverse holo,,Confirmed,,0,
,Dipplin,018/167,Regular,,Confirmed,,0,
,Dipplin,018/167,Reverse holo,,Confirmed,,0,
,Iron Leaves,019/167,Regular,,Confirmed,,0,
,Iron Leaves,019/167,Reverse holo,,Confirmed,,0,
,Poltchageist,020/167,Regular,,Confirmed,,0,
,Poltchageist,020/167,Reverse holo,,Confirmed,,0,
,Poltchageist,021/167,Regular,,Confirmed,,0,
,Poltchageist,021/167,Reverse holo,,Confirmed,,0,
,Sinistcha,022/167,Regular,,Confirmed,,0,
,Sinistcha,022/167,Reverse holo,,Confirmed,,0,
,Sinistcha ex,023/167,Regular,,Confirmed,,0,
,Teal Mask Ogerpon,024/167,Regular,,Confirmed,,0,
,Teal Mask Ogerpon,024/167,Reverse holo,,Confirmed,,0,
,Teal Mask Ogerpon ex,025/167,Regular,,Confirmed,,0,
,Vulpix,026/167,Regular,,Confirmed,,0,
,Vulpix,026/167,Reverse holo,,Confirmed,,0,
,Ninetales,027/167,Regular,,Confirmed,,0,
,Ninetales,027/167,Reverse holo,,Confirmed,,0,
,Slugma,028/167,Regular,,Confirmed,,0,
,Slugma,028/167,Reverse holo,,Confirmed,,0,
,Magcargo ex,029/167,Regular,,Confirmed,,0,
,Torkoal,030/167,Regular,,Confirmed,,0,
,Torkoal,030/167,Reverse holo,,Confirmed,,0,
,Chimchar,031/167,Regular,,Confirmed,,0,
,Chimchar,031/167,Reverse holo,,Confirmed,,0,
,Monferno,032/167,Regular,,Confirmed,,0,
,Monferno,032/167,Reverse holo,,Confirmed,,0,
,Infernape,033/167,Regular,,Confirmed,,0,
,Infernape,033/167,Reverse holo,,Confirmed,,0,
,Darumaka,034/167,Regular,,Confirmed,,0,
,Darumaka,034/167,Reverse holo,,Confirmed,,0,
,Darmanitan,035/167,Regular,,Confirmed,,0,
,Darmanitan,035/167,Reverse holo,,Confirmed,,0,
,Litwick,036/167,Regular,,Confirmed,,0,
,Litwick,036/167,Reverse holo,,Confirmed,,0,
,Lampent,037/167,Regular,,Confirmed,,0,
,Lampent,037/167,Reverse holo,,Confirmed,,0,
,Chandelure,038/167,Regular,,Confirmed,,0,
,Chandelure,038/167,Reverse holo,,Confirmed,,0,
,Chi-Yu,039/167,Regular,,Confirmed,,0,
,Chi-Yu,039/167,Reverse holo,,Confirmed,,0,
,Hearthflame Mask Ogerpon ex,040/167,Regular,,Confirmed,,0,
