Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Sewaddle,001/086,Regular,,Confirmed,,0,
,Sewaddle,001/086,Reverse holo,,Confirmed,,0,
,Swadloon,002/086,Regular,,Confirmed,,0,
,Swadloon,002/086,Reverse holo,,Confirmed,,0,
,Leavanny,003/086,Regular,,Confirmed,,0,
,Leavanny,003/086,Reverse holo,,Confirmed,,0,
,Cottonee,004/086,Regular,,Confirmed,,0,
,Cottonee,004/086,Reverse holo,,Confirmed,,0,
,Whimsicott ex,005/086,Regular,,Confirmed,,0,
,Deerling,006/086,Regular,,Confirmed,,0,
,Deerling,006/086,Reverse holo,,Confirmed,,0,
,Sawsbuck,007/086,Regular,,Confirmed,,0,
,Sawsbuck,007/086,Reverse holo,,Confirmed,,0,
,Shelmet,008/086,Regular,,Confirmed,,0,
,Shelmet,008/086,Reverse holo,,Confirmed,,0,
,Accelgor,009/086,Regular,,Confirmed,,0,
,Accelgor,009/086,Reverse holo,,Confirmed,,0,
,Virizion,010/086,Regular,,Confirmed,,0,
,Virizion,010/086,Reverse holo,,Confirmed,,0,
,Tepig,011/086,Regular,,Confirmed,,0,
,Tepig,011/086,Reverse holo,,Confirmed,,0,
,Pignite,012/086,Regular,,Confirmed,,0,
,Pignite,012/086,Reverse holo,,Confirmed,,0,
,Emboar,013/086,Regular,,Confirmed,,0,
,Emboar,013/086,Reverse holo,,Confirmed,,0,
,Pansear,014/086,Regular,,Confirmed,,0,
,Pansear,014/086,Reverse holo,,Confirmed,,0,
,Simisear,015/086,Regular,,Confirmed,,0,
,Simisear,015/086,Reverse holo,,Confirmed,,0,
,Litwick,016/086,Regular,,Confirmed,,0,
,Litwick,016/086,Reverse holo,,Confirmed,,0,
,Lampent,017/086,Regular,,Confirmed,,0,
,Lampent,017/086,Reverse holo,,Confirmed,,0,
,Chandelure,018/086,Regular,,Confirmed,,0,
,Chandelure,018/086,Reverse holo,,Confirmed,,0,
,Heatmor,019/086,Regular,,Confirmed,,0,
,Heatmor,019/086,Reverse holo,,Confirmed,,0,
,Reshiram ex,020/086,Regular,,Confirmed,,0,
,Oshawott,021/086,Regular,,Confirmed,,0,
,Oshawott,021/086,Reverse holo,,Confirmed,,0,
,Dewott,022/086,Regular,,Confirmed,,0,
,Dewott,022/086,Reverse holo,,Confirmed,,0,
,Samurott,023/086,Regular,,Confirmed,,0,
,Samurott,023/086,Reverse holo,,Confirmed,,0,
,Basculin,024/086,Regular,,Confirmed,,0,
,Basculin,024/086,Reverse holo,,Confirmed,,0,
,Ducklett,025/086,Regular,,Confirmed,,0,
,Ducklett,025/086,Reverse holo,,Confirmed,,0,
,Swanna,026/086,Regular,,Confirmed,,0,
,Swanna,026/086,Reverse holo,,Confirmed,,0,
,Vanillite,027/086,Regular,,Confirmed,,0,
,Vanillite,027/086,Reverse holo,,Confirmed,,0,
,Vanillish,028/086,Regular,,Confirmed,,0,
,Vanillish,028/086,Reverse holo,,Confirmed,,0,
,Vanilluxe,029/086,Regular,,Confirmed,,0,
,Vanilluxe,029/086,Reverse holo,,Confirmed,,0,
,Keldeo ex,030/086,Regular,,Confirmed,,0,
,Blitzle,031/086,Regular,,Confirmed,,0,
,Blitzle,031/086,Reverse holo,,Confirmed,,0,
,Zebstrika,032/086,Regular,,Confirmed,,0,
,Zebstrika,032/086,Reverse holo,,Confirmed,,0,
,Joltik,033/086,Regular,,Confirmed,,0,
,Joltik,033/086,Reverse holo,,Confirmed,,0,
,Galvantula,034/086,Regular,,Confirmed,,0,
,Galvantula,034/086,Reverse holo,,Confirmed,,0,
,Stunfisk,035/086,Regular,,Confirmed,,0,
,Stunfisk,035/086,Reverse holo,,Confirmed,,0,
,Woobat,036/086,Regular,,Confirmed,,0,
,Woobat,036/086,Reverse holo,,Confirmed,,0,
,Swoobat,037/086,Regular,,Confirmed,,0,
,Swoobat,037/086,Reverse holo,,Confirmed,,0,
,Sigilyph,038/086,Regular,,Confirmed,,0,
,Sigilyph,038/086,Reverse holo,,Confirmed,,0,
,Yamask,039/086,Regular,,Confirmed,,0,
,Yamask,039/086,Reverse holo,,Confirmed,,0,
,Cofagrigus,040/086,Regular,,Confirmed,,0,
,Cofagrigus,040/086,Reverse holo,,Confirmed,,0,
,Gothita,041/086,Regular,,Confirmed,,0,
,Gothita,041/086,Reverse holo,,Confirmed,,0,
,Gothorita,042/086,Regular,,Confirmed,,0,
,Gothorita,042/086,Reverse holo,,Confirmed,,0,
,Gothitelle,043/086,Regular,,Confirmed,,0,
,Gothitelle,043/086,Reverse holo,,Confirmed,,0,
,Frillish,044/086,Regular,,Confirmed,,0,
,Frillish,044/086,Reverse holo,,Confirmed,,0,
,Jellicent ex,045/086,Regular,,Confirmed,,0,
,Roggenrola,046/086,Regular,,Confirmed,,0,
,Roggenrola,046/086,Reverse holo,,Confirmed,,0,
,Boldore,047/086,Regular,,Confirmed,,0,
,Boldore,047/086,Reverse holo,,Confirmed,,0,
,Gigalith,048/086,Regular,,Confirmed,,0,
,Gigalith,048/086,Reverse holo,,Confirmed,,0,
,Sawk,049/086,Regular,,Confirmed,,0,
,Sawk,049/086,Reverse holo,,Confirmed,,0,
,Archen,050/086,Regular,,Confirmed,,0,
,Archen,050/086,Reverse holo,,Confirmed,,0,
,Archeops,051/086,Regular,,Confirmed,,0,
,Archeops,051/086,Reverse holo,,Confirmed,,0,
,Mienfoo,052/086,Regular,,Confirmed,,0,
,Mienfoo,052/086,Reverse holo,,Confirmed,,0,
,Mienshao,053/086,Regular,,Confirmed,,0,
,Mienshao,053/086,Reverse holo,,Confirmed,,0,
,Terrakion,054/086,Regular,,Confirmed,,0,
,Terrakion,054/086,Reverse holo,,Confirmed,,0,
,Purrloin,055/086,Regular,,Confirmed,,0,
,Purrloin,055/086,Reverse holo,,Confirmed,,0,
,Liepard,056/086,Regular,,Confirmed,,0,
,Liepard,056/086,Reverse holo,,Confirmed,,0,
,Scraggy,057/086,Regular,,Confirmed,,0,
,Scraggy,057/086,Reverse holo,,Confirmed,,0,
,Scrafty,058/086,Regular,,Confirmed,,0,
,Scrafty,058/086,Reverse holo,,Confirmed,,0,
,Trubbish,059/086,Regular,,Confirmed,,0,
,Trubbish,059/086,Reverse holo,,Confirmed,,0,
,Garbodor,060/086,Regular,,Confirmed,,0,
,Garbodor,060/086,Reverse holo,,Confirmed,,0,
,Zorua,061/086,Regular,,Confirmed,,0,
,Zorua,061/086,Reverse holo,,Confirmed,,0,
,Zoroark,062/086,Regular,,Confirmed,,0,
,Zoroark,062/086,Reverse holo,,Confirmed,,0,
,Vullaby,063/086,Regular,,Confirmed,,0,
,Vullaby,063/086,Reverse holo,,Confirmed,,0,
,Mandibuzz,064/086,Regular,,Confirmed,,0,
,Mandibuzz,064/086,Reverse holo,,Confirmed,,0,
,Deino,065/086,Regular,,Confirmed,,0,
,Deino,065/086,Reverse holo,,Confirmed,,0,
,Zweilous,066/086,Regular,,Confirmed,,0,
,Zweilous,066/086,Reverse holo,,Confirmed,,0,
,Hydreigon ex,067/086,Regular,,Confirmed,,0,
,Ferroseed,068/086,Regular,,Confirmed,,0,
,Ferroseed,068/086,Reverse holo,,Confirmed,,0,
,Ferrothorn,069/086,Regular,,Confirmed,,0,
,Ferrothorn,069/086,Reverse holo,,Confirmed,,0,
,Durant,070/086,Regular,,Confirmed,,0,
,Durant,070/086,Reverse holo,,Confirmed,,0,
,Druddigon,071/086,Regular,,Confirmed,,0,
,Druddigon,071/086,Reverse holo,,Confirmed,,0,
,Patrat,072/086,Regular,,Confirmed,,0,
,Patrat,072/086,Reverse holo,,Confirmed,,0,
,Watchog,073/086,Regular,,Confirmed,,0,
,Watchog,073/086,Reverse holo,,Confirmed,,0,
,Lillipup,074/086,Regular,,Confirmed,,0,
,Lillipup,074/086,Reverse holo,,Confirmed,,0,
,Herdier,075/086,Regular,,Confirmed,,0,
,Herdier,075/086,Reverse holo,,Confirmed,,0,
,Stoutland,076/086,Regular,,Confirmed,,0,
