Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
Base Set,,,,,,,,
,Snivy,001/086,Regular,,Confirmed,,,
,Snivy,001/086,Reverse holo,,Confirmed,,,
,Servine,002/086,Regular,,Confirmed,,,
,Servine,002/086,Reverse holo,,Confirmed,,,
,Serperior ex,003/086,Regular,,Confirmed,,,
,Pansage,004/086,Regular,,Confirmed,,,
,Pansage,004/086,Reverse holo,,Confirmed,,,
,Simisage,005/086,Regular,,Confirmed,,,
,Simisage,005/086,Reverse holo,,Confirmed,,,
,Petilil,006/086,Regular,,Confirmed,,,
,Petilil,006/086,Reverse holo,,Confirmed,,,
,Lilligant,007/086,Regular,,Confirmed,,,
,Lilligant,007/086,Reverse holo,,Confirmed,,,
,Maractus,008/086,Regular,,Confirmed,,,
,Maractus,008/086,Reverse holo,,Confirmed,,,
,Karrablast,009/086,Regular,,Confirmed,,,
,Karrablast,009/086,Reverse holo,,Confirmed,,,
,Foongus,010/086,Regular,,Confirmed,,,
,Foongus,010/086,Reverse holo,,Confirmed,,,
,Amoonguss,011/086,Regular,,Confirmed,,,
,Amoonguss,011/086,Reverse holo,,Confirmed,,,
,Victini,012/086,Regular,,Confirmed,,,
,Victini,012/086,Reverse holo,,Confirmed,,,
,Darumaka,013/086,Regular,,Confirmed,,,
,Darumaka,013/086,Reverse holo,,Confirmed,,,
,Darmanitan,014/086,Regular,,Confirmed,,,
,Darmanitan,014/086,Reverse holo,,Confirmed,,,
,Larvesta,015/086,Regular,,Confirmed,,,
,Larvesta,015/086,Reverse holo,,Confirmed,,,
,Volcarona,016/086,Regular,,Confirmed,,,
,Volcarona,016/086,Reverse holo,,Confirmed,,,
,Panpour,017/086,Regular,,Confirmed,,,
,Panpour,017/086,Reverse holo,,Confirmed,,,
,Simipour,018/086,Regular,,Confirmed,,,
,Simipour,018/086,Reverse holo,,Confirmed,,,
,Tympole,019/086,Regular,,Confirmed,,,
,Tympole,019/086,Reverse holo,,Confirmed,,,
,Palpitoad,020/086,Regular,,Confirmed,,,
,Palpitoad,020/086,Reverse holo,,Confirmed,,,
,Seismitoad,021/086,Regular,,Confirmed,,,
,Seismitoad,021/086,Reverse holo,,Confirmed,,,
,Tirtouga,022/086,Regular,,Confirmed,,,
,Tirtouga,022/086,Reverse holo,,Confirmed,,,
,Carracosta,023/086,Regular,,Confirmed,,,
,Carracosta,023/086,Reverse holo,,Confirmed,,,
,Alomomola,024/086,Regular,,Confirmed,,,
,Alomomola,024/086,Reverse holo,,Confirmed,,,
,Cubchoo,025/086,Regular,,Confirmed,,,
,Cubchoo,025/086,Reverse holo,,Confirmed,,,
,Beartic,026/086,Regular,,Confirmed,,,
,Beartic,026/086,Reverse holo,,Confirmed,,,
,Cryogonal,027/086,Regular,,Confirmed,,,
,Cryogonal,027/086,Reverse holo,,Confirmed,,,
,Kyurem ex,028/086,Regular,,Confirmed,,,
,Emolga,029/086,Regular,,Confirmed,,,
,Emolga,029/086,Reverse holo,,Confirmed,,,
,Tynamo,030/086,Regular,,Confirmed,,,
,Tynamo,030/086,Reverse holo,,Confirmed,,,
,Eelektrik,031/086,Regular,,Confirmed,,,
,Eelektrik,031/086,Reverse holo,,Confirmed,,,
,Eelektross,032/086,Regular,,Confirmed,,,
,Eelektross,032/086,Reverse holo,,Confirmed,,,
,Thundurus,033/086,Regular,,Confirmed,,,
,Thundurus,033/086,Reverse holo,,Confirmed,,,
,Zekrom ex,034/086,Regular,,Confirmed,,,
,Munna,035/086,Regular,,Confirmed,,,
,Munna,035/086,Reverse holo,,Confirmed,,,
,Musharna,036/086,Regular,,Confirmed,,,
,Musharna,036/086,Reverse holo,,Confirmed,,,
,Solosis,037/086,Regular,,Confirmed,,,
,Solosis,037/086,Reverse holo,,Confirmed,,,
,Duosion,038/086,Regular,,Confirmed,,,
,Duosion,038/086,Reverse holo,,Confirmed,,,
,Reuniclus,039/086,Regular,,Confirmed,,,
,Reuniclus,039/086,Reverse holo,,Confirmed,,,
,Elgyem,040/086,Regular,,Confirmed,,,
,Elgyem,040/086,Reverse holo,,Confirmed,,,
,Beheeyem,041/086,Regular,,Confirmed,,,
,Beheeyem,041/086,Reverse holo,,Confirmed,,,
,Golett,042/086,Regular,,Confirmed,,,
,Golett,042/086,Reverse holo,,Confirmed,,,
,Golurk,043/086,Regular,,Confirmed,,,
,Golurk,043/086,Reverse holo,,Confirmed,,,
,Meloetta ex,044/086,Regular,,Confirmed,,,
,Drilbur,045/086,Regular,,Confirmed,,,
,Drilbur,045/086,Reverse holo,,Confirmed,,,
,Excadrill ex,046/086,Regular,,Confirmed,,,
,Timburr,047/086,Regular,,Confirmed,,,
,Timburr,047/086,Reverse holo,,Confirmed,,,
,Gurdurr,048/086,Regular,,Confirmed,,,
,Gurdurr,048/086,Reverse holo,,Confirmed,,,
,Conkeldurr,049/086,Regular,,Confirmed,,,
,Conkeldurr,049/086,Reverse holo,,Confirmed,,,
,Throh,050/086,Regular,,Confirmed,,,
,Throh,050/086,Reverse holo,,Confirmed,,,
,Dwebble,051/086,Regular,,Confirmed,,,
,Dwebble,051/086,Reverse holo,,Confirmed,,,
,Crustle,052/086,Regular,,Confirmed,,,
,Crustle,052/086,Reverse holo,,Confirmed,,,
,Landorus,053/086,Regular,,Confirmed,,,
,Landorus,053/086,Reverse holo,,Confirmed,,,
,Venipede,054/086,Regular,,Confirmed,,,
,Venipede,054/086,Reverse holo,,Confirmed,,,
,Whirlipede,055/086,Regular,,Confirmed,,,
,Whirlipede,055/086,Reverse holo,,Confirmed,,,
,Scolipede,056/086,Regular,,Confirmed,,,
,Scolipede,056/086,Reverse holo,,Confirmed,,,
,Sandile,057/086,Regular,,Confirmed,,,
,Sandile,057/086,Reverse holo,,Confirmed,,,
,Krokorok,058/086,Regular,,Confirmed,,,
,Krokorok,058/086,Reverse holo,,Confirmed,,,
,Krookodile,059/086,Regular,,Confirmed,,,
,Krookodile,059/086,Reverse holo,,Confirmed,,,
,Escavalier,060/086,Regular,,Confirmed,,,
,Escavalier,060/086,Reverse holo,,Confirmed,,,
,Klink,061/086,Regular,,Confirmed,,,
,Klink,061/086,Reverse holo,,Confirmed,,,
,Klang,062/086,Regular,,Confirmed,,,
,Klang,062/086,Reverse holo,,Confirmed,,,
,Klinklang,063/086,Regular,,Confirmed,,,
,Klinklang,063/086,Reverse holo,,Confirmed,,,
,Pawniard,064/086,Regular,,Confirmed,,,
,Pawniard,064/086,Reverse holo,,Confirmed,,,
,Bisharp,065/086,Regular,,Confirmed,,,
,Bisharp,065/086,Reverse holo,,Confirmed,,,
,Cobalion,066/086,Regular,,Confirmed,,,
,Cobalion,066/086,Reverse holo,,Confirmed,,,
,Genesect ex,067/086,Regular,,Confirmed,,,
,Axew,068/086,Regular,,Confirmed,,,
,Axew,068/086,Reverse holo,,Confirmed,,,
,Fraxure,069/086,Regular,,Confirmed,,,
,Fraxure,069/086,Reverse holo,,Confirmed,,,
,Haxorus,070/086,Regular,,Confirmed,,,
,Haxorus,070/086,Reverse holo,,Confirmed,,,
,Pidove,071/086,Regular,,Confirmed,,,
,Pidove,071/086,Reverse holo,,Confirmed,,,
,Tranquill,072/086,Regular,,Confirmed,,,
,Tranquill,072/086,Reverse holo,,Confirmed,,,
,Unfezant,073/086,Regular,,Confirmed,,,
,Unfezant,073/086,Reverse holo,,Confirmed,,,
,Audino,074/086,Regular,,Confirmed,,,
,Audino,074/086,Reverse holo,,Confirmed,,,
,Minccino,075/086,Regular,,Confirmed,,,
,Minccino,075/086,Reverse holo,,Confirmed,,,
,Cinccino,076/086,Regular,,Confirmed,,,
,Cinccino,076/086,Reverse holo,,Confirmed,,,
,Rufflet,077/086,Regular,,Confirmed,,,
,Rufflet,077/086,Reverse holo,,Confirmed,,,
,Braviary,078/086,Regular,,Confirmed,,,
,Braviary,078/086,Reverse holo,,Confirmed,,,
,Air Balloon,079/086,Regular,,Confirmed,,,
,Air Balloon,079/086,Reverse holo,,Confirmed,,,
,Antique Cover Fossil,080/086,Regular,,Confirmed,,,
,Antique Cover Fossil,080/086,Reverse holo,,Confirmed,,,
,Energy Coin,081/086,Regular,,Confirmed,,,
,Energy Coin,081/086,Reverse holo,,Confirmed,,,
,Fennel,082/086,Regular,,Confirmed,,,
,Fennel,082/086,Reverse holo,,Confirmed,,,
,N's Plan,083/086,Regular,,Confirmed,,,
,N's Plan,083/086,Reverse holo,,Confirmed,,,
,Pokégear 3.0,084/086,Regular,,Confirmed,,,
,Pokégear 3.0,084/086,Reverse holo,,Confirmed,,,
,Professor's Research,085/086,Regular,,Confirmed,,,
,Professor's Research,085/086,Reverse holo,,Confirmed,,,
,Prism Energy,086/086,Regular,,Confirmed,,,
,Prism Energy,086/086,Reverse holo,,Confirmed,,,
,Snivy,087/086,Regular,,Confirmed,,,
,Servine,088/086,Regular,,Confirmed,,,
,Pansage,089/086,Regular,,Confirmed,,,
,Simisage,090/086,Regular,,Confirmed,,,
,Petilil,091/086,Regular,,Confirmed,,,
,Lilligant,092/086,Regular,,Confirmed,,,
,Maractus,093/086,Regular,,Confirmed,,,
,Karrablast,094/086,Regular,,Confirmed,,,
,Foongus,095/086,Regular,,Confirmed,,,
,Amoonguss,096/086,Regular,,Confirmed,,,
,Darumaka,097/086,Regular,,Confirmed,,,
,Darmanitan,098/086,Regular,,Confirmed,,,
,Larvesta,099/086,Regular,,Confirmed,,,
,Volcarona,100/086,Regular,,Confirmed,,,
,Panpour,101/086,Regular,,Confirmed,,,
,Simipour,102/086,Regular,,Confirmed,,,
,Tympole,103/086,Regular,,Confirmed,,,
,Palpitoad,104/086,Regular,,Confirmed,,,
,Seismitoad,105/086,Regular,,Confirmed,,,
,Tirtouga,106/086,Regular,,Confirmed,,,
,Carracosta,107/086,Regular,,Confirmed,,,
,Alomomola,108/086,Regular,,Confirmed,,,
,Cubchoo,109/086,Regular,,Confirmed,,,
,Beartic,110/086,Regular,,Confirmed,,,
,Cryogonal,111/086,Regular,,Confirmed,,,
,Emolga,112/086,Regular,,Confirmed,,,
,Tynamo,113/086,Regular,,Confirmed,,,
,Eelektrik,114/086,Regular,,Confirmed,,,
,Eelektross,115/086,Regular,,Confirmed,,,
,Munna,116/086,Regular,,Confirmed,,,
,Musharna,117/086,Regular,,Confirmed,,,
,Solosis,118/086,Regular,,Confirmed,,,
,Duosion,119/086,Regular,,Confirmed,,,
,Elgyem,120/086,Regular,,Confirmed,,,
,Beheeyem,121/086,Regular,,Confirmed,,,
,Golett,122/086,Regular,,Confirmed,,,
,Golurk,123/086,Regular,,Confirmed,,,
,Drilbur,124/086,Regular,,Confirmed,,,
,Timburr,125/086,Regular,,Confirmed,,,
,Gurdurr,126/086,Regular,,Confirmed,,,
,Conkeldurr,127/086,Regular,,Confirmed,,,
,Throh,128/086,Regular,,Confirmed,,,
,Dwebble,129/086,Regular,,Confirmed,,,
,Crustle,130/086,Regular,,Confirmed,,,
