Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
Base Set,,,,,,,,
,Ethan's Pinsir,001/182,Regular,,Confirmed,,,
,Ethan's Pinsir,001/182,Reverse holo,,Confirmed,,,
,Yanma,002/182,Regular,,Confirmed,,,
,Yanma,002/182,Reverse holo,,Confirmed,,,
,Yanmega ex,003/182,Regular,,Confirmed,,,
,Pineco,004/182,Regular,,Confirmed,,,
,Pineco,004/182,Reverse holo,,Confirmed,,,
,Shroomish,005/182,Regular,,Confirmed,,,
,Shroomish,005/182,Reverse holo,,Confirmed,,,
,Breloom,006/182,Regular,,Confirmed,,,
,Breloom,006/182,Reverse holo,,Confirmed,,,
,Cynthia's Roselia,007/182,Regular,,Confirmed,,,
,Cynthia's Roselia,007/182,Reverse holo,,Confirmed,,,
,Cynthia's Roserade,008/182,Regular,,Confirmed,,,
,Cynthia's Roserade,008/182,Reverse holo,,Confirmed,,,
,Mow Rotom,009/182,Regular,,Confirmed,,,
,Mow Rotom,009/182,Reverse holo,,Confirmed,,,
,Shaymin,010/182,Regular,,Confirmed,,,
,Shaymin,010/182,Reverse holo,,Confirmed,,,
,Dwebble,011/182,Regular,,Confirmed,,,
,Dwebble,011/182,Reverse holo,,Confirmed,,,
,Crustle,012/182,Regular,,Confirmed,,,
,Crustle,012/182,Reverse holo,,Confirmed,,,
,Fomantis,013/182,Regular,,Confirmed,,,
,Fomantis,013/182,Reverse holo,,Confirmed,,,
,Lurantis,014/182,Regular,,Confirmed,,,
,Lurantis,014/182,Reverse holo,,Confirmed,,,
,Team Rocket's Blipbug,015/182,Regular,,Confirmed,,,
,Team Rocket's Blipbug,015/182,Reverse holo,,Confirmed,,,
,Applin,016/182,Regular,,Confirmed,,,
,Applin,016/182,Reverse holo,,Confirmed,,,
,Dipplin,017/182,Regular,,Confirmed,,,
,Dipplin,017/182,Reverse holo,,Confirmed,,,
,Hydrapple,018/182,Regular,,Confirmed,,,
,Hydrapple,018/182,Reverse holo,,Confirmed,,,
,Team Rocket's Tarountula,019/182,Regular,,Confirmed,,,
,Team Rocket's Tarountula,019/182,Reverse holo,,Confirmed,,,
,Team Rocket's Spidops,020/182,Regular,,Confirmed,,,
,Team Rocket's Spidops,020/182,Reverse holo,,Confirmed,,,
,Smoliv,021/182,Regular,,Confirmed,,,
,Smoliv,021/182,Reverse holo,,Confirmed,,,
,Dolliv,022/182,Regular,,Confirmed,,,
,Dolliv,022/182,Reverse holo,,Confirmed,,,
,Arboliva ex,023/182,Regular,,Confirmed,,,
,Rellor,024/182,Regular,,Confirmed,,,
,Rellor,024/182,Reverse holo,,Confirmed,,,
,Rabsca ex,025/182,Regular,,Confirmed,,,
,Teal Mask Ogerpon,026/182,Regular,,Confirmed,,,
,Teal Mask Ogerpon,026/182,Reverse holo,,Confirmed,,,
,Growlithe,027/182,Regular,,Confirmed,,,
,Growlithe,027/182,Reverse holo,,Confirmed,,,
,Arcanine,028/182,Regular,,Confirmed,,,
,Arcanine,028/182,Reverse holo,,Confirmed,,,
,Ponyta,029/182,Regular,,Confirmed,,,
,Ponyta,029/182,Reverse holo,,Confirmed,,,
,Rapidash,030/182,Regular,,Confirmed,,,
,Rapidash,030/182,Reverse holo,,Confirmed,,,
,Team Rocket's Moltres ex,031/182,Regular,,Confirmed,,,
,Ethan's Cyndaquil,032/182,Regular,,Confirmed,,,
,Ethan's Cyndaquil,032/182,Reverse holo,,Confirmed,,,
,Ethan's Quilava,033/182,Regular,,Confirmed,,,
,Ethan's Quilava,033/182,Reverse holo,,Confirmed,,,
,Ethan's Typhlosion,034/182,Regular,,Confirmed,,,
,Ethan's Typhlosion,034/182,Reverse holo,,Confirmed,,,
,Ethan's Slugma,035/182,Regular,,Confirmed,,,
,Ethan's Slugma,035/182,Reverse holo,,Confirmed,,,
,Ethan's Magcargo,036/182,Regular,,Confirmed,,,
,Ethan's Magcargo,036/182,Reverse holo,,Confirmed,,,
,Team Rocket's Houndour,037/182,Regular,,Confirmed,,,
,Team Rocket's Houndour,037/182,Reverse holo,,Confirmed,,,
,Team Rocket's Houndoom,038/182,Regular,,Confirmed,,,
,Team Rocket's Houndoom,038/182,Reverse holo,,Confirmed,,,
,Ethan's Ho-Oh ex,039/182,Regular,,Confirmed,,,
,Torchic,040/182,Regular,,Confirmed,,,
,Torchic,040/182,Reverse holo,,Confirmed,,,
,Combusken,041/182,Regular,,Confirmed,,,
,Combusken,041/182,Reverse holo,,Confirmed,,,
,Blaziken,042/182,Regular,,Confirmed,,,
,Blaziken,042/182,Reverse holo,,Confirmed,,,
,Heat Rotom,043/182,Regular,,Confirmed,,,
,Heat Rotom,043/182,Reverse holo,,Confirmed,,,
,Hearthflame Mask Ogerpon,044/182,Regular,,Confirmed,,,
,Hearthflame Mask Ogerpon,044/182,Reverse holo,,Confirmed,,,
,Misty's Psyduck,045/182,Regular,,Confirmed,,,
,Misty's Psyduck,045/182,Reverse holo,,Confirmed,,,
,Misty's Staryu,046/182,Regular,,Confirmed,,,
,Misty's Staryu,046/182,Reverse holo,,Confirmed,,,
,Misty's Starmie,047/182,Regular,,Confirmed,,,
,Misty's Starmie,047/182,Reverse holo,,Confirmed,,,
,Misty's Magikarp,048/182,Regular,,Confirmed,,,
,Misty's Magikarp,048/182,Reverse holo,,Confirmed,,,
,Misty's Gyarados,049/182,Regular,,Confirmed,,,
,Misty's Gyarados,049/182,Reverse holo,,Confirmed,,,
,Misty's Lapras,050/182,Regular,,Confirmed,,,
,Misty's Lapras,050/182,Reverse holo,,Confirmed,,,
,Team Rocket's Articuno,051/182,Regular,,Confirmed,,,
,Team Rocket's Articuno,051/182,Reverse holo,,Confirmed,,,
,Cynthia's Feebas,052/182,Regular,,Confirmed,,,
,Cynthia's Feebas,052/182,Reverse holo,,Confirmed,,,
,Cynthia's Milotic,053/182,Regular,,Confirmed,,,
,Cynthia's Milotic,053/182,Reverse holo,,Confirmed,,,
,Clamperl,054/182,Regular,,Confirmed,,,
,Clamperl,054/182,Reverse holo,,Confirmed,,,
,Huntail,055/182,Regular,,Confirmed,,,
,Huntail,055/182,Reverse holo,,Confirmed,,,
,Gorebyss,056/182,Regular,,Confirmed,,,
,Gorebyss,056/182,Reverse holo,,Confirmed,,,
,Buizel,057/182,Regular,,Confirmed,,,
,Buizel,057/182,Reverse holo,,Confirmed,,,
,Floatzel,058/182,Regular,,Confirmed,,,
,Floatzel,058/182,Reverse holo,,Confirmed,,,
,Snover,059/182,Regular,,Confirmed,,,
,Snover,059/182,Reverse holo,,Confirmed,,,
,Abomasnow,060/182,Regular,,Confirmed,,,
,Abomasnow,060/182,Reverse holo,,Confirmed,,,
,Wash Rotom,061/182,Regular,,Confirmed,,,
,Wash Rotom,061/182,Reverse holo,,Confirmed,,,
,Arrokuda,062/182,Regular,,Confirmed,,,
,Arrokuda,062/182,Reverse holo,,Confirmed,,,
,Barraskewda,063/182,Regular,,Confirmed,,,
,Barraskewda,063/182,Reverse holo,,Confirmed,,,
,Cetoddle,064/182,Regular,,Confirmed,,,
,Cetoddle,064/182,Reverse holo,,Confirmed,,,
,Cetitan ex,065/182,Regular,,Confirmed,,,
,Dondozo ex,066/182,Regular,,Confirmed,,,
,Wellspring Mask Ogerpon,067/182,Regular,,Confirmed,,,
,Wellspring Mask Ogerpon,067/182,Reverse holo,,Confirmed,,,
,Electabuzz,068/182,Regular,,Confirmed,,,
,Electabuzz,068/182,Reverse holo,,Confirmed,,,
,Electivire ex,069/182,Regular,,Confirmed,,,
,Team Rocket's Zapdos,070/182,Regular,,Confirmed,,,
,Team Rocket's Zapdos,070/182,Reverse holo,,Confirmed,,,
,Ethan's Pichu,071/182,Regular,,Confirmed,,,
,Ethan's Pichu,071/182,Reverse holo,,Confirmed,,,
,Team Rocket's Mareep,072/182,Regular,,Confirmed,,,
,Team Rocket's Mareep,072/182,Reverse holo,,Confirmed,,,
,Team Rocket's Flaaffy,073/182,Regular,,Confirmed,,,
,Team Rocket's Flaaffy,073/182,Reverse holo,,Confirmed,,,
,Team Rocket's Ampharos,074/182,Regular,,Confirmed,,,
,Team Rocket's Ampharos,074/182,Reverse holo,,Confirmed,,,
,Electrike,075/182,Regular,,Confirmed,,,
,Electrike,075/182,Reverse holo,,Confirmed,,,
,Manectric,076/182,Regular,,Confirmed,,,
,Manectric,076/182,Reverse holo,,Confirmed,,,
,Rotom,077/182,Regular,,Confirmed,,,
,Rotom,077/182,Reverse holo,,Confirmed,,,
,Zeraora,078/182,Regular,,Confirmed,,,
,Zeraora,078/182,Reverse holo,,Confirmed,,,
,Team Rocket's Drowzee,079/182,Regular,,Confirmed,,,
,Team Rocket's Drowzee,079/182,Reverse holo,,Confirmed,,,
,Team Rocket's Hypno,080/182,Regular,,Confirmed,,,
,Team Rocket's Hypno,080/182,Reverse holo,,Confirmed,,,
,Team Rocket's Mewtwo ex,081/182,Regular,,Confirmed,,,
,Team Rocket's Wobbuffet,082/182,Regular,,Confirmed,,,
,Team Rocket's Wobbuffet,082/182,Reverse holo,,Confirmed,,,
,Steven's Baltoy,083/182,Regular,,Confirmed,,,
,Steven's Baltoy,083/182,Reverse holo,,Confirmed,,,
,Steven's Claydol,084/182,Regular,,Confirmed,,,
,Steven's Claydol,084/182,Reverse holo,,Confirmed,,,
,Team Rocket's Chingling,085/182,Regular,,Confirmed,,,
,Team Rocket's Chingling,085/182,Reverse holo,,Confirmed,,,
,Steven's Carbink,086/182,Regular,,Confirmed,,,
,Steven's Carbink,086/182,Reverse holo,,Confirmed,,,
,Team Rocket's Mimikyu,087/182,Regular,,Confirmed,,,
,Team Rocket's Mimikyu,087/182,Reverse holo,,Confirmed,,,
,Team Rocket's Dottler,088/182,Regular,,Confirmed,,,
