Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
Base Set,,,,,,,,
,Hoppip,001/193,Regular,,Confirmed,,,
,Hoppip,001/193,Reverse holo,,Confirmed,,,
,Skiploom,002/193,Regular,,Confirmed,,,
,Skiploom,002/193,Reverse holo,,Confirmed,,,
,Jumpluff,003/193,Regular,,Confirmed,,,
,Jumpluff,003/193,Reverse holo,,Confirmed,,,
,Pineco,004/193,Regular,,Confirmed,,,
,Pineco,004/193,Reverse holo,,Confirmed,,,
,Forretress ex,005/193,Regular,,Confirmed,,,
,Heracross,006/193,Regular,,Confirmed,,,
,Heracross,006/193,Reverse holo,,Confirmed,,,
,Tropius,007/193,Regular,,Confirmed,,,
,Tropius,007/193,Reverse holo,,Confirmed,,,
,Combee,008/193,Regular,,Confirmed,,,
,Combee,008/193,Reverse holo,,Confirmed,,,
,Vespiquen,009/193,Regular,,Confirmed,,,
,Vespiquen,009/193,Reverse holo,,Confirmed,,,
,Snover,010/193,Regular,,Confirmed,,,
,Snover,010/193,Reverse holo,,Confirmed,,,
,Abomasnow,011/193,Regular,,Confirmed,,,
,Abomasnow,011/193,Reverse holo,,Confirmed,,,
,Sprigatito,012/193,Regular,,Confirmed,,,
,Sprigatito,012/193,Reverse holo,,Confirmed,,,
,Sprigatito,013/193,Regular,,Confirmed,,,
,Sprigatito,013/193,Reverse holo,,Confirmed,,,
,Floragato,014/193,Regular,,Confirmed,,,
,Floragato,014/193,Reverse holo,,Confirmed,,,
,Meowscarada ex,015/193,Regular,,Confirmed,,,
,Tarountula,016/193,Regular,,Confirmed,,,
,Tarountula,016/193,Reverse holo,,Confirmed,,,
,Tarountula,017/193,Regular,,Confirmed,,,
,Tarountula,017/193,Reverse holo,,Confirmed,,,
,Spidops,018/193,Regular,,Confirmed,,,
,Spidops,018/193,Reverse holo,,Confirmed,,,
,Nymble,019/193,Regular,,Confirmed,,,
,Nymble,019/193,Reverse holo,,Confirmed,,,
