Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
Base Set,,,,,,,,
,Pineco,001/091,Regular,,Confirmed,,,
,Pineco,001/091,Reverse holo,,Confirmed,,,
,Forretress ex,002/091,Regular,,Confirmed,,,
,Maractus,003/091,Regular,,Confirmed,,,
,Maractus,003/091,Reverse holo,,Confirmed,,,
,Toedscool,004/091,Regular,,Confirmed,,,
,Toedscool,004/091,Reverse holo,,Confirmed,,,
,Toedscruel ex,005/091,Regular,,Confirmed,,,
,Espathra ex,006/091,Regular,,Confirmed,,,
,Charmander,007/091,Regular,,Confirmed,,,
,Charmander,007/091,Reverse holo,,Confirmed,,,
,Charmeleon,008/091,Regular,,Confirmed,,,
,Charmeleon,008/091,Reverse holo,,Confirmed,,,
,Magmar,009/091,Regular,,Confirmed,,,
,Magmar,009/091,Reverse holo,,Confirmed,,,
,Magmortar,010/091,Regular,,Confirmed,,,
,Magmortar,010/091,Reverse holo,,Confirmed,,,
,Numel,011/091,Regular,,Confirmed,,,
,Numel,011/091,Reverse holo,,Confirmed,,,
,Camerupt,012/091,Regular,,Confirmed,,,
,Camerupt,012/091,Reverse holo,,Confirmed,,,
,Heat Rotom,013/091,Regular,,Confirmed,,,
,Heat Rotom,013/091,Reverse holo,,Confirmed,,,
,Charcadet,014/091,Regular,,Confirmed,,,
,Charcadet,014/091,Reverse holo,,Confirmed,,,
,Armarouge,015/091,Regular,,Confirmed,,,
,Armarouge,015/091,Reverse holo,,Confirmed,,,
,Lapras,016/091,Regular,,Confirmed,,,
,Lapras,016/091,Reverse holo,,Confirmed,,,
,Frigibax,017/091,Regular,,Confirmed,,,
,Frigibax,017/091,Reverse holo,,Confirmed,,,
,Pikachu,018/091,Regular,,Confirmed,,,
,Pikachu,018/091,Reverse holo,,Confirmed,,,
,Raichu,019/091,Regular,,Confirmed,,,
,Raichu,019/091,Reverse holo,,Confirmed,,,
,Chinchou,020/091,Regular,,Confirmed,,,
,Chinchou,020/091,Reverse holo,,Confirmed,,,
,Lanturn,021/091,Regular,,Confirmed,,,
,Lanturn,021/091,Reverse holo,,Confirmed,,,
,Kilowattrel,022/091,Regular,,Confirmed,,,
,Kilowattrel,022/091,Reverse holo,,Confirmed,,,
,Exeggcute,023/091,Regular,,Confirmed,,,
,Exeggcute,023/091,Reverse holo,,Confirmed,,,
,Exeggutor,024/091,Regular,,Confirmed,,,
,Exeggutor,024/091,Reverse holo,,Confirmed,,,
,Natu,025/091,Regular,,Confirmed,,,
,Natu,025/091,Reverse holo,,Confirmed,,,
,Xatu,026/091,Regular,,Confirmed,,,
,Xatu,026/091,Reverse holo,,Confirmed,,,
,Ralts,027/091,Regular,,Confirmed,,,
,Ralts,027/091,Reverse holo,,Confirmed,,,
,Kirlia,028/091,Regular,,Confirmed,,,
,Kirlia,028/091,Reverse holo,,Confirmed,,,
,Gardevoir ex,029/091,Regular,,Confirmed,,,
,Chimecho,030/091,Regular,,Confirmed,,,
,Chimecho,030/091,Reverse holo,,Confirmed,,,
,Mime Jr.,031/091,Regular,,Confirmed,,,
,Mime Jr.,031/091,Reverse holo,,Confirmed,,,
,Woobat,032/091,Regular,,Confirmed,,,
,Woobat,032/091,Reverse holo,,Confirmed,,,
,Swoobat,033/091,Regular,,Confirmed,,,
,Swoobat,033/091,Reverse holo,,Confirmed,,,
,Cottonee,034/091,Regular,,Confirmed,,,
,Cottonee,034/091,Reverse holo,,Confirmed,,,
,Whimsicott,035/091,Regular,,Confirmed,,,
,Whimsicott,035/091,Reverse holo,,Confirmed,,,
,Dedenne,036/091,Regular,,Confirmed,,,
,Dedenne,036/091,Reverse holo,,Confirmed,,,
,Mimikyu,037/091,Regular,,Confirmed,,,
,Mimikyu,037/091,Reverse holo,,Confirmed,,,
,Fidough,038/091,Regular,,Confirmed,,,
,Fidough,038/091,Reverse holo,,Confirmed,,,
,Dachsbun,039/091,Regular,,Confirmed,,,
,Dachsbun,039/091,Reverse holo,,Confirmed,,,
,Ceruledge,040/091,Regular,,Confirmed,,,
,Ceruledge,040/091,Reverse holo,,Confirmed,,,
,Flittle,041/091,Regular,,Confirmed,,,
,Flittle,041/091,Reverse holo,,Confirmed,,,
,Greavard,042/091,Regular,,Confirmed,,,
,Greavard,042/091,Reverse holo,,Confirmed,,,
,Houndstone,043/091,Regular,,Confirmed,,,
,Houndstone,043/091,Reverse holo,,Confirmed,,,
,Gimmighoul,044/091,Regular,,Confirmed,,,
,Gimmighoul,044/091,Reverse holo,,Confirmed,,,
,Mankey,045/091,Regular,,Confirmed,,,
,Mankey,045/091,Reverse holo,,Confirmed,,,
,Primeape,046/091,Regular,,Confirmed,,,
,Primeape,046/091,Reverse holo,,Confirmed,,,
,Annihilape,047/091,Regular,,Confirmed,,,
,Annihilape,047/091,Reverse holo,,Confirmed,,,
,Phanpy,048/091,Regular,,Confirmed,,,
,Phanpy,048/091,Reverse holo,,Confirmed,,,
,Donphan,049/091,Regular,,Confirmed,,,
,Donphan,049/091,Reverse holo,,Confirmed,,,
,Barboach,050/091,Regular,,Confirmed,,,
,Barboach,050/091,Reverse holo,,Confirmed,,,
,Clobbopus,051/091,Regular,,Confirmed,,,
,Clobbopus,051/091,Reverse holo,,Confirmed,,,
,Grapploct,052/091,Regular,,Confirmed,,,
,Grapploct,052/091,Reverse holo,,Confirmed,,,
,Great Tusk ex,053/091,Regular,,Confirmed,,,
,Charizard ex,054/091,Regular,,Confirmed,,,
