Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
Base Set,,,,,,,,
,Surskit,001/182,Regular,,Confirmed,,,
,Surskit,001/182,Reverse holo,,Confirmed,,,
,Masquerain,002/182,Regular,,Confirmed,,,
,Masquerain,002/182,Reverse holo,,Confirmed,,,
,Froslass ex,003/182,Regular,,Confirmed,,,
,Pansage,004/182,Regular,,Confirmed,,,
,Pansage,004/182,Reverse holo,,Confirmed,,,
,Simisage,005/182,Regular,,Confirmed,,,
,Simisage,005/182,Reverse holo,,Confirmed,,,
,Dwebble,006/182,Regular,,Confirmed,,,
,Dwebble,006/182,Reverse holo,,Confirmed,,,
,Crustle,007/182,Regular,,Confirmed,,,
,Crustle,007/182,Reverse holo,,Confirmed,,,
,Bounsweet,008/182,Regular,,Confirmed,,,
,Bounsweet,008/182,Reverse holo,,Confirmed,,,
,Steenee,009/182,Regular,,Confirmed,,,
,Steenee,009/182,Reverse holo,,Confirmed,,,
,Blipbug,010/182,Regular,,Confirmed,,,
,Blipbug,010/182,Reverse holo,,Confirmed,,,
,Dottler,011/182,Regular,,Confirmed,,,
,Dottler,011/182,Reverse holo,,Confirmed,,,
,Orbeetle,012/182,Regular,,Confirmed,,,
,Orbeetle,012/182,Reverse holo,,Confirmed,,,
,Nymble,013/182,Regular,,Confirmed,,,
,Nymble,013/182,Reverse holo,,Confirmed,,,
,Nymble,014/182,Regular,,Confirmed,,,
,Nymble,014/182,Reverse holo,,Confirmed,,,
,Toedscool,015/182,Regular,,Confirmed,,,
,Toedscool,015/182,Reverse holo,,Confirmed,,,
,Toedscool,016/182,Regular,,Confirmed,,,
,Toedscool,016/182,Reverse holo,,Confirmed,,,
,Toedscruel,017/182,Regular,,Confirmed,,,
,Toedscruel,017/182,Reverse holo,,Confirmed,,,
,Wo-Chien,018/182,Regular,,Confirmed,,,
,Wo-Chien,018/182,Reverse holo,,Confirmed,,,
,Magby,019/182,Regular,,Confirmed,,,
,Magby,019/182,Reverse holo,,Confirmed,,,
,Pansear,020/182,Regular,,Confirmed,,,
,Pansear,020/182,Reverse holo,,Confirmed,,,
,Simisear,021/182,Regular,,Confirmed,,,
,Simisear,021/182,Reverse holo,,Confirmed,,,
,Volcanion,022/182,Regular,,Confirmed,,,
,Volcanion,022/182,Reverse holo,,Confirmed,,,
,Fuecoco,023/182,Regular,,Confirmed,,,
,Fuecoco,023/182,Reverse holo,,Confirmed,,,
,Crocalor,024/182,Regular,,Confirmed,,,
,Crocalor,024/182,Reverse holo,,Confirmed,,,
,Charcadet,025/182,Regular,,Confirmed,,,
,Charcadet,025/182,Reverse holo,,Confirmed,,,
,Charcadet,026/182,Regular,,Confirmed,,,
,Charcadet,026/182,Reverse holo,,Confirmed,,,
,Armarouge ex,027/182,Regular,,Confirmed,,,
,Iron Moth,028/182,Regular,,Confirmed,,,
,Iron Moth,028/182,Reverse holo,,Confirmed,,,
,Chi-Yu,029/182,Regular,,Confirmed,,,
,Chi-Yu,029/182,Reverse holo,,Confirmed,,,
,Horsea,030/182,Regular,,Confirmed,,,
,Horsea,030/182,Reverse holo,,Confirmed,,,
,Seadra,031/182,Regular,,Confirmed,,,
,Seadra,031/182,Reverse holo,,Confirmed,,,
,Kingdra,032/182,Regular,,Confirmed,,,
,Kingdra,032/182,Reverse holo,,Confirmed,,,
,Remoraid,033/182,Regular,,Confirmed,,,
,Remoraid,033/182,Reverse holo,,Confirmed,,,
,Octillery,034/182,Regular,,Confirmed,,,
,Octillery,034/182,Reverse holo,,Confirmed,,,
,Feebas,035/182,Regular,,Confirmed,,,
,Feebas,035/182,Reverse holo,,Confirmed,,,
,Milotic,036/182,Regular,,Confirmed,,,
,Milotic,036/182,Reverse holo,,Confirmed,,,
,Snorunt,037/182,Regular,,Confirmed,,,
,Snorunt,037/182,Reverse holo,,Confirmed,,,
,Garchomp ex,038/182,Regular,,Confirmed,,,
,Mantyke,039/182,Regular,,Confirmed,,,
,Mantyke,039/182,Reverse holo,,Confirmed,,,
,Palkia,040/182,Regular,,Confirmed,,,
,Palkia,040/182,Reverse holo,,Confirmed,,,
,Panpour,041/182,Regular,,Confirmed,,,
,Panpour,041/182,Reverse holo,,Confirmed,,,
