Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
Base Set,,,,,,,,
,Spinarak,001/088,Regular,,Confirmed,,,
,Spinarak,001/088,Reverse holo,,Confirmed,,,
,Ariados,002/088,Regular,,Confirmed,,,
,Ariados,002/088,Reverse holo,,Confirmed,,,
,Shaymin,003/088,Regular,,Confirmed,,,
,Shaymin,003/088,Reverse holo,,Confirmed,,,
,Snivy,004/088,Regular,,Confirmed,,,
,Snivy,004/088,Reverse holo,,Confirmed,,,
,Servine,005/088,Regular,,Confirmed,,,
,Servine,005/088,Reverse holo,,Confirmed,,,
,Serperior,006/088,Regular,,Confirmed,,,
,Serperior,006/088,Reverse holo,,Confirmed,,,
,Scatterbug,007/088,Regular,,Confirmed,,,
,Scatterbug,007/088,Reverse holo,,Confirmed,,,
,Spewpa,008/088,Regular,,Confirmed,,,
,Spewpa,008/088,Reverse holo,,Confirmed,,,
,Vivillon,009/088,Regular,,Confirmed,,,
,Vivillon,009/088,Reverse holo,,Confirmed,,,
,Rowlet,010/088,Regular,,Confirmed,,,
,Rowlet,010/088,Reverse holo,,Confirmed,,,
,Dartrix,011/088,Regular,,Confirmed,,,
,Dartrix,011/088,Reverse holo,,Confirmed,,,
,Decidueye ex,012/088,Regular,,Confirmed,,,
,Fletchinder,013/088,Regular,,Confirmed,,,
,Fletchinder,013/088,Reverse holo,,Confirmed,,,
,Talonflame,014/088,Regular,,Confirmed,,,
,Talonflame,014/088,Reverse holo,,Confirmed,,,
,Salandit,015/088,Regular,,Confirmed,,,
,Salandit,015/088,Reverse holo,,Confirmed,,,
,Salazzle ex,016/088,Regular,,Confirmed,,,
,Turtonator,017/088,Regular,,Confirmed,,,
,Turtonator,017/088,Reverse holo,,Confirmed,,,
,Seel,018/088,Regular,,Confirmed,,,
,Seel,018/088,Reverse holo,,Confirmed,,,
,Dewgong,019/088,Regular,,Confirmed,,,
,Dewgong,019/088,Reverse holo,,Confirmed,,,
,Staryu,020/088,Regular,,Confirmed,,,
,Staryu,020/088,Reverse holo,,Confirmed,,,
,Mega Starmie ex,021/088,Regular,,Confirmed,,,
,Lapras ex,022/088,Regular,,Confirmed,,,
,Amaura,023/088,Regular,,Confirmed,,,
,Amaura,023/088,Reverse holo,,Confirmed,,,
,Aurorus,024/088,Regular,,Confirmed,,,
,Aurorus,024/088,Reverse holo,,Confirmed,,,
,Volcanion,025/088,Regular,,Confirmed,,,
,Volcanion,025/088,Reverse holo,,Confirmed,,,
,Shinx,026/088,Regular,,Confirmed,,,
,Shinx,026/088,Reverse holo,,Confirmed,,,
,Luxio,027/088,Regular,,Confirmed,,,
,Luxio,027/088,Reverse holo,,Confirmed,,,
,Luxray,028/088,Regular,,Confirmed,,,
,Luxray,028/088,Reverse holo,,Confirmed,,,
,Dedenne,029/088,Regular,,Confirmed,,,
,Dedenne,029/088,Reverse holo,,Confirmed,,,
,Clefairy,030/088,Regular,,Confirmed,,,
,Clefairy,030/088,Reverse holo,,Confirmed,,,
,Mega Clefable ex,031/088,Regular,,Confirmed,,,
,Mawile,032/088,Regular,,Confirmed,,,
,Mawile,032/088,Reverse holo,,Confirmed,,,
,Espurr,033/088,Regular,,Confirmed,,,
,Espurr,033/088,Reverse holo,,Confirmed,,,
,Meowstic,034/088,Regular,,Confirmed,,,
,Meowstic,034/088,Reverse holo,,Confirmed,,,
,Spritzee,035/088,Regular,,Confirmed,,,
,Spritzee,035/088,Reverse holo,,Confirmed,,,
,Aromatisse,036/088,Regular,,Confirmed,,,
,Aromatisse,036/088,Reverse holo,,Confirmed,,,
,Nosepass,037/088,Regular,,Confirmed,,,
,Nosepass,037/088,Reverse holo,,Confirmed,,,
,Probopass,038/088,Regular,,Confirmed,,,
,Probopass,038/088,Reverse holo,,Confirmed,,,
,Hippopotas,039/088,Regular,,Confirmed,,,
,Hippopotas,039/088,Reverse holo,,Confirmed,,,
,Hippowdon,040/088,Regular,,Confirmed,,,
,Hippowdon,040/088,Reverse holo,,Confirmed,,,
,Landorus,041/088,Regular,,Confirmed,,,
,Landorus,041/088,Reverse holo,,Confirmed,,,
,Binacle,042/088,Regular,,Confirmed,,,
,Binacle,042/088,Reverse holo,,Confirmed,,,
,Barbaracle,043/088,Regular,,Confirmed,,,
,Barbaracle,043/088,Reverse holo,,Confirmed,,,
,Tyrunt,044/088,Regular,,Confirmed,,,
,Tyrunt,044/088,Reverse holo,,Confirmed,,,
,Tyrantrum,045/088,Regular,,Confirmed,,,
,Tyrantrum,045/088,Reverse holo,,Confirmed,,,
,Hawlucha,046/088,Regular,,Confirmed,,,
,Hawlucha,046/088,Reverse holo,,Confirmed,,,
,Mega Zygarde ex,047/088,Regular,,Confirmed,,,
,Gastly,048/088,Regular,,Confirmed,,,
,Gastly,048/088,Reverse holo,,Confirmed,,,
,Haunter,049/088,Regular,,Confirmed,,,
,Haunter,049/088,Reverse holo,,Confirmed,,,
,Gengar,050/088,Regular,,Confirmed,,,
,Gengar,050/088,Reverse holo,,Confirmed,,,
,Skorupi,051/088,Regular,,Confirmed,,,
,Skorupi,051/088,Reverse holo,,Confirmed,,,
,Drapion,052/088,Regular,,Confirmed,,,
,Drapion,052/088,Reverse holo,,Confirmed,,,
,Yveltal ex,053/088,Regular,,Confirmed,,,
,Chien-Pao,054/088,Regular,,Confirmed,,,
,Chien-Pao,054/088,Reverse holo,,Confirmed,,,
,Mega Skarmory ex,055/088,Regular,,Confirmed,,,
,Honedge,056/088,Regular,,Confirmed,,,
,Honedge,056/088,Reverse holo,,Confirmed,,,
,Doublade,057/088,Regular,,Confirmed,,,
,Doublade,057/088,Reverse holo,,Confirmed,,,
,Aegislash,058/088,Regular,,Confirmed,,,
,Aegislash,058/088,Reverse holo,,Confirmed,,,
,Klefki,059/088,Regular,,Confirmed,,,
,Klefki,059/088,Reverse holo,,Confirmed,,,
,Rattata,060/088,Regular,,Confirmed,,,
,Rattata,060/088,Reverse holo,,Confirmed,,,
,Raticate,061/088,Regular,,Confirmed,,,
,Raticate,061/088,Reverse holo,,Confirmed,,,
,Meowth ex,062/088,Regular,,Confirmed,,,
