Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
Base Set,,,,,,,,
,Bulbasaur,001/165,Regular,,Confirmed,,,
,Bulbasaur,001/165,Reverse holo,,Confirmed,,,
,Ivysaur,002/165,Regular,,Confirmed,,,
,Ivysaur,002/165,Reverse holo,,Confirmed,,,
,Venusaur ex,003/165,Regular,,Confirmed,,,
,Charmander,004/165,Regular,,Confirmed,,,
,Charmander,004/165,Reverse holo,,Confirmed,,,
,Charmeleon,005/165,Regular,,Confirmed,,,
,Charmeleon,005/165,Reverse holo,,Confirmed,,,
,Charizard ex,006/165,Regular,,Confirmed,,,
,Squirtle,007/165,Regular,,Confirmed,,,
,Squirtle,007/165,Reverse holo,,Confirmed,,,
,Wartortle,008/165,Regular,,Confirmed,,,
,Wartortle,008/165,Reverse holo,,Confirmed,,,
,Blastoise ex,009/165,Regular,,Confirmed,,,
,Caterpie,010/165,Regular,,Confirmed,,,
,Caterpie,010/165,Reverse holo,,Confirmed,,,
,Metapod,011/165,Regular,,Confirmed,,,
,Metapod,011/165,Reverse holo,,Confirmed,,,
,Butterfree,012/165,Regular,,Confirmed,,,
,Butterfree,012/165,Reverse holo,,Confirmed,,,
,Weedle,013/165,Regular,,Confirmed,,,
,Weedle,013/165,Reverse holo,,Confirmed,,,
,Kakuna,014/165,Regular,,Confirmed,,,
,Kakuna,014/165,Reverse holo,,Confirmed,,,
,Beedrill,015/165,Regular,,Confirmed,,,
,Beedrill,015/165,Reverse holo,,Confirmed,,,
,Pidgey,016/165,Regular,,Confirmed,,,
,Pidgey,016/165,Reverse holo,,Confirmed,,,
,Pidgeotto,017/165,Regular,,Confirmed,,,
,Pidgeotto,017/165,Reverse holo,,Confirmed,,,
,Pidgeot,018/165,Regular,,Confirmed,,,
,Pidgeot,018/165,Reverse holo,,Confirmed,,,
,Rattata,019/165,Regular,,Confirmed,,,
,Rattata,019/165,Reverse holo,,Confirmed,,,
,Raticate,020/165,Regular,,Confirmed,,,
,Raticate,020/165,Reverse holo,,Confirmed,,,
,Spearow,021/165,Regular,,Confirmed,,,
,Spearow,021/165,Reverse holo,,Confirmed,,,
,Fearow,022/165,Regular,,Confirmed,,,
,Fearow,022/165,Reverse holo,,Confirmed,,,
,Ekans,023/165,Regular,,Confirmed,,,
