Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
Base Set,,,,,,,,
,Exeggcute,001/131,Regular,,Confirmed,,,
,Exeggcute,001/131,Reverse holo,,Confirmed,,,
,Exeggutor,002/131,Regular,,Confirmed,,,
,Exeggutor,002/131,Reverse holo,,Confirmed,,,
,Pinsir,003/131,Regular,,Confirmed,,,
,Pinsir,003/131,Reverse holo,,Confirmed,,,
,Budew,004/131,Regular,,Confirmed,,,
,Budew,004/131,Reverse holo,,Confirmed,,,
,Leafeon,005/131,Regular,,Confirmed,,,
,Leafeon,005/131,Reverse holo,,Confirmed,,,
,Leafeon ex,006/131,Regular,,Confirmed,,,
,Cottonee,007/131,Regular,,Confirmed,,,
,Cottonee,007/131,Reverse holo,,Confirmed,,,
,Whimsicott,008/131,Regular,,Confirmed,,,
,Whimsicott,008/131,Reverse holo,,Confirmed,,,
,Applin,009/131,Regular,,Confirmed,,,
,Applin,009/131,Reverse holo,,Confirmed,,,
,Dipplin,010/131,Regular,,Confirmed,,,
,Dipplin,010/131,Reverse holo,,Confirmed,,,
,Hydrapple ex,011/131,Regular,,Confirmed,,,
,Teal Mask Ogerpon ex,012/131,Regular,,Confirmed,,,
,Flareon,013/131,Regular,,Confirmed,,,
,Flareon,013/131,Reverse holo,,Confirmed,,,
,Flareon ex,014/131,Regular,,Confirmed,,,
,Litleo,015/131,Regular,,Confirmed,,,
,Litleo,015/131,Reverse holo,,Confirmed,,,
,Pyroar,016/131,Regular,,Confirmed,,,
,Pyroar,016/131,Reverse holo,,Confirmed,,,
,Hearthflame Mask Ogerpon ex,017/131,Regular,,Confirmed,,,
,Slowpoke,018/131,Regular,,Confirmed,,,
,Slowpoke,018/131,Reverse holo,,Confirmed,,,
,Slowking,019/131,Regular,,Confirmed,,,
,Slowking,019/131,Reverse holo,,Confirmed,,,
,Goldeen,020/131,Regular,,Confirmed,,,
,Goldeen,020/131,Reverse holo,,Confirmed,,,
,Seaking,021/131,Regular,,Confirmed,,,
