Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
Base Set,,,,,,,,
,Pineco,001/198,Regular,,Confirmed,,,
,Pineco,001/198,Reverse holo,,Confirmed,,,
,Heracross,002/198,Regular,,Confirmed,,,
,Heracross,002/198,Reverse holo,,Confirmed,,,
,Shroomish,003/198,Regular,,Confirmed,,,
,Shroomish,003/198,Reverse holo,,Confirmed,,,
,Breloom,004/198,Regular,,Confirmed,,,
,Breloom,004/198,Reverse holo,,Confirmed,,,
,Cacnea,005/198,Regular,,Confirmed,,,
,Cacnea,005/198,Reverse holo,,Confirmed,,,
,Cacturne,006/198,Regular,,Confirmed,,,
,Cacturne,006/198,Reverse holo,,Confirmed,,,
,Tropius,007/198,Regular,,Confirmed,,,
,Tropius,007/198,Reverse holo,,Confirmed,,,
,Scatterbug,008/198,Regular,,Confirmed,,,
,Scatterbug,008/198,Reverse holo,,Confirmed,,,
,Spewpa,009/198,Regular,,Confirmed,,,
,Spewpa,009/198,Reverse holo,,Confirmed,,,
,Vivillon,010/198,Regular,,Confirmed,,,
,Vivillon,010/198,Reverse holo,,Confirmed,,,
,Skiddo,011/198,Regular,,Confirmed,,,
,Skiddo,011/198,Reverse holo,,Confirmed,,,
,Gogoat,012/198,Regular,,Confirmed,,,
,Gogoat,012/198,Reverse holo,,Confirmed,,,
,Sprigatito,013/198,Regular,,Confirmed,,,
,Sprigatito,013/198,Reverse holo,,Confirmed,,,
,Floragato,014/198,Regular,,Confirmed,,,
,Floragato,014/198,Reverse holo,,Confirmed,,,
,Meowscarada,015/198,Regular,,Confirmed,,,
,Meowscarada,015/198,Reverse holo,,Confirmed,,,
,Tarountula,016/198,Regular,,Confirmed,,,
,Tarountula,016/198,Reverse holo,,Confirmed,,,
,Tarountula,017/198,Regular,,Confirmed,,,
,Tarountula,017/198,Reverse holo,,Confirmed,,,
,Tarountula,018/198,Regular,,Confirmed,,,
,Tarountula,018/198,Reverse holo,,Confirmed,,,
,Spidops ex,019/198,Regular,,Confirmed,,,
,Smoliv,020/198,Regular,,Confirmed,,,
,Smoliv,020/198,Reverse holo,,Confirmed,,,
,Smoliv,021/198,Regular,,Confirmed,,,
,Smoliv,021/198,Reverse holo,,Confirmed,,,
,Dolliv,022/198,Regular,,Confirmed,,,
,Dolliv,022/198,Reverse holo,,Confirmed,,,
,Arboliva,023/198,Regular,,Confirmed,,,
,Arboliva,023/198,Reverse holo,,Confirmed,,,
,Toedscool,024/198,Regular,,Confirmed,,,
,Toedscool,024/198,Reverse holo,,Confirmed,,,
,Toedscool,025/198,Regular,,Confirmed,,,
,Toedscool,025/198,Reverse holo,,Confirmed,,,
,Toedscruel,026/198,Regular,,Confirmed,,,
,Toedscruel,026/198,Reverse holo,,Confirmed,,,
,Capsakid,027/198,Regular,,Confirmed,,,
,Capsakid,027/198,Reverse holo,,Confirmed,,,
,Capsakid,028/198,Regular,,Confirmed,,,
,Capsakid,028/198,Reverse holo,,Confirmed,,,
,Scovillain,029/198,Regular,,Confirmed,,,
,Scovillain,029/198,Reverse holo,,Confirmed,,,
,Growlithe,030/198,Regular,,Confirmed,,,
,Growlithe,030/198,Reverse holo,,Confirmed,,,
,Growlithe,031/198,Regular,,Confirmed,,,
,Growlithe,031/198,Reverse holo,,Confirmed,,,
,Arcanine ex,032/198,Regular,,Confirmed,,,
,Houndour,033/198,Regular,,Confirmed,,,
,Houndour,033/198,Reverse holo,,Confirmed,,,
,Houndoom,034/198,Regular,,Confirmed,,,
,Houndoom,034/198,Reverse holo,,Confirmed,,,
,Torkoal,035/198,Regular,,Confirmed,,,
,Torkoal,035/198,Reverse holo,,Confirmed,,,
,Fuecoco,036/198,Regular,,Confirmed,,,
,Fuecoco,036/198,Reverse holo,,Confirmed,,,
,Crocalor,037/198,Regular,,Confirmed,,,
,Crocalor,037/198,Reverse holo,,Confirmed,,,
,Skeledirge,038/198,Regular,,Confirmed,,,
,Skeledirge,038/198,Reverse holo,,Confirmed,,,
,Charcadet,039/198,Regular,,Confirmed,,,
,Charcadet,039/198,Reverse holo,,Confirmed,,,
,Charcadet,040/198,Regular,,Confirmed,,,
,Charcadet,040/198,Reverse holo,,Confirmed,,,
,Armarouge,041/198,Regular,,Confirmed,,,
,Armarouge,041/198,Reverse holo,,Confirmed,,,
,Slowpoke,042/198,Regular,,Confirmed,,,
,Slowpoke,042/198,Reverse holo,,Confirmed,,,
,Slowbro,043/198,Regular,,Confirmed,,,
,Slowbro,043/198,Reverse holo,,Confirmed,,,
,Magikarp,044/198,Regular,,Confirmed,,,
,Magikarp,044/198,Reverse holo,,Confirmed,,,
,Gyarados ex,045/198,Regular,,Confirmed,,,
,Buizel,046/198,Regular,,Confirmed,,,
,Buizel,046/198,Reverse holo,,Confirmed,,,
,Floatzel,047/198,Regular,,Confirmed,,,
,Floatzel,047/198,Reverse holo,,Confirmed,,,
,Alomomola,048/198,Regular,,Confirmed,,,
,Alomomola,048/198,Reverse holo,,Confirmed,,,
,Clauncher,049/198,Regular,,Confirmed,,,
,Clauncher,049/198,Reverse holo,,Confirmed,,,
,Clawitzer,050/198,Regular,,Confirmed,,,
,Clawitzer,050/198,Reverse holo,,Confirmed,,,
,Bruxish,051/198,Regular,,Confirmed,,,
,Bruxish,051/198,Reverse holo,,Confirmed,,,
,Quaxly,052/198,Regular,,Confirmed,,,
,Quaxly,052/198,Reverse holo,,Confirmed,,,
,Quaxwell,053/198,Regular,,Confirmed,,,
,Quaxwell,053/198,Reverse holo,,Confirmed,,,
,Quaquaval,054/198,Regular,,Confirmed,,,
,Quaquaval,054/198,Reverse holo,,Confirmed,,,
,Wiglett,055/198,Regular,,Confirmed,,,
,Wiglett,055/198,Reverse holo,,Confirmed,,,
,Wiglett,056/198,Regular,,Confirmed,,,
,Wiglett,056/198,Reverse holo,,Confirmed,,,
,Wugtrio,057/198,Regular,,Confirmed,,,
,Wugtrio,057/198,Reverse holo,,Confirmed,,,
,Cetoddle,058/198,Regular,,Confirmed,,,
,Cetoddle,058/198,Reverse holo,,Confirmed,,,
,Cetoddle,059/198,Regular,,Confirmed,,,
,Cetoddle,059/198,Reverse holo,,Confirmed,,,
,Cetitan,060/198,Regular,,Confirmed,,,
,Cetitan,060/198,Reverse holo,,Confirmed,,,
,Dondozo,061/198,Regular,,Confirmed,,,
,Dondozo,061/198,Reverse holo,,Confirmed,,,
,Tatsugiri,062/198,Regular,,Confirmed,,,
,Tatsugiri,062/198,Reverse holo,,Confirmed,,,
,Magnemite,063/198,Regular,,Confirmed,,,
,Magnemite,063/198,Reverse holo,,Confirmed,,,
,Magneton,064/198,Regular,,Confirmed,,,
