Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
Base Set,,,,,,,,
,Exeggcute,001/191,Regular,,Confirmed,,,
,Exeggcute,001/191,Reverse holo,,Confirmed,,,
,Exeggcute,002/191,Regular,,Confirmed,,,
,Exeggcute,002/191,Reverse holo,,Confirmed,,,
,Exeggutor,003/191,Regular,,Confirmed,,,
,Exeggutor,003/191,Reverse holo,,Confirmed,,,
,Durant ex,004/191,Regular,,Confirmed,,,
,Scatterbug,005/191,Regular,,Confirmed,,,
,Scatterbug,005/191,Reverse holo,,Confirmed,,,
,Spewpa,006/191,Regular,,Confirmed,,,
,Spewpa,006/191,Reverse holo,,Confirmed,,,
,Vivillon,007/191,Regular,,Confirmed,,,
,Vivillon,007/191,Reverse holo,,Confirmed,,,
,Morelull,008/191,Regular,,Confirmed,,,
,Morelull,008/191,Reverse holo,,Confirmed,,,
,Shiinotic,009/191,Regular,,Confirmed,,,
,Shiinotic,009/191,Reverse holo,,Confirmed,,,
,Dhelmise,010/191,Regular,,Confirmed,,,
,Dhelmise,010/191,Reverse holo,,Confirmed,,,
,Zarude,011/191,Regular,,Confirmed,,,
,Zarude,011/191,Reverse holo,,Confirmed,,,
,Capsakid,012/191,Regular,,Confirmed,,,
,Capsakid,012/191,Reverse holo,,Confirmed,,,
,Rellor,013/191,Regular,,Confirmed,,,
,Rellor,013/191,Reverse holo,,Confirmed,,,
,Rabsca,014/191,Regular,,Confirmed,,,
,Rabsca,014/191,Reverse holo,,Confirmed,,,
,Wo-Chien,015/191,Regular,,Confirmed,,,
,Wo-Chien,015/191,Reverse holo,,Confirmed,,,
,Vulpix,016/191,Regular,,Confirmed,,,
,Vulpix,016/191,Reverse holo,,Confirmed,,,
,Ninetales,017/191,Regular,,Confirmed,,,
,Ninetales,017/191,Reverse holo,,Confirmed,,,
,Paldean Tauros,018/191,Regular,,Confirmed,,,
,Paldean Tauros,018/191,Reverse holo,,Confirmed,,,
,Ho-Oh,019/191,Regular,,Confirmed,,,
,Ho-Oh,019/191,Reverse holo,,Confirmed,,,
,Castform Sunny Form,020/191,Regular,,Confirmed,,,
,Castform Sunny Form,020/191,Reverse holo,,Confirmed,,,
,Victini,021/191,Regular,,Confirmed,,,
,Victini,021/191,Reverse holo,,Confirmed,,,
,Pansear,022/191,Regular,,Confirmed,,,
,Pansear,022/191,Reverse holo,,Confirmed,,,
,Simisear,023/191,Regular,,Confirmed,,,
,Simisear,023/191,Reverse holo,,Confirmed,,,
,Larvesta,024/191,Regular,,Confirmed,,,
,Larvesta,024/191,Reverse holo,,Confirmed,,,
,Volcarona,025/191,Regular,,Confirmed,,,
,Volcarona,025/191,Reverse holo,,Confirmed,,,
,Oricorio,026/191,Regular,,Confirmed,,,
,Oricorio,026/191,Reverse holo,,Confirmed,,,
,Sizzlipede,027/191,Regular,,Confirmed,,,
,Sizzlipede,027/191,Reverse holo,,Confirmed,,,
