Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
Base Set,,,,,,,,
,Tangela,001/167,Regular,,Confirmed,,,
,Tangela,001/167,Reverse holo,,Confirmed,,,
,Tangrowth,002/167,Regular,,Confirmed,,,
,Tangrowth,002/167,Reverse holo,,Confirmed,,,
,Pinsir,003/167,Regular,,Confirmed,,,
,Pinsir,003/167,Reverse holo,,Confirmed,,,
,Spinarak,004/167,Regular,,Confirmed,,,
,Spinarak,004/167,Reverse holo,,Confirmed,,,
,Ariados,005/167,Regular,,Confirmed,,,
,Ariados,005/167,Reverse holo,,Confirmed,,,
,Sunkern,006/167,Regular,,Confirmed,,,
,Sunkern,006/167,Reverse holo,,Confirmed,,,
,Sunflora,007/167,Regular,,Confirmed,,,
,Sunflora,007/167,Reverse holo,,Confirmed,,,
,Heracross,008/167,Regular,,Confirmed,,,
,Heracross,008/167,Reverse holo,,Confirmed,,,
,Volbeat,009/167,Regular,,Confirmed,,,
,Volbeat,009/167,Reverse holo,,Confirmed,,,
,Illumise,010/167,Regular,,Confirmed,,,
,Illumise,010/167,Reverse holo,,Confirmed,,,
,Leafeon,011/167,Regular,,Confirmed,,,
,Leafeon,011/167,Reverse holo,,Confirmed,,,
,Phantump,012/167,Regular,,Confirmed,,,
,Phantump,012/167,Reverse holo,,Confirmed,,,
,Trevenant,013/167,Regular,,Confirmed,,,
,Trevenant,013/167,Reverse holo,,Confirmed,,,
,Grookey,014/167,Regular,,Confirmed,,,
,Grookey,014/167,Reverse holo,,Confirmed,,,
,Thwackey,015/167,Regular,,Confirmed,,,
,Thwackey,015/167,Reverse holo,,Confirmed,,,
,Rillaboom,016/167,Regular,,Confirmed,,,
,Rillaboom,016/167,Reverse holo,,Confirmed,,,
,Applin,017/167,Regular,,Confirmed,,,
,Applin,017/167,Reverse holo,,Confirmed,,,
,Dipplin,018/167,Regular,,Confirmed,,,
,Dipplin,018/167,Reverse holo,,Confirmed,,,
,Iron Leaves,019/167,Regular,,Confirmed,,,
,Iron Leaves,019/167,Reverse holo,,Confirmed,,,
,Poltchageist,020/167,Regular,,Confirmed,,,
,Poltchageist,020/167,Reverse holo,,Confirmed,,,
,Poltchageist,021/167,Regular,,Confirmed,,,
,Poltchageist,021/167,Reverse holo,,Confirmed,,,
,Sinistcha,022/167,Regular,,Confirmed,,,
,Sinistcha,022/167,Reverse holo,,Confirmed,,,
,Sinistcha ex,023/167,Regular,,Confirmed,,,
,Teal Mask Ogerpon,024/167,Regular,,Confirmed,,,
,Teal Mask Ogerpon,024/167,Reverse holo,,Confirmed,,,
,Teal Mask Ogerpon ex,025/167,Regular,,Confirmed,,,
,Vulpix,026/167,Regular,,Confirmed,,,
,Vulpix,026/167,Reverse holo,,Confirmed,,,
,Ninetales,027/167,Regular,,Confirmed,,,
,Ninetales,027/167,Reverse holo,,Confirmed,,,
,Slugma,028/167,Regular,,Confirmed,,,
,Slugma,028/167,Reverse holo,,Confirmed,,,
,Magcargo ex,029/167,Regular,,Confirmed,,,
,Torkoal,030/167,Regular,,Confirmed,,,
,Torkoal,030/167,Reverse holo,,Confirmed,,,
,Chimchar,031/167,Regular,,Confirmed,,,
,Chimchar,031/167,Reverse holo,,Confirmed,,,
,Monferno,032/167,Regular,,Confirmed,,,
,Monferno,032/167,Reverse holo,,Confirmed,,,
,Infernape,033/167,Regular,,Confirmed,,,
,Infernape,033/167,Reverse holo,,Confirmed,,,
,Darumaka,034/167,Regular,,Confirmed,,,
,Darumaka,034/167,Reverse holo,,Confirmed,,,
,Darmanitan,035/167,Regular,,Confirmed,,,
,Darmanitan,035/167,Reverse holo,,Confirmed,,,
,Litwick,036/167,Regular,,Confirmed,,,
,Litwick,036/167,Reverse holo,,Confirmed,,,
,Lampent,037/167,Regular,,Confirmed,,,
,Lampent,037/167,Reverse holo,,Confirmed,,,
,Chandelure,038/167,Regular,,Confirmed,,,
,Chandelure,038/167,Reverse holo,,Confirmed,,,
,Chi-Yu,039/167,Regular,,Confirmed,,,
,Chi-Yu,039/167,Reverse holo,,Confirmed,,,
,Hearthflame Mask Ogerpon ex,040/167,Regular,,Confirmed,,,
,Poliwag,041/167,Regular,,Confirmed,,,
,Poliwag,041/167,Reverse holo,,Confirmed,,,
,Poliwhirl,042/167,Regular,,Confirmed,,,
,Poliwhirl,042/167,Reverse holo,,Confirmed,,,
,Poliwrath,043/167,Regular,,Confirmed,,,
,Poliwrath,043/167,Reverse holo,,Confirmed,,,
,Goldeen,044/167,Regular,,Confirmed,,,
,Goldeen,044/167,Reverse holo,,Confirmed,,,
,Seaking,045/167,Regular,,Confirmed,,,
,Seaking,045/167,Reverse holo,,Confirmed,,,
,Jynx,046/167,Regular,,Confirmed,,,
,Jynx,046/167,Reverse holo,,Confirmed,,,
,Corphish,047/167,Regular,,Confirmed,,,
,Corphish,047/167,Reverse holo,,Confirmed,,,
,Crawdaunt,048/167,Regular,,Confirmed,,,
,Crawdaunt,048/167,Reverse holo,,Confirmed,,,
,Feebas,049/167,Regular,,Confirmed,,,
,Feebas,049/167,Reverse holo,,Confirmed,,,
,Milotic,050/167,Regular,,Confirmed,,,
,Milotic,050/167,Reverse holo,,Confirmed,,,
,Snorunt,051/167,Regular,,Confirmed,,,
,Snorunt,051/167,Reverse holo,,Confirmed,,,
,Glalie,052/167,Regular,,Confirmed,,,
,Glalie,052/167,Reverse holo,,Confirmed,,,
,Froslass,053/167,Regular,,Confirmed,,,
,Froslass,053/167,Reverse holo,,Confirmed,,,
,Glaceon,054/167,Regular,,Confirmed,,,
,Glaceon,054/167,Reverse holo,,Confirmed,,,
,Phione,055/167,Regular,,Confirmed,,,
,Phione,055/167,Reverse holo,,Confirmed,,,
,Froakie,056/167,Regular,,Confirmed,,,
,Froakie,056/167,Reverse holo,,Confirmed,,,
,Frogadier,057/167,Regular,,Confirmed,,,
,Frogadier,057/167,Reverse holo,,Confirmed,,,
,Cramorant,058/167,Regular,,Confirmed,,,
,Cramorant,058/167,Reverse holo,,Confirmed,,,
,Finizen,059/167,Regular,,Confirmed,,,
,Finizen,059/167,Reverse holo,,Confirmed,,,
,Palafin,060/167,Regular,,Confirmed,,,
,Palafin,060/167,Reverse holo,,Confirmed,,,
,Palafin ex,061/167,Regular,,Confirmed,,,
,Iron Bundle,062/167,Regular,,Confirmed,,,
,Iron Bundle,062/167,Reverse holo,,Confirmed,,,
,Walking Wake,063/167,Regular,,Confirmed,,,
,Walking Wake,063/167,Reverse holo,,Confirmed,,,
,Wellspring Mask Ogerpon ex,064/167,Regular,,Confirmed,,,
,Zapdos,065/167,Regular,,Confirmed,,,
,Zapdos,065/167,Reverse holo,,Confirmed,,,
,Shinx,066/167,Regular,,Confirmed,,,
,Shinx,066/167,Reverse holo,,Confirmed,,,
,Luxio,067/167,Regular,,Confirmed,,,
,Luxio,067/167,Reverse holo,,Confirmed,,,
,Luxray ex,068/167,Regular,,Confirmed,,,
,Emolga,069/167,Regular,,Confirmed,,,
,Emolga,069/167,Reverse holo,,Confirmed,,,
,Helioptile,070/167,Regular,,Confirmed,,,
,Helioptile,070/167,Reverse holo,,Confirmed,,,
,Heliolisk,071/167,Regular,,Confirmed,,,
,Heliolisk,071/167,Reverse holo,,Confirmed,,,
,Morpeko,072/167,Regular,,Confirmed,,,
,Morpeko,072/167,Reverse holo,,Confirmed,,,
,Tadbulb,073/167,Regular,,Confirmed,,,
,Tadbulb,073/167,Reverse holo,,Confirmed,,,
,Bellibolt,074/167,Regular,,Confirmed,,,
,Bellibolt,074/167,Reverse holo,,Confirmed,,,
,Wattrel,075/167,Regular,,Confirmed,,,
,Wattrel,075/167,Reverse holo,,Confirmed,,,
,Kilowattrel,076/167,Regular,,Confirmed,,,
,Kilowattrel,076/167,Reverse holo,,Confirmed,,,
,Iron Thorns ex,077/167,Regular,,Confirmed,,,
,Clefairy,078/167,Regular,,Confirmed,,,
,Clefairy,078/167,Reverse holo,,Confirmed,,,
,Clefable,079/167,Regular,,Confirmed,,,
,Clefable,079/167,Reverse holo,,Confirmed,,,
,Abra,080/167,Regular,,Confirmed,,,
,Abra,080/167,Reverse holo,,Confirmed,,,
,Kadabra,081/167,Regular,,Confirmed,,,
,Kadabra,081/167,Reverse holo,,Confirmed,,,
,Alakazam,082/167,Regular,,Confirmed,,,
,Alakazam,082/167,Reverse holo,,Confirmed,,,
,Girafarig,083/167,Regular,,Confirmed,,,
,Girafarig,083/167,Reverse holo,,Confirmed,,,
,Farigiraf,084/167,Regular,,Confirmed,,,
,Farigiraf,084/167,Reverse holo,,Confirmed,,,
,Chimecho,085/167,Regular,,Confirmed,,,
,Chimecho,085/167,Reverse holo,,Confirmed,,,
,Flabébé,086/167,Regular,,Confirmed,,,
,Flabébé,086/167,Reverse holo,,Confirmed,,,
,Floette,087/167,Regular,,Confirmed,,,
,Floette,087/167,Reverse holo,,Confirmed,,,
,Florges,088/167,Regular,,Confirmed,,,
,Florges,088/167,Reverse holo,,Confirmed,,,
,Swirlix,089/167,Regular,,Confirmed,,,
,Swirlix,089/167,Reverse holo,,Confirmed,,,
,Slurpuff,090/167,Regular,,Confirmed,,,
,Slurpuff,090/167,Reverse holo,,Confirmed,,,
,Sandygast,091/167,Regular,,Confirmed,,,
,Sandygast,091/167,Reverse holo,,Confirmed,,,
,Palossand,092/167,Regular,,Confirmed,,,
,Palossand,092/167,Reverse holo,,Confirmed,,,
,Enamorus,093/167,Regular,,Confirmed,,,
,Enamorus,093/167,Reverse holo,,Confirmed,,,
,Scream Tail ex,094/167,Regular,,Confirmed,,,
,Munkidori,095/167,Regular,,Confirmed,,,
,Munkidori,095/167,Reverse holo,,Confirmed,,,
,Fezandipiti,096/167,Regular,,Confirmed,,,
,Fezandipiti,096/167,Reverse holo,,Confirmed,,,
,Sandshrew,097/167,Regular,,Confirmed,,,
,Sandshrew,097/167,Reverse holo,,Confirmed,,,
,Sandslash,098/167,Regular,,Confirmed,,,
,Sandslash,098/167,Reverse holo,,Confirmed,,,
,Hisuian Growlithe,099/167,Regular,,Confirmed,,,
,Hisuian Growlithe,099/167,Reverse holo,,Confirmed,,,
,Hisuian Arcanine,100/167,Regular,,Confirmed,,,
,Hisuian Arcanine,100/167,Reverse holo,,Confirmed,,,
,Nosepass,101/167,Regular,,Confirmed,,,
,Nosepass,101/167,Reverse holo,,Confirmed,,,
,Probopass,102/167,Regular,,Confirmed,,,
,Probopass,102/167,Reverse holo,,Confirmed,,,
,Timburr,103/167,Regular,,Confirmed,,,
,Timburr,103/167,Reverse holo,,Confirmed,,,
,Gurdurr,104/167,Regular,,Confirmed,,,
,Gurdurr,104/167,Reverse holo,,Confirmed,,,
,Conkeldurr,105/167,Regular,,Confirmed,,,
,Conkeldurr,105/167,Reverse holo,,Confirmed,,,
,Greninja ex,106/167,Regular,,Confirmed,,,
,Hawlucha,107/167,Regular,,Confirmed,,,
,Hawlucha,107/167,Reverse holo,,Confirmed,,,
,Glimmet,108/167,Regular,,Confirmed,,,
,Glimmet,108/167,Reverse holo,,Confirmed,,,
,Glimmora,109/167,Regular,,Confirmed,,,
,Glimmora,109/167,Reverse holo,,Confirmed,,,
,Ting-Lu,110/167,Regular,,Confirmed,,,
,Ting-Lu,110/167,Reverse holo,,Confirmed,,,
,Okidogi,111/167,Regular,,Confirmed,,,
,Okidogi,111/167,Reverse holo,,Confirmed,,,
,Cornerstone Mask Ogerpon ex,112/167,Regular,,Confirmed,,,
,Poochyena,113/167,Regular,,Confirmed,,,
,Poochyena,113/167,Reverse holo,,Confirmed,,,
,Mightyena,114/167,Regular,,Confirmed,,,
,Mightyena,114/167,Reverse holo,,Confirmed,,,
,Venipede,115/167,Regular,,Confirmed,,,
,Venipede,115/167,Reverse holo,,Confirmed,,,
,Whirlipede,116/167,Regular,,Confirmed,,,
,Whirlipede,116/167,Reverse holo,,Confirmed,,,
,Scolipede,117/167,Regular,,Confirmed,,,
,Scolipede,117/167,Reverse holo,,Confirmed,,,
,Brute Bonnet,118/167,Regular,,Confirmed,,,
,Brute Bonnet,118/167,Reverse holo,,Confirmed,,,
,Skarmory,119/167,Regular,,Confirmed,,,
,Skarmory,119/167,Reverse holo,,Confirmed,,,
,Aron,120/167,Regular,,Confirmed,,,
,Aron,120/167,Reverse holo,,Confirmed,,,
,Lairon,121/167,Regular,,Confirmed,,,
,Lairon,121/167,Reverse holo,,Confirmed,,,
,Aggron,122/167,Regular,,Confirmed,,,
,Aggron,122/167,Reverse holo,,Confirmed,,,
,Heatran,123/167,Regular,,Confirmed,,,
,Heatran,123/167,Reverse holo,,Confirmed,,,
,Varoom,124/167,Regular,,Confirmed,,,
,Varoom,124/167,Reverse holo,,Confirmed,,,
,Revavroom,125/167,Regular,,Confirmed,,,
,Revavroom,125/167,Reverse holo,,Confirmed,,,
,Applin,126/167,Regular,,Confirmed,,,
,Applin,126/167,Reverse holo,,Confirmed,,,
,Dipplin,127/167,Regular,,Confirmed,,,
,Dipplin,127/167,Reverse holo,,Confirmed,,,
,Dreepy,128/167,Regular,,Confirmed,,,
,Dreepy,128/167,Reverse holo,,Confirmed,,,
,Drakloak,129/167,Regular,,Confirmed,,,
,Drakloak,129/167,Reverse holo,,Confirmed,,,
,Dragapult ex,130/167,Regular,,Confirmed,,,
,Tatsugiri,131/167,Regular,,Confirmed,,,
,Tatsugiri,131/167,Reverse holo,,Confirmed,,,
,Farfetch'd,132/167,Regular,,Confirmed,,,
,Farfetch'd,132/167,Reverse holo,,Confirmed,,,
,Chansey,133/167,Regular,,Confirmed,,,
,Chansey,133/167,Reverse holo,,Confirmed,,,
,Blissey ex,134/167,Regular,,Confirmed,,,
,Eevee,135/167,Regular,,Confirmed,,,
,Eevee,135/167,Reverse holo,,Confirmed,,,
,Snorlax,136/167,Regular,,Confirmed,,,
,Snorlax,136/167,Reverse holo,,Confirmed,,,
,Aipom,137/167,Regular,,Confirmed,,,
,Aipom,137/167,Reverse holo,,Confirmed,,,
,Ambipom,138/167,Regular,,Confirmed,,,
,Ambipom,138/167,Reverse holo,,Confirmed,,,
,Ducklett,139/167,Regular,,Confirmed,,,
,Ducklett,139/167,Reverse holo,,Confirmed,,,
,Swanna,140/167,Regular,,Confirmed,,,
,Swanna,140/167,Reverse holo,,Confirmed,,,
,Bloodmoon Ursaluna ex,141/167,Regular,,Confirmed,,,
,Accompanying Flute,142/167,Regular,,Confirmed,,,
,Accompanying Flute,142/167,Reverse holo,,Confirmed,,,
,Bug Catching Set,143/167,Regular,,Confirmed,,,
,Bug Catching Set,143/167,Reverse holo,,Confirmed,,,
,Caretaker,144/167,Regular,,Confirmed,,,
,Caretaker,144/167,Reverse holo,,Confirmed,,,
,Carmine,145/167,Regular,,Confirmed,,,
,Carmine,145/167,Reverse holo,,Confirmed,,,
,Community Center,146/167,Regular,,Confirmed,,,
,Community Center,146/167,Reverse holo,,Confirmed,,,
,Cook,147/167,Regular,,Confirmed,,,
,Cook,147/167,Reverse holo,,Confirmed,,,
,Enhanced Hammer,148/167,Regular,,Confirmed,,,
,Enhanced Hammer,148/167,Reverse holo,,Confirmed,,,
,Festival Grounds,149/167,Regular,,Confirmed,,,
,Festival Grounds,149/167,Reverse holo,,Confirmed,,,
,Handheld Fan,150/167,Regular,,Confirmed,,,
,Handheld Fan,150/167,Reverse holo,,Confirmed,,,
,Hassel,151/167,Regular,,Confirmed,,,
,Hassel,151/167,Reverse holo,,Confirmed,,,
,Hyper Aroma,152/167,Regular,ACE SPEC — no reverse holo,Confirmed,,,
,Jamming Tower,153/167,Regular,,Confirmed,,,
,Jamming Tower,153/167,Reverse holo,,Confirmed,,,
,Kieran,154/167,Regular,,Confirmed,,,
,Kieran,154/167,Reverse holo,,Confirmed,,,
,Lana's Aid,155/167,Regular,,Confirmed,,,
,Lana's Aid,155/167,Reverse holo,,Confirmed,,,
,Love Ball,156/167,Regular,,Confirmed,,,
,Love Ball,156/167,Reverse holo,,Confirmed,,,
,Lucian,157/167,Regular,,Confirmed,,,
,Lucian,157/167,Reverse holo,,Confirmed,,,
,Lucky Helmet,158/167,Regular,,Confirmed,,,
,Lucky Helmet,158/167,Reverse holo,,Confirmed,,,
,Ogre's Mask,159/167,Regular,,Confirmed,,,
,Ogre's Mask,159/167,Reverse holo,,Confirmed,,,
,Perrin,160/167,Regular,,Confirmed,,,
,Perrin,160/167,Reverse holo,,Confirmed,,,
,Raifort,161/167,Regular,,Confirmed,,,
,Raifort,161/167,Reverse holo,,Confirmed,,,
,Scoop Up Cyclone,162/167,Regular,ACE SPEC — no reverse holo,Confirmed,,,
,Secret Box,163/167,Regular,ACE SPEC — no reverse holo,Confirmed,,,
,Survival Brace,164/167,Regular,ACE SPEC — no reverse holo,Confirmed,,,
,Unfair Stamp,165/167,Regular,ACE SPEC — no reverse holo,Confirmed,,,
,Boomerang Energy,166/167,Regular,,Confirmed,,,
,Boomerang Energy,166/167,Reverse holo,,Confirmed,,,
,Legacy Energy,167/167,Regular,ACE SPEC — no reverse holo,Confirmed,,,
,Pinsir,168/167,Regular,,Confirmed,,,
,Sunflora,169/167,Regular,,Confirmed,,,
,Dipplin,170/167,Regular,,Confirmed,,,
,Poltchageist,171/167,Regular,,Confirmed,,,
,Torkoal,172/167,Regular,,Confirmed,,,
,Infernape,173/167,Regular,,Confirmed,,,
,Froslass,174/167,Regular,,Confirmed,,,
,Phione,175/167,Regular,,Confirmed,,,
,Cramorant,176/167,Regular,,Confirmed,,,
,Heliolisk,177/167,Regular,,Confirmed,,,
,Wattrel,178/167,Regular,,Confirmed,,,
,Chimecho,179/167,Regular,,Confirmed,,,
,Enamorus,180/167,Regular,,Confirmed,,,
,Hisuian Growlithe,181/167,Regular,,Confirmed,,,
,Probopass,182/167,Regular,,Confirmed,,,
,Timburr,183/167,Regular,,Confirmed,,,
,Lairon,184/167,Regular,,Confirmed,,,
,Applin,185/167,Regular,,Confirmed,,,
,Tatsugiri,186/167,Regular,,Confirmed,,,
,Chansey,187/167,Regular,,Confirmed,,,
,Eevee,188/167,Regular,,Confirmed,,,
